,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.58,1.58,1.58,1.58,180000,0
1,2006-08-03,1.58,1.64,1.58,1.6,503000,0
2,2006-08-04,1.64,1.64,1.64,1.64,165000,0
3,2006-08-07,1.66,1.66,1.66,1.66,571000,781860
4,2006-08-08,1.66,1.66,1.66,1.66,140000,149400
5,2006-08-10,1.68,1.68,1.68,1.68,222000,356160
6,2006-08-11,1.68,1.7,1.68,1.7,1067000,954860
7,2006-08-14,1.7,1.74,1.7,1.74,355000,49300
8,2006-08-15,1.7,1.72,1.7,1.72,179000,51000
9,2006-08-16,1.7,1.7,1.7,1.7,631000,953700
10,2006-08-17,1.7,1.72,1.7,1.72,1072000,973840
11,2006-12-04,2.6,2.6,2.48,2.5,298000,0
12,2006-12-05,2.65,2.65,2.4,2.4,528000,0
13,2006-12-06,2.46,2.46,2.4,2.42,265000,0
14,2006-12-07,2.4,2.4,2.32,2.34,1381000,0
15,2006-12-08,2.46,2.46,2.34,2.44,418000,0
16,2006-12-11,2.34,2.34,2.34,2.34,4000,0
17,2006-12-12,2.4,2.4,2.4,2.4,206000,0
18,2006-12-13,2.4,2.7,2.4,2.6,568000,129900
19,2006-12-14,2.6,2.6,2.5,2.6,1178000,0
20,2006-12-15,2.6,2.6,2.6,2.6,1139000,0
21,2006-12-18,2.6,2.6,2.55,2.55,1482000,-741000
22,2006-12-19,2.55,2.55,2.5,2.5,842000,-767550
23,2006-12-20,2.46,2.55,2.46,2.55,508000,-255000
24,2006-12-21,2.55,2.55,2.5,2.5,1000000,-637500
25,2006-12-22,2.5,2.55,2.5,2.5,800000,0
26,2006-12-27,2.55,2.65,2.5,2.5,2004000,-406750
27,2006-12-28,2.6,2.7,2.6,2.65,3225000,-3147500
28,2006-12-29,2.7,2.7,2.65,2.65,1556000,-1069050
29,2006-11-02,1.9,1.94,1.9,1.9,1655000,338160
30,2006-11-03,1.96,2.08,1.96,2.02,2879000,1534600
31,2006-11-06,2.04,2.04,1.96,1.96,228000,9800
32,2006-11-07,2.0,2.04,2.0,2.04,2588000,0
33,2006-11-08,2.06,2.1,2.04,2.1,3481000,0
34,2006-11-09,2.08,2.24,2.08,2.24,4826000,-175380
35,2006-11-10,2.3,2.3,2.2,2.24,3645000,66600
36,2006-11-13,2.26,2.48,2.26,2.42,2547000,0
37,2006-11-14,2.5,2.75,2.46,2.7,4687000,-275000
38,2006-11-15,2.8,3.05,2.75,2.9,7697000,-300000
39,2006-11-16,2.9,2.9,2.75,2.75,1114000,63700
40,2006-11-17,2.75,3.0,2.75,2.9,4776000,0
41,2006-11-20,2.9,2.9,2.85,2.9,437000,0
42,2006-11-21,2.9,3.0,2.8,2.8,810000,0
43,2006-11-22,2.8,2.85,2.75,2.8,1892000,0
44,2006-11-23,2.8,2.8,2.75,2.75,721000,0
45,2006-11-24,2.7,2.8,2.7,2.8,533000,0
46,2006-11-27,2.75,2.75,2.65,2.7,756000,1360600
47,2006-11-28,2.7,2.7,2.55,2.55,589000,0
48,2006-11-29,2.55,2.55,2.5,2.55,137000,0
49,2006-11-30,2.55,2.6,2.5,2.5,798000,56000
50,2006-10-02,1.84,1.84,1.84,1.84,202000,-119600
51,2006-10-03,1.86,1.86,1.86,1.86,516000,-232500
52,2006-10-04,1.84,1.84,1.82,1.82,1034000,284280
53,2006-10-05,1.84,1.84,1.84,1.84,525000,-322000
54,2006-10-06,1.82,1.84,1.82,1.82,487000,105560
55,2006-10-09,1.84,1.86,1.84,1.86,86000,0
56,2006-10-10,1.82,1.82,1.82,1.82,90000,163800
57,2006-10-11,1.84,1.84,1.84,1.84,40000,0
58,2006-10-12,1.84,1.84,1.82,1.82,936000,637000
59,2006-10-13,1.84,1.84,1.84,1.84,6895000,0
60,2006-10-16,1.84,1.84,1.84,1.84,108000,0
61,2006-10-17,1.82,1.84,1.82,1.84,40000,0
62,2006-10-19,1.84,1.86,1.84,1.84,650000,-856600
63,2006-10-20,1.82,1.84,1.82,1.82,90000,0
64,2006-10-23,1.86,1.86,1.86,1.86,26000,0
65,2006-10-25,1.86,1.88,1.86,1.86,308000,0
66,2006-10-26,1.88,1.88,1.86,1.88,275000,0
67,2006-10-27,1.84,1.84,1.84,1.84,180000,0
68,2006-10-31,1.88,1.88,1.82,1.82,38000,0
69,2006-09-01,1.66,1.66,1.64,1.66,245000,0
70,2006-09-04,1.7,1.7,1.68,1.7,203000,0
71,2006-09-05,1.7,1.7,1.7,1.7,3000,0
72,2006-09-06,1.7,1.8,1.7,1.8,1613000,-18000
73,2006-09-07,1.8,1.86,1.8,1.86,1892000,1781480
74,2006-09-08,1.86,1.86,1.8,1.84,808000,969260
75,2006-09-11,1.82,1.82,1.82,1.82,102000,185640
76,2006-09-12,1.82,1.82,1.8,1.82,610000,440020
77,2006-09-15,1.8,1.8,1.8,1.8,66000,0
78,2006-09-19,1.8,1.86,1.8,1.82,289000,470780
79,2006-09-20,1.82,1.84,1.82,1.84,1085000,1024660
80,2006-09-21,1.82,1.82,1.82,1.82,50000,91000
81,2006-09-22,1.84,1.84,1.84,1.84,212000,0
82,2006-09-25,1.82,1.84,1.82,1.84,439000,-2000
83,2006-09-26,1.84,1.84,1.82,1.82,401000,684320
84,2006-09-27,1.82,1.84,1.82,1.84,1216000,114660
85,2007-04-02,3.75,3.95,3.75,3.85,2482000,0
86,2007-04-03,3.9,4.15,3.9,4.05,4999000,-410000
87,2007-04-04,4.05,4.15,4.05,4.05,1297000,1916000
88,2007-04-10,4.1,4.35,4.1,4.25,2875000,628000
89,2007-04-11,4.25,4.3,4.25,4.3,1035000,0
90,2007-04-12,4.3,4.3,4.2,4.2,4251000,0
91,2007-04-13,4.2,4.2,4.2,4.2,143000,0
92,2007-04-16,4.15,4.15,4.15,4.15,100000,0
93,2007-04-17,4.2,4.35,4.2,4.35,2409000,4080900
94,2007-04-18,4.55,4.9,4.55,4.65,3263000,-2238900
95,2007-04-19,4.7,4.75,4.55,4.65,3368000,5750000
96,2007-04-20,4.65,4.7,4.6,4.65,711000,0
97,2007-04-23,4.75,4.8,4.7,4.75,947000,18800
98,2007-04-24,4.75,4.75,4.75,4.75,50000,0
99,2007-04-25,4.75,4.75,4.65,4.7,537000,-220000
100,2007-04-26,4.75,4.9,4.75,4.9,3821000,666100
101,2007-04-27,4.9,4.9,4.8,4.85,382000,0
102,2007-04-30,4.9,5.6,4.9,5.4,6219000,300
103,2007-08-01,5.3,5.3,5.1,5.1,3589000,306000
104,2007-08-02,5.2,5.2,4.75,4.8,4661000,19400
105,2007-08-03,4.8,4.8,4.45,4.5,4799000,460250
106,2007-08-06,4.25,4.5,4.2,4.5,1648000,0
107,2007-08-07,4.55,4.8,4.55,4.7,5331000,0
108,2007-08-08,4.7,4.85,4.7,4.7,2569000,235000
109,2007-08-09,4.75,4.8,4.75,4.75,8841000,575800
110,2007-08-10,4.65,4.65,4.5,4.55,786000,0
111,2007-08-13,4.55,4.55,4.4,4.4,557000,53800
112,2007-08-14,4.5,4.5,4.25,4.3,401000,0
113,2007-08-15,4.3,4.3,3.8,4.0,903000,-1098950
114,2007-08-16,3.55,3.55,3.45,3.5,2758000,7000
115,2007-08-17,3.4,3.45,3.15,3.15,1991000,-1177500
116,2007-08-21,3.65,3.75,3.55,3.65,1379000,-988700
117,2007-08-22,3.7,3.7,3.55,3.55,3286000,-2192500
118,2007-08-23,3.7,3.75,3.55,3.6,2972000,-1481400
119,2007-08-24,3.6,3.65,3.6,3.6,1541000,205200
120,2007-08-28,3.65,3.75,3.65,3.75,476000,187500
121,2007-08-29,3.6,3.75,3.55,3.75,332000,0
122,2007-08-30,3.8,4.1,3.8,4.1,1231000,0
123,2007-08-31,4.1,4.2,4.1,4.1,1871000,-546000
124,2007-12-03,3.95,4.0,3.95,4.0,27000,0
125,2007-12-04,4.0,4.0,4.0,4.0,622000,0
126,2007-12-05,3.85,3.95,3.85,3.95,48000,0
127,2007-12-06,4.0,4.1,4.0,4.05,720000,-2238400
128,2007-12-07,4.05,4.05,4.0,4.0,321000,-636000
129,2007-12-10,4.0,4.0,4.0,4.0,4000,-16000
130,2007-12-11,3.9,3.95,3.9,3.95,240000,15800
131,2007-12-12,3.85,3.95,3.85,3.95,174000,0
132,2007-12-13,3.95,3.95,3.95,3.95,364000,0
133,2007-12-14,3.9,3.9,3.85,3.85,132000,0
134,2007-12-17,3.85,3.85,3.75,3.75,47000,0
135,2007-12-18,3.75,3.8,3.75,3.75,2248000,-7511000
136,2007-12-19,3.8,3.85,3.8,3.8,339000,-1136200
137,2007-12-26,3.8,3.8,3.75,3.75,183000,0
138,2007-12-27,3.75,3.75,3.65,3.65,614000,3650
139,2007-12-28,3.6,3.65,3.55,3.55,674000,-176450
140,2007-02-01,3.45,3.6,3.45,3.55,3511000,3412500
141,2007-02-02,3.65,3.9,3.65,3.85,5820000,7658000
142,2007-02-05,3.8,3.8,3.7,3.75,2666000,2844500
143,2007-02-06,3.8,3.85,3.6,3.6,8294000,-5989750
144,2007-02-07,3.65,3.65,3.55,3.6,1648000,0
145,2007-02-08,3.6,3.7,3.6,3.65,1939000,2805500
146,2007-02-09,3.7,3.8,3.65,3.65,1645000,0
147,2007-02-12,3.65,3.65,3.6,3.65,847000,116800
148,2007-02-13,3.6,3.75,3.6,3.75,1204000,1208000
149,2007-02-14,3.8,3.85,3.8,3.85,2781000,0
150,2007-02-15,3.9,4.1,3.9,4.05,7294000,14671700
151,2007-02-19,3.95,4.1,3.95,4.1,4677000,12567450
152,2007-02-20,4.1,4.35,4.1,4.35,5471000,0
153,2007-02-21,4.35,4.55,4.35,4.4,2731000,-1288600
154,2007-02-22,4.4,4.4,4.25,4.25,1946000,-3881400
155,2007-02-23,4.25,4.45,4.25,4.4,1127000,-1094500
156,2007-02-26,4.45,4.45,4.3,4.4,1945000,-1521800
157,2007-02-27,4.35,4.35,4.25,4.3,1388000,-3225000
158,2007-02-28,4.25,4.25,3.8,4.0,3088000,0
159,2007-01-02,2.6,2.6,2.6,2.6,300000,-400400
160,2007-01-03,2.6,2.75,2.6,2.75,1836000,-2116250
161,2007-01-04,2.75,2.9,2.7,2.9,5142000,-5083250
162,2007-01-05,2.95,3.25,2.95,3.1,12279000,-158100
163,2007-01-08,3.1,3.15,3.0,3.05,1952000,0
164,2007-01-09,3.1,3.2,3.0,3.05,5173000,148800
165,2007-01-10,3.05,3.1,3.05,3.1,1125000,0
166,2007-01-11,3.1,3.3,3.1,3.2,10716000,5715300
167,2007-01-12,3.25,3.4,3.25,3.35,4728000,0
168,2007-01-15,3.4,3.55,3.4,3.45,4977000,1757000
169,2007-01-16,3.55,3.55,3.4,3.45,1872000,6800
170,2007-01-17,3.4,3.45,3.35,3.4,873000,0
171,2007-01-18,3.4,3.4,3.35,3.35,912000,0
172,2007-01-19,3.35,3.35,3.3,3.3,485000,0
