,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-03,1.86,1.86,1.76,1.76,10000,0.0
1,2006-08-07,1.64,1.64,1.64,1.64,9000,0.0
2,2006-08-08,1.7,1.7,1.7,1.7,1000,0.0
3,2006-12-04,1.78,1.78,1.78,1.78,29000,0.0
4,2006-12-07,1.82,1.82,1.82,1.82,5000,0.0
5,2006-12-11,1.8,1.8,1.8,1.8,30000,0.0
6,2006-12-14,1.86,1.86,1.86,1.86,2000,0.0
7,2006-12-19,1.78,1.78,1.78,1.78,28000,0.0
8,2006-12-21,1.8,1.8,1.8,1.8,15000,0.0
9,2006-11-06,1.88,1.88,1.88,1.88,1000,0.0
10,2006-11-15,1.86,1.86,1.86,1.86,70000,0.0
11,2006-11-16,1.84,1.84,1.84,1.84,20000,0.0
12,2006-11-17,1.84,1.84,1.84,1.84,20000,0.0
13,2006-10-04,1.9,1.9,1.9,1.9,1000,0.0
14,2006-10-12,1.9,1.9,1.9,1.9,2000,0.0
15,2006-10-26,1.86,1.86,1.86,1.86,3000,0.0
16,2006-09-07,1.88,1.88,1.88,1.88,1000,0.0
17,2006-09-15,1.7,1.7,1.7,1.7,52000,88400.0
18,2007-04-16,2.1,2.1,2.1,2.1,3000,0.0
19,2007-04-19,2.0,2.0,1.9,1.9,19000,0.0
20,2007-04-24,1.86,1.86,1.86,1.86,10000,0.0
21,2007-04-25,1.86,1.86,1.8,1.8,60000,45500.0
22,2007-04-26,1.82,1.82,1.82,1.82,1000,0.0
23,2007-08-01,2.1,2.1,2.1,2.1,37000,0.0
24,2007-12-11,2.3,2.3,2.3,2.3,600000,0.0
25,2007-12-26,2.4,2.4,2.4,2.4,13000,0.0
26,2007-12-28,2.4,2.4,2.4,2.4,37000,0.0
27,2007-02-07,1.78,1.78,1.78,1.78,1000,0.0
28,2007-02-15,1.8,1.8,1.8,1.8,10000,0.0
29,2007-02-20,1.82,1.82,1.82,1.82,14000,25480.0
30,2007-02-26,1.82,1.82,1.82,1.82,1000,1820.0
31,2007-02-28,1.84,1.84,1.84,1.84,5000,0.0
32,2007-01-04,1.8,1.8,1.8,1.8,85000,153000.0
33,2007-01-08,1.78,1.78,1.78,1.78,20000,0.0
34,2007-01-15,1.82,1.82,1.82,1.82,7000,0.0
35,2007-01-23,1.78,1.78,1.78,1.78,20000,0.0
36,2007-01-24,1.7,1.7,1.7,1.7,20000,34000.0
37,2007-07-06,2.22,2.22,2.22,2.22,17000,0.0
38,2007-07-11,2.22,2.22,2.22,2.22,11000,0.0
39,2007-07-13,2.1,2.1,2.1,2.1,30000,0.0
40,2007-07-17,2.1,2.1,2.1,2.1,35000,0.0
41,2007-07-18,2.1,2.1,2.1,2.1,200000,90300.0
42,2007-07-25,2.2,2.2,2.2,2.2,20000,0.0
43,2007-07-30,2.18,2.18,2.18,2.18,30000,0.0
44,2007-06-01,2.14,2.3,2.14,2.3,87000,0.0
45,2007-06-04,2.38,2.38,2.32,2.32,4000,0.0
46,2007-06-05,2.32,2.32,2.3,2.3,12000,0.0
47,2007-06-06,2.36,2.36,2.32,2.32,170000,0.0
48,2007-06-07,2.42,2.44,2.42,2.44,70000,0.0
49,2007-06-08,2.44,2.5,2.44,2.46,134000,0.0
50,2007-06-12,2.46,2.46,2.44,2.44,42000,0.0
51,2007-06-13,2.3,2.3,2.2,2.2,54000,0.0
52,2007-06-14,2.2,2.2,2.2,2.2,6000,0.0
53,2007-06-15,2.2,2.24,2.2,2.22,125000,0.0
54,2007-06-18,2.2,2.2,2.2,2.2,25000,0.0
55,2007-06-19,2.12,2.2,2.12,2.2,39000,0.0
56,2007-06-21,2.18,2.28,2.18,2.28,35000,0.0
57,2007-06-22,2.28,2.28,2.26,2.26,40000,0.0
58,2007-06-27,2.22,2.22,2.22,2.22,24000,0.0
59,2007-06-29,2.1,2.18,2.1,2.18,70000,0.0
60,2007-03-01,1.84,1.84,1.84,1.84,2000,0.0
61,2007-03-16,1.88,1.88,1.88,1.88,2000,0.0
62,2007-03-19,1.88,1.88,1.88,1.88,18000,0.0
63,2007-03-20,1.9,1.9,1.9,1.9,20000,0.0
64,2007-03-26,1.9,1.9,1.9,1.9,9000,0.0
65,2007-03-27,2.0,2.0,2.0,2.0,21000,0.0
66,2007-03-28,2.1,2.2,2.0,2.1,50000,0.0
67,2007-05-04,1.9,1.9,1.9,1.9,3000,0.0
68,2007-05-07,2.0,2.1,2.0,2.1,120000,0.0
69,2007-05-08,2.1,2.1,2.1,2.1,20000,0.0
70,2007-05-10,2.1,2.18,2.1,2.18,74000,0.0
71,2007-05-11,2.1,2.14,2.08,2.14,21000,0.0
72,2007-05-15,2.16,2.16,2.16,2.16,11000,0.0
73,2007-05-25,2.0,2.0,2.0,2.0,10000,0.0
74,2007-05-29,2.0,2.0,2.0,2.0,38000,0.0
75,2007-11-07,2.4,2.4,2.4,2.4,30000,-72000.0
76,2007-11-08,2.46,2.46,2.46,2.46,15000,0.0
77,2007-11-09,2.46,2.46,2.46,2.46,15000,0.0
78,2007-11-21,2.12,2.12,2.12,2.12,30000,0.0
79,2007-10-02,2.12,2.12,2.1,2.1,36000,0.0
80,2007-10-03,2.1,2.1,2.1,2.1,3000,0.0
81,2007-10-11,2.4,2.4,2.4,2.4,30000,0.0
82,2007-10-15,2.4,2.4,2.4,2.4,2000,0.0
83,2007-10-19,2.4,2.4,2.4,2.4,18000,0.0
84,2007-10-22,2.4,2.4,2.4,2.4,40000,0.0
85,2007-10-26,2.4,2.4,2.4,2.4,90000,0.0
86,2007-09-03,2.0,2.0,2.0,2.0,30000,60000.0
87,2007-09-05,2.1,2.1,2.1,2.1,2000,4200.0
88,2007-09-11,2.1,2.1,2.1,2.1,15000,0.0
89,2007-09-12,2.1,2.1,2.1,2.1,13000,0.0
