,Date,Open,High,Low,Close,Volume,OtherData
0,2007-12-03,6.6,6.8,6.4,6.4,1119000.0,65000.0
1,2007-12-04,6.4,6.7,6.4,6.6,699000.0,66000.0
2,2007-12-05,6.5,7.0,6.5,6.8,2344000.0,0.0
3,2007-12-06,7.0,7.0,6.7,6.8,663000.0,68000.0
4,2007-12-07,6.9,7.2,6.9,7.0,4000000.0,-14000.0
5,2007-12-10,7.0,7.2,6.9,7.0,872000.0,0.0
6,2007-12-11,7.1,8.0,7.1,7.9,13977000.0,16897600.0
7,2007-12-12,7.6,8.2,7.5,8.1,12850000.0,50877800.0
8,2007-12-13,8.1,8.4,8.1,8.2,6947000.0,23986900.0
9,2007-12-14,8.2,8.4,7.9,8.0,4784000.0,20356000.0
10,2007-12-17,8.0,8.2,7.7,7.9,2367000.0,5363600.0
11,2007-12-18,8.0,8.4,7.7,8.3,3565000.0,6705200.0
12,2007-12-19,8.4,8.4,8.0,8.3,2355000.0,4344000.0
13,2007-12-20,8.2,8.3,7.9,8.2,5896000.0,26876000.0
14,2007-12-26,8.0,8.0,7.9,8.0,2418000.0,18201500.0
15,2007-12-27,8.0,8.0,7.8,7.8,9083000.0,61806400.0
16,2007-12-28,7.9,7.9,7.6,7.7,289000.0,154000.0
17,2007-11-15,9.0,9.0,8.4,8.5,23855000.0,-8996000.0
18,2007-11-16,8.2,8.5,8.1,8.2,15433000.0,-1201000.0
19,2007-11-19,8.2,8.2,7.6,8.2,6872000.0,-164000.0
20,2007-11-20,8.0,8.0,7.7,7.9,857000.0,0.0
21,2007-11-21,7.7,7.9,7.4,7.9,2302000.0,-760000.0
22,2007-11-22,7.3,7.7,7.3,7.7,599000.0,-7500.0
23,2007-11-23,7.5,7.7,7.3,7.4,439000.0,0.0
24,2007-11-26,7.4,7.6,7.3,7.4,1799000.0,0.0
25,2007-11-27,7.4,7.4,6.7,7.2,1888000.0,71000.0
26,2007-11-28,7.3,7.3,6.8,7.1,672000.0,142000.0
27,2007-11-29,7.1,7.1,6.2,6.2,1390000.0,-3241800.0
28,2008-04-01,5.7,5.7,5.1,5.5,1705000.0,4335000.0
29,2008-04-02,5.4,5.5,5.3,5.3,345000.0,0.0
30,2008-04-03,5.4,5.5,5.3,5.3,66000.0,0.0
31,2008-04-04,5.4,5.4,5.2,5.2,251000.0,0.0
32,2008-04-08,5.1,5.3,5.1,5.3,7000.0,0.0
33,2008-04-09,5.3,5.4,5.2,5.2,37000.0,0.0
34,2008-04-10,5.3,5.3,5.1,5.2,71000.0,280500.0
35,2008-04-11,5.3,5.4,5.1,5.2,19000.0,0.0
36,2008-04-14,5.2,5.2,5.1,5.2,5000.0,0.0
37,2008-04-15,5.3,5.3,5.2,5.2,21000.0,0.0
38,2008-04-16,5.2,5.2,5.2,5.2,29000.0,0.0
39,2008-04-17,5.2,5.2,5.1,5.1,16000.0,-45900.0
40,2008-04-18,5.2,5.2,4.95,5.2,1105000.0,4987750.0
41,2008-04-21,5.2,5.2,5.2,5.2,1001000.0,0.0
42,2008-04-22,5.2,5.2,4.95,4.95,198000.0,693000.0
43,2008-04-23,5.0,5.1,4.95,4.95,174000.0,693000.0
