,Date,Open,High,Low,Close,Volume,OtherData
0,2012-09-28,2.35,2.42,2.1,2.22,583000.0,0.0
1,2012-10-01,2.22,2.22,1.7,2.1,265000.0,20000.0
2,2012-10-02,1.96,2.02,1.85,1.85,490000.0,0.0
3,2012-10-03,1.84,1.85,1.68,1.77,455000.0,-32780.0
4,2012-10-04,1.73,1.79,1.73,1.79,67000.0,0.0
5,2012-10-05,1.74,1.99,1.72,1.8,277000.0,0.0
6,2012-10-08,1.8,1.89,1.8,1.86,37000.0,0.0
7,2012-10-09,1.8,1.85,1.8,1.8,173000.0,0.0
8,2012-10-10,1.8,1.81,1.8,1.81,30000.0,0.0
9,2012-10-11,1.75,1.78,1.75,1.78,17000.0,0.0
10,2012-10-12,1.8,1.86,1.79,1.79,284000.0,0.0
11,2012-10-15,1.84,1.84,1.79,1.79,31000.0,0.0
12,2012-10-16,1.78,1.87,1.67,1.67,2228000.0,0.0
13,2012-10-17,1.67,1.7,1.67,1.7,422000.0,-367600.0
14,2012-10-18,1.67,1.7,1.57,1.63,206000.0,0.0
15,2012-10-19,1.62,1.65,1.62,1.65,22000.0,0.0
16,2012-10-22,1.8,1.8,1.65,1.65,164000.0,0.0
17,2012-10-23,1.51,1.62,1.35,1.39,7005000.0,31390.0
18,2012-10-24,1.3,1.33,1.1,1.3,6141000.0,62600.0
19,2012-10-25,1.3,1.3,1.2,1.21,2231000.0,0.0
20,2012-10-29,1.27,1.5,1.27,1.29,14754000.0,400.0
21,2012-10-30,1.37,1.38,1.27,1.28,5151000.0,0.0
22,2012-10-31,1.28,1.3,1.2,1.23,3107000.0,0.0
23,2012-11-05,1.25,1.28,1.2,1.23,7885000.0,1253650.0
24,2012-11-06,1.25,1.25,1.1,1.24,16554000.0,-2148220.0
25,2012-11-07,0.96,0.99,0.92,0.94,345066000.0,-61755100.0
26,2012-11-08,0.93,0.96,0.92,0.94,81302000.0,-2653740.0
27,2012-11-09,0.94,1.05,0.94,1.03,201046000.0,-46771890.0
28,2012-11-12,1.04,1.08,1.02,1.06,100313000.0,-19171660.0
29,2012-11-13,1.07,1.09,1.01,1.01,97392000.0,-14085150.0
30,2012-11-14,1.02,1.05,1.01,1.01,44510000.0,2115880.0
31,2012-11-15,1.01,1.04,0.97,0.98,69269000.0,-8358420.0
32,2012-11-16,1.0,1.04,1.0,1.01,46302000.0,2734340.0
33,2012-11-19,1.02,1.03,0.99,0.99,17078000.0,242360.0
34,2012-11-20,1.0,1.01,0.97,0.97,34510000.0,404480.0
35,2012-11-21,0.98,1.0,0.97,0.98,28210000.0,-1265910.0
36,2012-11-22,1.0,1.03,0.98,1.02,47319000.0,44530.0
37,2012-11-23,1.03,1.03,1.0,1.01,29533000.0,99960.0
38,2012-11-26,1.01,1.12,1.01,1.09,171313000.0,18510060.0
39,2012-11-27,1.1,1.14,1.08,1.08,121755000.0,-5039940.0
40,2012-11-28,1.08,1.1,1.06,1.08,37562000.0,-5030430.0
41,2012-11-29,1.07,1.09,1.07,1.07,14740000.0,-214000.0
42,2012-12-03,1.07,1.16,1.07,1.13,143202000.0,-41652660.0
43,2012-12-04,1.14,1.16,1.1,1.11,74826000.0,-20991840.0
44,2012-12-05,1.12,1.15,1.11,1.15,105051000.0,11044050.0
45,2012-12-06,1.16,1.17,1.13,1.14,51944000.0,-1334370.0
46,2012-12-07,1.15,1.16,1.11,1.13,28749000.0,3419120.0
47,2012-12-10,1.13,1.13,1.11,1.11,11204000.0,-1352260.0
48,2012-12-11,1.11,1.13,1.07,1.07,82706000.0,-12502960.0
49,2012-12-12,1.06,1.1,1.06,1.07,16084000.0,695500.0
50,2012-12-13,1.08,1.1,1.06,1.1,22339000.0,0.0
51,2012-12-14,1.1,1.1,1.07,1.07,1894000.0,128260.0
52,2012-12-17,1.07,1.08,1.05,1.05,5342000.0,0.0
53,2012-12-18,1.05,1.07,1.02,1.03,12766000.0,2732000.0
54,2012-12-19,1.03,1.05,1.03,1.04,4688000.0,30900.0
55,2012-12-20,1.04,1.09,1.04,1.07,12937000.0,6072000.0
56,2012-12-21,1.06,1.09,1.05,1.07,10740000.0,214000.0
57,2012-12-26,1.05,1.08,1.05,1.06,6908000.0,954000.0
58,2012-12-27,1.05,1.06,1.03,1.05,15786000.0,289400.0
59,2012-12-28,1.05,1.05,1.02,1.02,8831000.0,1105110.0
60,2013-01-02,1.02,1.06,1.02,1.04,16194000.0,3532990.0
61,2013-01-03,1.05,1.07,1.04,1.04,12803000.0,-53500.0
62,2013-01-04,1.04,1.06,1.04,1.04,15133000.0,-126200.0
63,2013-01-07,1.03,1.04,1.02,1.03,13289000.0,141260.0
64,2013-01-08,1.03,1.04,1.0,1.03,57941000.0,-12368600.0
65,2013-01-09,1.01,1.02,0.98,0.98,81389000.0,-19445140.0
66,2013-01-10,0.99,1.0,0.98,0.99,20342000.0,-760400.0
67,2013-01-11,0.99,1.01,0.99,1.0,14644000.0,-8208000.0
68,2013-01-14,1.01,1.01,1.0,1.0,4893000.0,0.0
69,2013-01-15,1.01,1.01,1.0,1.0,9496000.0,-301000.0
70,2013-01-16,1.0,1.0,0.99,1.0,4612000.0,0.0
71,2013-01-17,0.99,1.01,0.99,1.01,9224000.0,1500000.0
72,2013-01-18,1.01,1.05,1.01,1.03,46070000.0,5479300.0
73,2013-01-21,1.03,1.03,1.01,1.02,11870000.0,0.0
74,2013-01-22,1.02,1.02,1.0,1.02,10519000.0,110000.0
75,2013-01-23,1.01,1.02,1.0,1.02,3927000.0,-194000.0
76,2013-01-24,1.0,1.01,1.0,1.01,6115000.0,-595200.0
77,2013-01-25,1.01,1.01,0.99,1.01,10057000.0,4000.0
78,2013-01-28,1.01,1.01,0.99,1.01,1959000.0,-1010.0
79,2013-01-29,1.0,1.01,0.99,0.99,20786000.0,4947350.0
80,2013-01-30,0.99,1.0,0.98,0.99,32141000.0,3441880.0
81,2013-01-31,0.99,1.0,0.97,0.99,35293000.0,113740.0
82,2013-02-01,0.99,1.0,0.98,1.0,15644000.0,3227460.0
83,2013-02-04,1.0,1.05,0.99,1.03,41265000.0,2359000.0
84,2013-02-05,1.03,1.03,1.01,1.02,7895000.0,-25500.0
85,2013-02-06,1.02,1.04,1.0,1.0,22329000.0,-3649750.0
86,2013-02-07,1.01,1.01,1.0,1.01,10267000.0,0.0
87,2013-02-08,1.02,1.02,1.0,1.0,10225000.0,2066000.0
88,2013-02-11,1.0,1.01,1.0,1.01,8333000.0,0.0
