,Date,Open,High,Low,Close,Volume,OtherData
0,2012-07-03,4.5,4.55,4.28,4.5,489000,0.0
1,2012-07-04,4.31,4.4,4.3,4.4,146000,0.0
2,2012-07-05,4.31,4.45,4.23,4.45,900000,-13930.0
3,2012-07-06,4.35,4.35,4.3,4.3,136000,0.0
4,2012-07-09,4.25,4.3,4.15,4.25,135000,-21350.0
5,2012-07-10,4.2,4.2,4.0,4.15,370000,-20750.0
6,2012-07-11,4.05,4.1,4.0,4.0,309000,0.0
7,2012-07-12,4.09,4.15,4.0,4.15,354000,0.0
8,2012-07-13,4.0,4.2,4.0,4.15,265000,0.0
9,2012-07-16,4.0,4.1,4.0,4.1,180000,0.0
10,2012-07-17,4.0,4.0,3.85,3.85,130000,0.0
11,2012-07-18,3.95,4.09,3.95,4.05,426000,0.0
12,2012-07-19,4.02,4.03,3.8,4.03,304000,0.0
13,2012-07-20,4.02,4.05,4.0,4.04,355000,0.0
14,2012-07-23,4.03,4.03,4.03,4.03,5000,0.0
15,2012-07-24,4.02,4.05,4.02,4.05,43000,0.0
16,2012-07-25,4.04,4.1,4.01,4.1,164000,0.0
17,2012-07-26,4.09,4.15,4.0,4.1,348000,0.0
18,2012-07-27,4.15,4.15,4.0,4.1,56000,0.0
19,2012-07-30,4.1,4.12,4.0,4.09,227000,0.0
20,2012-07-31,4.02,4.15,4.02,4.15,396000,0.0
21,2012-08-01,4.15,4.15,4.0,4.1,397000,0.0
22,2012-08-02,4.01,4.1,4.01,4.1,68000,0.0
23,2012-08-03,4.02,4.12,3.91,4.12,51000,0.0
24,2012-08-06,4.02,4.05,4.0,4.05,302000,20100.0
25,2012-08-08,4.1,4.1,4.05,4.09,43000,0.0
26,2012-08-09,4.05,4.08,4.05,4.08,30000,0.0
27,2012-08-10,4.0,4.09,4.0,4.09,50000,0.0
28,2012-08-13,4.01,4.09,4.01,4.09,32000,0.0
29,2012-08-14,4.0,4.07,4.0,4.07,80000,0.0
30,2012-08-15,4.05,4.05,4.0,4.05,48000,0.0
31,2012-08-16,4.01,4.04,4.01,4.04,9000,0.0
32,2012-08-17,4.01,4.02,3.95,4.02,26000,0.0
33,2012-08-22,4.02,4.02,3.96,4.0,81000,0.0
34,2012-08-23,3.95,4.0,3.95,4.0,72000,0.0
35,2012-08-24,3.95,4.0,3.91,4.0,71000,0.0
36,2012-08-28,3.98,3.99,3.98,3.99,53000,0.0
37,2012-08-29,3.99,4.0,3.99,4.0,20000,0.0
38,2012-08-30,3.97,4.0,3.97,4.0,200000,0.0
39,2012-08-31,3.98,4.0,3.98,4.0,34000,0.0
40,2012-09-03,4.0,4.0,3.99,4.0,73000,0.0
41,2012-09-04,3.99,3.99,3.99,3.99,73000,0.0
42,2012-09-05,3.99,3.99,3.99,3.99,20000,0.0
43,2012-09-06,4.0,4.0,4.0,4.0,1000,0.0
44,2012-09-07,4.0,4.0,4.0,4.0,31000,0.0
45,2012-09-10,3.9,3.99,3.9,3.99,91000,31680.0
46,2012-09-11,3.99,3.99,3.99,3.99,2000,0.0
47,2012-09-12,3.98,3.98,3.98,3.98,171000,0.0
48,2012-09-13,3.98,3.98,3.98,3.98,1000,0.0
49,2012-09-14,3.9,3.97,3.9,3.97,40000,0.0
50,2012-09-17,3.96,3.98,3.96,3.98,16000,0.0
51,2012-09-18,3.9,3.96,3.9,3.96,33000,0.0
52,2012-09-19,3.98,3.98,3.97,3.97,3000,0.0
53,2012-09-20,3.98,3.98,3.96,3.96,14000,0.0
54,2012-09-21,3.99,3.99,3.9,3.95,38000,-15660.0
55,2012-09-24,3.9,3.94,3.9,3.94,51000,-15600.0
56,2012-09-25,3.9,3.9,3.9,3.9,7000,0.0
57,2012-09-26,3.75,3.87,3.75,3.87,22000,0.0
58,2012-09-27,3.88,3.89,3.71,3.8,49000,0.0
59,2012-09-28,3.8,3.8,3.7,3.78,40000,0.0
60,2012-10-01,3.83,3.83,3.65,3.79,278000,0.0
61,2012-10-02,3.65,3.7,3.61,3.7,298000,0.0
62,2012-10-03,3.7,3.8,3.7,3.8,25000,0.0
63,2012-10-04,3.82,3.83,3.82,3.83,6000,0.0
64,2012-10-05,3.7,3.7,3.7,3.7,80000,0.0
65,2012-10-08,3.91,3.99,3.61,3.72,82000,0.0
66,2012-10-09,3.9,3.9,3.6,3.72,26000,0.0
67,2012-10-10,3.6,3.8,3.57,3.7,16000,0.0
68,2012-10-11,3.7,3.7,3.57,3.69,65000,0.0
69,2012-10-12,3.68,3.68,3.68,3.68,88000,0.0
70,2012-10-15,3.58,3.68,3.57,3.68,228000,0.0
71,2012-10-16,3.57,3.7,3.57,3.7,138000,0.0
72,2012-10-17,3.7,3.8,3.42,3.74,381000,0.0
73,2012-10-18,3.67,3.69,3.67,3.69,260000,0.0
74,2012-10-19,3.7,3.7,3.44,3.68,282000,0.0
75,2012-10-22,3.65,3.68,3.65,3.68,153000,0.0
76,2012-10-23,3.67,3.67,3.67,3.67,71000,0.0
77,2012-10-24,3.67,3.67,3.67,3.67,63000,0.0
78,2012-10-25,3.65,3.67,3.65,3.67,95000,0.0
79,2012-10-29,3.65,3.66,3.65,3.66,135000,0.0
80,2012-10-30,3.7,3.75,3.51,3.71,365000,0.0
81,2012-10-31,3.51,3.71,3.48,3.7,108000,0.0
82,2012-11-06,3.67,3.67,3.67,3.67,180000,0.0
83,2012-11-07,3.65,3.65,3.65,3.65,90000,0.0
84,2012-11-08,3.65,3.65,3.65,3.65,69000,0.0
85,2012-11-09,3.64,3.66,3.64,3.66,171000,0.0
86,2012-11-12,3.7,3.74,3.51,3.66,41000,0.0
87,2012-11-13,3.72,3.72,3.5,3.64,105000,0.0
88,2012-11-14,3.61,3.62,3.61,3.62,170000,0.0
89,2012-11-15,3.65,3.65,3.49,3.63,140000,0.0
90,2012-11-16,3.5,3.62,3.5,3.62,79000,0.0
91,2012-11-19,3.65,3.65,3.49,3.62,86000,0.0
92,2012-11-20,3.62,3.62,3.62,3.62,45000,0.0
93,2012-11-21,3.62,3.64,3.62,3.64,35000,-25340.0
94,2012-11-22,3.6,3.6,3.55,3.55,38000,0.0
95,2012-11-23,3.51,3.78,3.5,3.66,25000,0.0
96,2012-11-26,3.66,3.67,3.66,3.67,42000,0.0
97,2012-11-27,3.67,3.67,3.67,3.67,41000,0.0
98,2012-11-28,3.5,3.66,3.5,3.66,21000,0.0
99,2012-11-29,3.64,3.64,3.64,3.64,40000,0.0
100,2012-12-03,3.61,3.61,3.61,3.61,30000,0.0
101,2012-12-04,3.6,3.6,3.6,3.6,61000,0.0
102,2012-12-05,4.0,4.1,3.46,4.0,33000,0.0
103,2012-12-06,3.99,3.99,3.99,3.99,32000,0.0
104,2012-12-07,3.9,3.98,3.8,3.98,18000,0.0
105,2012-12-10,3.98,3.98,3.98,3.98,22000,0.0
106,2012-12-11,3.98,3.98,3.98,3.98,30000,0.0
107,2012-12-12,3.88,3.97,3.88,3.97,21000,0.0
108,2012-12-13,3.85,3.9,3.85,3.9,16000,0.0
109,2012-12-14,3.9,4.0,3.9,4.0,71000,0.0
110,2012-12-17,3.99,4.0,3.99,4.0,16000,0.0
111,2012-12-18,3.98,3.99,3.98,3.99,21000,0.0
112,2012-12-19,3.54,3.99,3.53,3.99,38000,0.0
113,2012-12-20,3.95,3.98,3.95,3.98,26000,0.0
114,2012-12-21,3.91,3.96,3.91,3.96,16000,0.0
115,2012-12-26,3.9,3.96,3.9,3.96,29000,0.0
116,2012-12-27,3.88,3.96,3.88,3.96,45000,0.0
117,2012-12-28,3.97,3.98,3.9,3.98,222000,0.0
118,2013-01-02,3.88,3.94,3.88,3.94,31000,0.0
119,2013-01-03,3.94,3.95,3.92,3.95,15000,0.0
