,Date,Open,High,Low,Close,Volume,OtherData
0,2014-08-28,8.05,9.0,6.51,7.4,11331000.0,-712780.0
1,2014-08-29,7.55,7.79,5.65,6.01,5323400.0,197464.0
2,2014-09-01,5.9,6.0,5.1,5.81,2408700.0,139460.0
3,2014-09-02,5.78,5.78,5.51,5.6,1492400.0,97494.0
4,2014-09-03,5.51,6.2,5.51,5.76,1660700.0,91075.0
5,2014-09-04,5.98,5.98,5.73,5.73,612700.0,-57046.0
6,2014-09-05,5.76,5.85,5.6,5.62,562200.0,-8435.0
7,2014-09-08,5.65,5.65,5.19,5.25,1065000.0,-1891774.0
8,2014-09-09,5.25,5.37,4.9,4.9,1102700.0,-153856.0
9,2014-09-10,5.0,5.0,4.61,4.66,845000.0,-148740.0
10,2014-09-11,4.8,4.8,4.6,4.61,1032000.0,-4650.0
11,2014-09-12,4.65,4.79,4.4,4.43,865000.0,-925180.0
12,2014-09-15,4.4,4.6,4.3,4.3,415000.0,-82970.0
13,2014-09-16,4.3,5.9,4.3,5.08,3127000.0,-169740.0
14,2014-09-17,5.15,5.44,5.15,5.18,479600.0,40980.0
15,2014-09-18,5.2,5.4,5.0,5.12,449700.0,-21040.0
16,2014-09-22,5.2,5.21,5.0,5.16,104800.0,0.0
17,2014-09-23,5.28,5.28,5.07,5.21,132200.0,0.0
18,2014-09-24,5.24,5.43,5.18,5.34,256400.0,0.0
19,2014-09-25,5.45,5.7,5.16,5.16,1418200.0,38773.0
20,2014-09-26,5.32,5.32,5.1,5.18,197400.0,-18538.0
21,2014-09-29,5.35,5.35,5.11,5.12,72400.0,5288.0
22,2014-09-30,5.12,5.27,5.09,5.09,337600.0,104014.0
23,2014-10-01,5.08,5.15,5.04,5.08,151400.0,0.0
24,2014-10-02,5.08,5.27,5.01,5.07,142800.0,0.0
25,2014-10-03,5.07,5.2,5.04,5.04,65700.0,0.0
26,2014-10-07,5.05,5.06,5.01,5.04,73100.0,0.0
27,2014-10-08,5.05,5.05,4.89,5.04,328800.0,0.0
28,2014-10-09,5.04,5.04,4.93,5.0,60200.0,35568.0
29,2014-10-10,5.0,5.0,4.86,4.88,228400.0,0.0
