,Date,Open,High,Low,Close,Volume,OtherData
0,2015-10-06,25.95,26.3,25.6,26.15,698400,0
1,2015-10-07,25.95,26.3,25.1,26.15,1352600,0
2,2015-10-08,26.0,26.1,25.0,25.5,710800,0
3,2015-10-09,25.7,25.75,24.2,25.1,323200,0
4,2015-10-12,24.5,26.5,24.1,26.5,440100,0
5,2015-10-13,26.5,26.5,26.0,26.3,372100,0
6,2015-10-14,26.1,26.1,25.05,25.8,379400,0
7,2015-10-15,25.8,26.0,25.1,26.0,411200,0
8,2015-10-16,25.95,26.0,25.05,25.95,425400,0
9,2015-10-19,25.85,26.3,25.0,26.3,972000,0
10,2015-10-20,26.2,26.2,24.0,24.0,736700,0
11,2015-10-21,24.35,25.2,24.35,25.0,713700,0
12,2015-10-22,25.0,25.0,24.05,24.05,424400,0
13,2015-10-23,24.4,24.9,24.0,24.9,889200,0
14,2015-10-26,24.7,25.0,23.8,24.6,533000,0
15,2015-10-27,23.6,24.35,22.0,23.0,500700,0
16,2015-10-28,22.05,22.9,22.0,22.8,284200,0
17,2015-10-29,22.6,22.85,22.05,22.05,207000,22050
18,2015-10-30,22.2,25.0,21.0,24.0,611400,0
19,2015-11-02,23.95,24.0,22.5,23.4,339000,0
20,2015-11-03,23.0,24.0,22.65,23.9,162300,0
21,2015-11-04,23.5,24.0,23.0,23.0,160800,0
22,2015-11-05,22.7,24.0,22.7,24.0,225300,0
23,2015-11-06,23.95,23.95,21.0,21.5,985500,0
24,2015-11-09,21.5,23.0,20.5,23.0,10279900,-6212500
25,2015-11-10,20.35,22.25,20.0,20.7,14300300,-37281510
26,2015-11-11,20.95,21.8,20.8,21.3,3113300,-879400
27,2015-11-12,21.3,21.7,20.65,21.45,2392100,4004535
28,2015-11-13,21.45,21.65,20.8,20.85,565100,-187650
29,2015-11-16,20.9,20.9,20.35,20.35,1569100,21061120
30,2015-11-17,20.5,21.0,20.3,21.0,2179800,0
31,2015-11-20,20.45,20.95,20.45,20.75,363200,-1070775
32,2015-11-23,20.75,20.75,20.5,20.7,637300,6180865
33,2015-11-24,20.7,20.7,20.2,20.5,969000,-6150000
34,2015-11-25,20.3,20.5,20.2,20.4,610600,203750
35,2015-11-26,20.3,20.9,20.2,20.9,2272300,-1259150
36,2015-11-27,20.9,21.0,20.35,20.35,520700,0
37,2015-12-01,20.4,21.9,20.4,21.5,6309500,-648220
38,2015-12-02,21.6,21.9,21.1,21.2,1676300,124140
39,2015-12-03,21.2,22.45,20.95,22.45,3651400,1383450
40,2015-12-04,22.4,22.4,21.9,21.9,1830000,119710
41,2015-12-07,21.5,22.2,21.5,21.75,5154800,-413200
42,2015-12-08,21.7,21.9,21.65,21.7,5508200,73930
43,2015-12-09,21.5,21.7,21.4,21.55,781300,-118750
44,2015-12-10,21.55,21.6,21.4,21.5,1388600,15181750
45,2015-12-11,21.5,21.5,21.05,21.35,1947900,30400520
46,2015-12-14,21.0,21.3,20.25,20.5,428700,-60070
47,2015-12-15,20.75,20.75,20.45,20.45,330300,-61950
48,2015-12-16,20.5,20.6,20.45,20.5,681600,40950
49,2015-12-17,20.7,20.7,20.4,20.5,1298800,0
50,2015-12-18,20.4,20.4,20.3,20.3,77100,101750
51,2015-12-21,20.3,20.5,20.3,20.35,68200,0
52,2015-12-22,20.95,20.95,20.2,20.2,2459000,-2002975
53,2015-12-23,20.2,20.9,20.05,20.05,498700,50475
54,2015-12-28,20.1,20.5,20.1,20.15,103800,0
55,2015-12-29,20.55,20.75,20.3,20.75,5565100,0
56,2016-01-04,20.75,20.75,20.3,20.5,42300,0
57,2016-01-05,20.4,20.4,20.25,20.25,109200,0
58,2016-01-06,20.3,20.3,20.1,20.15,286100,40400
59,2016-01-07,20.25,20.25,18.72,18.72,997900,-163160
60,2016-01-08,18.12,19.28,18.0,18.7,2240800,22740000
61,2016-01-11,18.2,18.7,17.8,17.8,216700,17880
62,2016-01-12,17.8,18.2,17.5,17.78,358100,9010
63,2016-01-13,18.2,18.2,17.78,17.78,172100,0
64,2016-01-14,17.88,17.88,17.46,17.46,312200,140202
