,Date,Open,High,Low,Close,Volume,OtherData
0,2010-09-03,10.5,10.5,10.5,10.5,100,0
1,2010-09-22,10.98,10.98,10.0,10.0,300,-2000
2,2010-09-30,10.3,10.3,10.3,10.3,100,0
3,2010-10-01,10.98,10.98,10.98,10.98,100,0
4,2010-10-04,10.0,10.0,10.0,10.0,400,0
5,2010-10-20,10.0,10.0,10.0,10.0,200,0
6,2010-10-26,10.1,10.1,10.1,10.1,100,0
7,2011-02-10,10.84,10.84,10.84,10.84,100,0
8,2011-03-29,11.5,11.5,11.5,11.5,300,0
9,2011-05-17,10.84,10.84,10.84,10.84,100,0
10,2011-09-05,10.8,10.8,10.8,10.8,100,0
11,2011-10-04,11.12,11.12,11.12,11.12,200,0
