,Date,Open,High,Low,Close,Volume,OtherData
0,2007-08-29,11.0,11.0,11.0,11.0,100,0
1,2007-12-18,10.0,10.0,10.0,10.0,200,0
2,2007-05-31,11.0,11.0,11.0,11.0,2000,0
3,2007-10-17,10.5,10.5,10.5,10.5,300,0
4,2007-10-22,10.25,10.25,10.25,10.25,100,0
5,2010-08-09,10.5,10.5,10.5,10.5,100,0
6,2010-09-22,10.5,10.5,10.5,10.5,900,-9450
7,2010-09-24,10.92,10.92,10.92,10.92,100,0
8,2010-09-28,10.92,10.92,10.92,10.92,200,0
9,2010-10-28,11.0,11.0,11.0,11.0,100,0
10,2010-11-08,11.2,11.2,11.2,11.2,300,0
11,2010-12-07,10.98,10.98,10.98,10.98,100,0
12,2010-12-21,10.98,10.98,10.98,10.98,100,0
13,2010-12-22,10.98,10.98,10.98,10.98,300,0
14,2011-01-13,11.0,11.0,11.0,11.0,100,0
15,2011-03-29,11.06,11.06,11.06,11.06,300,0
16,2011-05-09,11.08,11.08,11.08,11.08,100,0
17,2011-05-17,11.08,11.1,11.08,11.08,700,1110
18,2011-06-02,11.08,11.08,11.08,11.08,800,0
19,2011-06-30,11.08,11.08,11.08,11.08,100,0
20,2011-07-08,11.1,11.1,11.1,11.1,100,-1110
21,2011-09-05,11.14,11.14,11.14,11.14,100,0
