,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-11,10.5,10.5,10.5,10.5,100,0
1,2006-09-06,10.0,10.0,10.0,10.0,200,0
2,2010-08-03,10.5,10.5,10.5,10.5,100,0
3,2010-10-12,10.94,10.94,10.94,10.94,100,0
4,2010-10-19,10.94,10.94,10.94,10.94,100,0
5,2010-11-09,11.2,11.2,11.2,11.2,100,0
6,2010-12-28,11.0,11.0,11.0,11.0,100,0
7,2011-02-09,11.02,11.02,11.02,11.02,100,0
8,2011-03-29,11.5,11.5,11.5,11.5,200,0
9,2011-04-05,11.04,11.04,11.04,11.04,100,0
10,2011-05-16,11.04,11.04,11.04,11.04,100,0
11,2011-06-02,11.04,11.04,11.04,11.04,100,0
12,2011-06-08,11.04,11.04,11.04,11.04,200,0
13,2011-06-23,11.5,11.5,11.5,11.5,1600,0
14,2011-07-21,11.14,11.14,11.14,11.14,100,0
