,Date,Open,High,Low,Close,Volume,OtherData
0,2008-10-30,10.0,10.0,10.0,10.0,1000,0
1,2010-06-25,10.5,10.5,10.5,10.5,1000,0
2,2010-09-22,10.5,10.5,10.5,10.5,200,-2100
3,2010-11-09,11.2,11.2,11.2,11.2,100,0
4,2011-02-09,11.02,11.02,11.02,11.02,100,0
5,2011-02-11,11.02,11.02,11.02,11.02,700,0
6,2011-02-18,11.02,11.02,11.02,11.02,100,0
7,2011-03-04,11.04,11.04,11.04,11.04,100,0
8,2011-03-23,11.5,11.5,11.5,11.5,400,0
9,2011-04-20,11.04,11.04,11.04,11.04,3500,0
10,2011-05-09,11.04,11.04,11.04,11.04,100,0
11,2011-06-17,11.04,11.04,11.04,11.04,900,0
12,2011-06-30,11.1,11.1,11.1,11.1,300,0
13,2011-07-15,11.5,11.5,11.5,11.5,100,0
14,2011-07-28,12.0,12.0,12.0,12.0,100,0
15,2011-08-24,12.0,15.0,12.0,15.0,400,0
16,2011-09-22,12.0,12.0,12.0,12.0,900,0
17,2011-09-28,12.0,12.0,12.0,12.0,300,0
