,Date,Open,High,Low,Close,Volume,OtherData
0,2007-12-13,10.0,10.0,10.0,10.0,3000,0
1,2009-04-28,10.5,10.5,10.5,10.5,500,0
2,2009-08-20,10.5,10.5,10.5,10.5,300,0
3,2009-12-03,10.75,10.75,10.75,10.75,100,0
4,2009-12-10,10.75,10.75,10.75,10.75,100,0
5,2009-01-28,10.5,10.5,10.5,10.5,1000,0
6,2009-07-20,10.5,10.5,10.5,10.5,400,0
7,2009-07-22,11.0,11.0,11.0,11.0,200,0
8,2009-06-03,10.5,10.5,10.5,10.5,400,0
9,2009-06-16,10.5,10.5,10.5,10.5,100,0
10,2009-11-06,10.5,10.5,10.5,10.5,100,0
11,2009-10-07,10.75,10.75,10.75,10.75,1200,0
12,2009-10-22,10.5,10.5,10.5,10.5,100,0
13,2009-10-27,10.5,10.5,10.5,10.5,100,0
14,2010-04-26,10.5,10.5,10.5,10.5,200,0
15,2010-02-08,10.5,10.5,10.5,10.5,100,0
16,2010-02-16,10.5,10.5,10.5,10.5,100,0
17,2010-01-04,10.5,10.5,10.5,10.5,100,0
18,2010-01-05,10.5,10.5,10.5,10.5,200,0
19,2010-06-02,10.5,10.5,10.5,10.5,100,0
20,2010-03-03,10.75,10.75,10.75,10.75,200,0
21,2010-03-11,10.5,10.5,10.5,10.5,100,0
22,2010-03-15,10.75,10.75,10.75,10.75,300,0
23,2010-05-17,10.5,10.5,10.5,10.5,100,0
24,2010-05-20,10.5,10.5,10.5,10.5,100,0
25,2010-08-03,10.84,10.84,10.84,10.84,200,0
26,2010-08-06,10.84,10.84,10.84,10.84,100,0
27,2010-09-02,10.86,10.86,10.86,10.86,200,0
28,2010-09-06,10.84,10.84,10.84,10.84,200,0
29,2010-10-11,10.94,10.94,10.94,10.94,100,0
30,2010-10-18,10.98,10.98,10.98,10.98,100,0
31,2010-10-28,10.98,10.98,10.98,10.98,100,0
32,2010-11-05,11.2,11.2,11.2,11.2,1000,0
33,2010-11-22,11.06,11.06,11.06,11.06,100,0
34,2010-11-30,11.1,11.1,11.1,11.1,100,0
35,2011-01-11,11.5,11.5,11.5,11.5,400,0
36,2011-01-14,11.5,11.5,11.5,11.5,100,0
37,2011-01-28,10.56,10.56,10.56,10.56,100,0
38,2011-02-11,10.84,10.84,10.84,10.84,400,0
39,2011-04-06,10.88,10.88,10.88,10.88,100,0
40,2011-05-03,10.9,10.9,10.9,10.9,100,0
41,2011-05-05,10.9,10.9,10.9,10.9,100,0
42,2011-05-09,10.92,10.92,10.92,10.92,200,0
43,2011-05-27,10.92,10.92,10.92,10.92,100,0
44,2011-06-07,11.5,11.5,11.5,11.5,300,0
45,2011-06-13,11.5,11.5,11.5,11.5,600,0
46,2011-07-11,10.98,10.98,10.98,10.98,100,0
47,2011-07-25,11.5,11.5,11.5,11.5,100,0
48,2011-08-24,11.5,11.5,11.5,11.5,200,0
49,2011-09-26,11.12,11.12,11.12,11.12,200,0
