,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-07,10.5,10.5,10.5,10.5,100,0
1,2006-12-13,10.5,10.5,10.5,10.5,300,0
2,2006-12-14,10.5,10.5,10.5,10.5,300,0
3,2006-11-09,10.5,10.5,10.5,10.5,100,0
4,2006-11-29,10.5,10.5,10.5,10.5,1000,-10500
5,2007-04-20,11.0,11.0,11.0,11.0,500,0
6,2007-08-14,10.5,10.5,10.5,10.5,1000,0
7,2007-01-04,10.5,10.5,10.5,10.5,100,0
8,2007-01-10,10.5,10.5,10.5,10.5,400,0
9,2007-07-17,10.0,10.0,10.0,10.0,100,0
10,2007-06-04,11.0,11.0,11.0,11.0,300,0
11,2007-06-19,11.0,11.0,11.0,11.0,1000,0
12,2007-09-06,11.0,11.0,11.0,11.0,300,-3300
13,2007-09-26,10.5,11.0,10.5,11.0,200,0
14,2008-04-16,10.75,10.75,10.75,10.75,300,0
15,2008-04-18,10.75,10.75,10.75,10.75,300,0
16,2008-08-04,10.5,10.5,10.5,10.5,300,0
17,2008-02-05,10.0,10.0,10.0,10.0,100,0
18,2008-01-04,10.5,10.5,10.5,10.5,200,0
19,2008-01-08,10.5,10.5,10.5,10.5,1200,0
20,2008-06-02,10.5,10.5,10.5,10.5,100,0
21,2008-06-25,10.5,10.5,10.5,10.5,300,0
22,2008-03-07,10.75,10.75,10.75,10.75,1000,0
23,2008-11-26,10.5,10.5,10.5,10.5,500,0
24,2009-04-02,10.5,10.5,10.5,10.5,1000,0
25,2009-04-28,10.75,10.75,10.75,10.75,100,0
26,2009-04-29,10.75,10.75,10.75,10.75,300,0
27,2009-08-10,10.5,10.5,10.5,10.5,100,0
28,2009-12-11,10.5,10.5,10.5,10.5,200,0
29,2009-01-21,10.5,10.5,10.5,10.5,100,0
30,2009-01-22,10.5,10.5,10.5,10.5,100,0
31,2009-07-20,10.5,10.5,10.5,10.5,200,0
32,2009-06-05,10.5,10.5,10.5,10.5,100,0
33,2009-06-15,10.5,10.5,10.5,10.5,100,0
34,2009-03-03,10.5,10.5,10.5,10.5,300,0
35,2009-05-05,10.5,10.5,10.5,10.5,100,0
36,2009-05-26,10.5,10.5,10.5,10.5,100,0
37,2009-09-14,10.5,10.5,10.5,10.5,400,0
38,2009-09-16,10.5,10.5,10.5,10.5,100,0
39,2010-02-02,10.5,10.5,10.5,10.5,300,0
40,2010-02-08,10.5,10.5,10.5,10.5,100,0
41,2010-02-15,10.5,10.5,10.5,10.5,300,0
42,2010-02-23,10.5,10.5,10.5,10.5,100,0
43,2010-01-04,10.5,10.5,10.5,10.5,100,0
44,2010-06-03,10.5,10.5,10.5,10.5,1000,0
45,2010-03-01,10.5,10.5,10.5,10.5,300,0
46,2010-03-12,10.5,10.5,10.5,10.5,200,0
47,2010-03-15,10.75,10.75,10.75,10.75,700,0
48,2010-05-14,10.5,10.5,10.5,10.5,100,0
49,2010-05-18,10.5,10.5,10.5,10.5,100,0
50,2010-07-30,10.82,10.82,10.82,10.82,100,0
51,2010-08-03,10.84,10.84,10.84,10.84,100,0
52,2010-08-04,10.86,10.86,10.86,10.86,100,0
53,2010-09-22,10.82,10.82,10.82,10.82,1600,-17312
54,2010-09-29,10.8,10.8,10.8,10.8,100,0
55,2010-09-30,10.82,10.82,10.82,10.82,100,0
56,2010-10-07,10.84,10.84,10.84,10.84,400,0
57,2010-10-11,10.84,10.84,10.84,10.84,100,0
58,2010-10-19,10.84,11.04,10.84,11.04,300,0
59,2010-10-27,10.84,10.84,10.84,10.84,100,0
60,2010-10-28,10.84,10.84,10.84,10.84,100,0
61,2010-11-08,11.2,11.2,11.2,11.2,300,0
62,2010-11-19,10.88,10.88,10.86,10.86,700,0
63,2010-12-02,10.88,10.88,10.88,10.88,100,0
64,2010-12-28,10.92,10.92,10.92,10.92,100,0
65,2011-01-05,11.2,11.2,11.2,11.2,300,-3360
66,2011-01-06,10.92,10.92,10.92,10.92,100,0
67,2011-01-07,11.2,11.2,11.2,11.2,300,-3360
68,2011-01-21,11.0,11.0,11.0,11.0,100,0
69,2011-03-08,11.0,11.0,10.94,10.94,800,0
70,2011-03-21,10.94,10.94,10.94,10.94,100,0
71,2011-03-23,11.0,11.0,11.0,11.0,100,0
72,2011-04-20,11.0,11.0,11.0,11.0,1100,0
73,2011-05-10,11.02,11.02,11.02,11.02,100,0
74,2011-06-09,11.04,11.04,11.04,11.04,100,0
75,2011-06-13,11.5,11.5,11.5,11.5,100,0
76,2011-07-07,11.1,11.1,11.1,11.1,100,0
77,2011-07-11,11.12,11.12,11.12,11.12,100,0
78,2011-07-27,11.16,11.16,11.16,11.16,100,0
79,2011-08-03,12.0,12.0,12.0,12.0,300,0
80,2011-08-04,11.14,11.14,11.14,11.14,100,0
81,2011-08-24,11.14,11.14,11.14,11.14,200,0
82,2011-09-02,11.14,11.14,11.14,11.14,200,0
83,2011-09-05,11.14,11.14,11.14,11.14,100,0
84,2011-09-15,11.52,11.52,11.52,11.52,100,0
85,2011-09-26,11.14,11.14,11.14,11.14,300,0
86,2011-10-04,11.12,11.12,11.12,11.12,800,0
