,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,10.5,10.5,10.5,10.5,300,0
1,2006-08-03,10.5,10.5,10.5,10.5,200,0
2,2006-08-08,10.75,10.75,10.75,10.75,300,0
3,2006-11-17,10.75,10.75,10.75,10.75,100,0
4,2006-11-21,10.5,10.5,10.5,10.5,100,0
5,2006-11-23,10.5,10.5,10.5,10.5,700,0
6,2006-09-06,10.5,10.5,10.5,10.5,900,0
7,2006-09-20,10.5,10.5,10.5,10.5,800,0
8,2006-09-27,10.5,10.5,10.5,10.5,100,0
9,2007-04-18,11.0,11.0,11.0,11.0,100,0
10,2007-04-19,11.0,11.0,11.0,11.0,300,0
11,2007-04-30,11.0,11.0,11.0,11.0,700,0
12,2007-08-14,10.5,10.5,10.5,10.5,1000,0
13,2007-12-13,10.5,10.5,10.5,10.5,200,0
14,2007-12-19,10.5,10.5,10.5,10.5,100,0
15,2007-01-04,10.5,10.5,10.5,10.5,100,0
16,2007-01-22,11.0,11.0,11.0,11.0,2000,0
17,2007-03-09,11.0,11.0,11.0,11.0,900,0
18,2007-03-23,11.0,11.0,11.0,11.0,1200,0
19,2007-05-23,10.0,10.0,10.0,10.0,100,0
20,2007-11-07,10.5,10.5,10.5,10.5,300,0
21,2007-11-09,10.5,10.5,10.5,10.5,500,0
22,2007-09-18,10.5,10.5,10.5,10.5,100,0
23,2007-09-21,10.25,10.25,10.25,10.25,300,0
24,2008-04-18,10.5,10.5,10.5,10.5,700,0
25,2008-08-04,10.5,10.5,10.5,10.5,300,0
26,2008-02-11,10.75,10.75,10.75,10.75,3000,0
27,2008-02-26,10.5,10.5,10.5,10.5,100,0
28,2008-01-18,10.5,10.5,10.5,10.5,900,0
29,2008-07-17,10.5,10.5,10.5,10.5,700,0
30,2008-06-16,10.5,10.5,10.5,10.5,100,0
31,2008-05-16,10.5,10.5,10.5,10.5,400,0
32,2008-10-29,10.5,10.5,10.5,10.5,100,0
33,2009-04-28,10.75,10.75,10.75,10.75,1000,0
34,2009-12-08,10.5,10.5,10.5,10.5,100,0
35,2009-12-16,10.5,10.5,10.5,10.5,100,0
36,2009-12-17,10.5,10.5,10.5,10.5,100,0
37,2009-12-18,10.5,10.5,10.5,10.5,300,0
38,2009-02-26,10.5,10.5,10.5,10.5,300,0
39,2009-07-15,10.5,10.5,10.5,10.5,100,-1050
40,2009-06-10,10.5,10.5,10.5,10.5,300,0
41,2009-03-03,10.5,10.5,10.5,10.5,1100,0
42,2009-03-06,10.5,10.5,10.5,10.5,300,0
43,2009-05-05,10.5,10.5,10.5,10.5,100,0
44,2009-11-06,10.5,10.5,10.5,10.5,100,0
45,2009-11-10,10.5,10.5,10.5,10.5,100,0
46,2009-11-23,10.5,10.5,10.5,10.5,100,0
47,2009-11-26,10.5,10.5,10.5,10.5,700,0
48,2009-10-07,10.5,10.5,10.5,10.5,400,0
49,2009-10-09,10.75,10.75,10.75,10.75,100,0
50,2009-10-13,10.5,10.5,10.5,10.5,4500,0
51,2009-10-21,10.5,10.5,10.5,10.5,100,0
52,2009-10-22,10.75,10.75,10.75,10.75,100,0
53,2009-09-15,10.5,10.5,10.5,10.5,100,0
54,2009-09-22,10.5,10.5,10.5,10.5,100,0
55,2010-04-08,10.75,10.75,10.75,10.75,300,0
56,2010-04-12,10.75,10.75,10.75,10.75,100,0
57,2010-02-22,10.5,10.5,10.5,10.5,500,0
58,2010-01-15,10.5,10.5,10.5,10.5,500,0
59,2010-06-16,10.5,10.5,10.5,10.5,100,0
60,2010-03-08,10.75,10.75,10.75,10.75,200,0
61,2010-03-10,10.75,10.75,10.75,10.75,600,0
62,2010-03-18,10.5,10.5,10.5,10.5,500,0
63,2010-05-07,10.5,10.5,10.5,10.5,100,0
64,2010-05-11,10.5,10.5,10.5,10.5,200,0
65,2010-05-13,10.5,10.5,10.5,10.5,100,0
66,2010-10-01,10.82,10.82,10.82,10.82,300,0
67,2010-11-18,10.88,10.88,10.88,10.88,100,0
68,2010-11-19,10.88,10.88,10.88,10.88,200,0
69,2011-01-24,10.98,10.98,10.98,10.98,100,0
70,2011-01-28,10.98,10.98,10.98,10.98,200,0
71,2011-02-09,10.98,10.98,10.98,10.98,100,0
72,2011-03-03,11.3,11.3,11.3,11.3,400,0
73,2011-03-07,11.3,11.3,11.3,11.3,200,0
74,2011-03-18,11.02,11.02,11.02,11.02,100,0
75,2011-03-23,11.5,11.5,11.5,11.5,800,0
76,2011-03-30,11.04,11.04,11.04,11.04,200,0
77,2011-03-31,11.04,11.04,11.04,11.04,100,0
78,2011-04-05,11.5,11.5,11.5,11.5,300,0
79,2011-04-07,11.04,11.04,11.04,11.04,200,0
80,2011-04-19,11.04,11.04,11.04,11.04,100,0
81,2011-05-09,11.04,11.04,11.04,11.04,100,0
82,2011-05-10,11.04,11.04,11.04,11.04,700,0
83,2011-05-17,15.0,15.0,15.0,15.0,100,0
84,2011-05-24,11.04,11.04,11.04,11.04,100,0
85,2011-06-13,11.5,11.5,11.5,11.5,100,0
86,2011-06-14,11.5,11.5,11.5,11.5,100,0
87,2011-06-23,11.5,11.5,11.5,11.5,100,0
88,2011-07-13,11.98,11.98,11.98,11.98,300,0
89,2011-09-02,11.18,11.18,11.18,11.18,200,0
90,2011-09-09,11.24,11.24,11.24,11.24,100,0
91,2011-09-26,11.26,11.26,11.26,11.26,200,0
