,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-08,10.75,10.75,10.75,10.75,100,0
1,2006-08-09,10.5,10.5,10.5,10.5,800,0
2,2006-11-16,10.5,10.5,10.5,10.5,100,0
3,2006-11-23,10.5,10.5,10.5,10.5,400,0
4,2006-11-27,10.5,10.5,10.5,10.5,1700,0
5,2006-10-05,11.5,11.5,11.5,11.5,900,0
6,2006-10-09,10.5,10.5,10.5,10.5,1100,0
7,2006-10-11,10.5,10.5,10.5,10.5,300,0
8,2006-09-05,10.5,10.5,10.5,10.5,100,0
9,2006-09-13,10.5,10.5,10.5,10.5,2400,0
10,2006-09-20,10.5,10.5,10.5,10.5,800,0
11,2006-09-25,10.5,10.5,10.5,10.5,300,0
12,2006-09-26,10.5,10.5,10.5,10.5,100,0
13,2007-04-10,11.0,11.0,11.0,11.0,300,0
14,2007-04-25,11.0,11.0,11.0,11.0,400,0
15,2007-04-30,11.0,11.0,11.0,11.0,4000,0
16,2007-08-13,10.5,10.5,10.5,10.5,100,0
17,2007-08-30,10.5,10.5,10.5,10.5,100,0
18,2007-12-28,11.5,11.5,11.5,11.5,100,0
19,2007-02-01,11.0,11.0,11.0,11.0,500,0
20,2007-02-02,11.0,11.0,11.0,11.0,500,0
21,2007-02-21,11.0,11.0,11.0,11.0,300,0
22,2007-01-04,10.5,10.5,10.5,10.5,100,0
23,2007-01-22,10.5,11.0,10.5,11.0,2400,0
24,2007-01-31,11.0,11.0,11.0,11.0,800,0
25,2007-07-05,10.75,10.75,10.75,10.75,100,0
26,2007-07-06,10.75,10.75,10.75,10.75,300,0
27,2007-07-26,10.5,10.5,10.5,10.5,1400,0
28,2007-06-06,11.0,11.0,11.0,11.0,400,0
29,2007-06-08,11.0,11.0,11.0,11.0,1100,0
30,2007-06-15,10.5,10.5,10.5,10.5,100,0
31,2007-06-26,10.5,10.5,10.5,10.5,300,0
32,2007-03-02,11.0,11.0,11.0,11.0,100,0
33,2007-03-15,11.0,11.0,11.0,11.0,300,0
34,2007-11-09,10.5,10.5,10.5,10.5,900,0
35,2007-11-15,11.5,11.5,11.5,11.5,600,0
36,2007-09-14,10.25,10.5,10.25,10.5,1200,0
37,2008-04-18,10.5,10.5,10.5,10.5,100,0
38,2008-04-24,10.5,10.5,10.5,10.5,100,0
39,2008-12-10,10.5,10.5,10.5,10.5,100,0
40,2008-02-11,10.5,10.5,10.5,10.5,100,0
41,2008-02-18,10.5,10.5,10.5,10.5,100,0
42,2008-01-25,10.5,10.5,10.5,10.5,200,0
43,2008-07-17,10.5,10.5,10.5,10.5,700,0
44,2008-03-07,10.75,10.75,10.75,10.75,1200,0
45,2008-05-16,10.5,10.5,10.5,10.5,500,0
46,2008-10-06,10.5,10.5,10.5,10.5,200,0
47,2008-10-29,10.5,10.5,10.5,10.5,8000,0
48,2009-04-02,10.75,10.75,10.75,10.75,300,0
49,2009-08-10,10.5,10.5,10.5,10.5,100,0
50,2009-12-28,10.5,10.5,10.5,10.5,100,0
51,2009-02-11,10.5,10.5,10.5,10.5,300,0
52,2009-07-20,10.5,10.5,10.5,10.5,100,0
53,2009-03-03,10.5,10.5,10.5,10.5,200,0
54,2009-05-05,10.5,10.5,10.5,10.5,100,0
55,2009-05-25,10.5,10.5,10.5,10.5,700,0
56,2009-11-16,10.75,10.75,10.5,10.5,1000,0
57,2009-11-17,10.5,10.5,10.5,10.5,300,0
58,2009-10-02,10.5,10.5,10.5,10.5,100,0
59,2009-09-03,10.5,10.5,10.5,10.5,100,0
60,2009-09-09,10.5,10.5,10.5,10.5,500,0
61,2010-04-29,10.5,10.5,10.5,10.5,300,0
62,2010-02-02,10.5,10.5,10.5,10.5,500,0
63,2010-02-15,10.5,10.5,10.5,10.5,300,0
64,2010-02-18,10.5,10.5,10.5,10.5,100,0
65,2010-01-25,10.5,10.5,10.5,10.5,100,0
66,2010-07-05,10.75,10.75,10.75,10.75,1000,0
67,2010-07-07,10.75,10.75,10.75,10.75,100,0
68,2010-06-21,10.5,10.5,10.5,10.5,500,0
69,2010-06-25,10.5,10.5,10.5,10.5,100,0
70,2010-03-10,10.75,10.75,10.75,10.75,500,0
71,2010-03-26,10.75,10.75,10.75,10.75,200,0
72,2010-05-07,10.5,10.5,10.5,10.5,300,0
73,2010-05-12,10.5,10.5,10.5,10.5,100,0
74,2010-05-14,10.5,10.5,10.5,10.5,400,0
75,2010-07-30,10.82,10.82,10.82,10.82,200,0
76,2010-08-02,10.84,10.84,10.84,10.84,200,0
77,2010-08-03,10.84,10.84,10.84,10.84,100,0
78,2010-08-04,11.0,11.0,11.0,11.0,500,0
79,2010-08-16,10.86,10.86,10.86,10.86,100,0
80,2010-09-08,10.9,10.9,10.9,10.9,200,0
81,2010-09-24,11.0,11.0,11.0,11.0,5600,0
82,2010-10-05,11.04,11.04,11.04,11.04,300,0
83,2010-10-06,11.04,11.04,11.04,11.04,200,0
84,2010-11-08,11.2,11.2,11.2,11.2,100,0
85,2010-11-09,11.2,11.2,11.2,11.2,100,0
86,2010-11-26,11.5,11.5,11.5,11.5,300,0
87,2010-12-08,10.5,10.5,10.5,10.5,700,0
88,2011-01-07,11.5,11.5,11.5,11.5,1800,0
89,2011-01-25,11.0,11.0,11.0,11.0,200,0
90,2011-01-26,10.8,10.8,10.8,10.8,300,0
91,2011-02-08,10.7,10.7,10.7,10.7,300,0
92,2011-03-01,10.9,10.9,10.9,10.9,100,0
93,2011-03-10,11.5,11.5,11.5,11.5,300,0
94,2011-04-05,11.0,11.0,11.0,11.0,100,0
95,2011-04-06,11.5,11.5,11.5,11.5,500,0
96,2011-04-14,11.5,11.5,11.5,11.5,100,0
97,2011-04-20,11.0,11.0,11.0,11.0,700,0
98,2011-04-26,10.96,10.96,10.96,10.96,100,0
99,2011-04-29,11.0,11.0,11.0,11.0,100,0
100,2011-05-17,11.02,11.02,11.02,11.02,1200,0
101,2011-05-19,11.02,11.02,11.02,11.02,100,0
102,2011-06-13,11.5,11.5,11.5,11.5,300,0
103,2011-06-14,11.02,11.02,11.02,11.02,700,0
104,2011-06-22,11.08,11.08,11.08,11.08,100,0
105,2011-07-13,11.14,11.14,11.14,11.14,100,0
106,2011-07-21,11.12,11.12,11.12,11.12,400,0
107,2011-07-25,11.12,11.12,11.12,11.12,100,0
108,2011-08-05,11.5,11.5,11.16,11.16,400,0
109,2011-09-02,11.14,11.14,11.14,11.14,100,0
110,2011-09-09,11.26,11.26,11.26,11.26,300,0
111,2011-09-14,11.5,11.5,11.5,11.5,100,0
112,2011-09-26,11.2,11.2,11.2,11.2,100,0
