,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-15,10.75,10.75,10.75,10.75,300,0
1,2006-11-08,10.5,10.5,10.5,10.5,100,0
2,2006-11-15,10.5,10.5,10.5,10.5,100,0
3,2006-11-21,10.5,10.5,10.5,10.5,100,0
4,2006-11-23,10.75,10.75,10.5,10.5,2400,0
5,2006-11-29,10.5,10.5,10.5,10.5,300,-3150
6,2006-10-04,10.5,10.5,10.5,10.5,100,0
7,2006-10-26,10.5,10.5,10.5,10.5,100,0
8,2006-09-08,10.5,10.5,10.5,10.5,500,0
9,2006-09-13,10.5,10.5,10.5,10.5,900,0
10,2006-09-19,10.5,10.5,10.5,10.5,100,0
11,2006-09-27,10.5,10.5,10.5,10.5,100,0
12,2007-08-07,10.5,10.5,10.5,10.5,300,0
13,2007-12-07,10.5,10.5,10.5,10.5,100,0
14,2007-12-13,10.5,10.5,10.5,10.5,300,0
15,2007-12-18,10.5,10.5,10.5,10.5,100,0
16,2007-12-19,10.5,10.5,10.5,10.5,1200,0
17,2007-02-01,11.0,11.0,11.0,11.0,100,0
18,2007-02-02,11.0,11.0,11.0,11.0,1300,0
19,2007-02-21,11.0,11.0,11.0,11.0,100,0
20,2007-01-17,10.75,10.75,10.75,10.75,300,0
21,2007-01-22,10.75,10.75,10.75,10.75,500,0
22,2007-01-26,11.0,11.0,11.0,11.0,100,0
23,2007-07-04,11.0,11.0,11.0,11.0,1800,0
24,2007-07-06,10.75,10.75,10.75,10.75,100,0
25,2007-07-18,10.5,10.5,10.5,10.5,3500,0
26,2007-07-26,10.5,10.5,10.5,10.5,700,0
27,2007-06-08,11.0,11.0,11.0,11.0,1000,0
28,2007-06-29,10.75,10.75,10.75,10.75,1000,0
29,2007-03-15,11.0,11.0,11.0,11.0,100,0
30,2007-05-03,11.0,11.0,11.0,11.0,2500,0
31,2007-05-22,10.0,10.0,10.0,10.0,300,0
32,2007-11-07,10.5,10.5,10.5,10.5,700,0
33,2007-10-16,10.25,10.25,10.25,10.25,100,0
34,2007-10-30,10.5,10.5,10.5,10.5,300,0
35,2007-09-06,10.25,10.5,10.25,10.5,200,0
