,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-21,10.5,10.5,10.5,10.5,1200,0
1,2006-11-15,10.5,10.5,10.5,10.5,100,0
2,2006-11-29,10.5,10.5,10.5,10.5,400,-4200
3,2006-10-20,10.5,10.5,10.5,10.5,300,0
4,2006-09-22,10.5,10.5,10.5,10.5,600,0
5,2007-12-04,10.25,10.25,10.25,10.25,100,0
6,2007-12-18,10.75,10.75,10.5,10.5,400,0
7,2007-12-28,10.5,10.5,10.5,10.5,100,0
8,2007-02-01,11.0,11.0,11.0,11.0,600,0
9,2007-02-06,11.0,11.0,11.0,11.0,100,0
10,2007-02-14,11.0,11.0,11.0,11.0,100,0
11,2007-01-11,10.5,10.5,10.5,10.5,300,0
12,2007-01-24,10.75,10.75,10.75,10.75,100,0
13,2007-01-26,11.0,11.0,11.0,11.0,300,0
14,2007-07-02,10.75,10.75,10.75,10.75,400,0
15,2007-07-13,10.75,10.75,10.75,10.75,100,0
16,2007-07-17,10.5,10.5,10.5,10.5,2500,0
17,2007-07-25,10.5,10.5,10.5,10.5,2400,0
18,2007-06-04,11.0,11.0,11.0,11.0,100,0
19,2007-06-26,10.5,10.5,10.5,10.5,100,0
20,2007-03-01,11.0,11.0,11.0,11.0,100,0
21,2007-03-15,11.0,11.0,11.0,11.0,100,0
22,2007-05-29,11.0,11.0,11.0,11.0,100,0
23,2007-11-09,10.5,10.5,10.5,10.5,1000,0
24,2007-11-16,10.5,10.5,10.5,10.5,100,0
25,2007-10-11,10.5,10.5,10.5,10.5,100,0
26,2007-10-22,10.5,10.5,10.5,10.5,300,0
27,2007-09-04,10.25,10.25,10.25,10.25,100,0
28,2007-09-11,10.5,10.5,10.5,10.5,800,0
29,2007-09-14,10.25,10.25,10.25,10.25,100,0
30,2007-09-27,10.25,10.25,10.25,10.25,100,0
31,2008-04-11,10.5,10.5,10.5,10.5,800,0
32,2008-04-24,10.5,10.75,10.5,10.75,300,0
33,2008-08-29,10.5,10.5,10.5,10.5,100,0
34,2008-02-13,10.5,10.5,10.5,10.5,100,0
35,2008-02-28,10.5,10.5,10.5,10.5,100,0
36,2008-01-04,10.5,10.5,10.5,10.5,100,0
37,2008-01-14,10.5,10.5,10.5,10.5,100,0
38,2008-01-15,10.5,10.5,10.5,10.5,900,0
39,2008-01-18,10.5,10.5,10.5,10.5,300,0
40,2008-01-25,10.5,10.5,10.5,10.5,300,0
41,2008-01-30,10.5,10.5,10.5,10.5,100,0
42,2008-07-28,10.5,10.5,10.5,10.5,100,0
43,2008-07-31,10.5,10.5,10.5,10.5,700,0
44,2008-06-25,10.5,10.5,10.5,10.5,100,0
45,2008-03-03,10.5,10.5,10.5,10.5,100,0
46,2008-03-04,10.5,10.5,10.5,10.5,100,0
47,2008-03-19,10.5,10.5,10.5,10.5,100,0
48,2008-05-02,10.5,10.5,10.5,10.5,100,0
49,2008-11-14,10.5,10.5,10.5,10.5,2700,0
50,2008-10-29,10.5,10.5,10.5,10.5,3300,0
51,2008-09-12,10.5,10.5,10.5,10.5,100,0
52,2009-04-28,10.75,10.75,10.75,10.75,700,0
53,2009-08-07,10.5,10.5,10.5,10.5,300,0
54,2009-08-27,10.5,10.5,10.5,10.5,100,0
55,2009-12-08,10.5,10.5,10.5,10.5,400,0
56,2009-12-18,10.5,10.5,10.5,10.5,100,0
57,2009-02-05,10.5,10.5,10.5,10.5,100,0
