,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-09,10.5,10.5,10.5,10.5,100,0
1,2006-08-10,10.5,10.5,10.5,10.5,100,0
2,2006-12-05,10.5,10.5,10.5,10.5,200,0
3,2006-12-21,10.5,10.5,10.5,10.5,200,0
4,2006-11-09,10.5,10.5,10.5,10.5,100,-1050
5,2006-11-13,10.75,10.75,10.75,10.75,100,0
6,2006-11-14,10.5,10.5,10.5,10.5,300,0
7,2006-11-20,10.5,10.5,10.5,10.5,100,0
8,2006-11-21,10.5,10.5,10.5,10.5,700,0
9,2006-11-29,10.5,10.5,10.5,10.5,1900,-19950
10,2006-10-03,10.5,10.5,10.5,10.5,100,0
11,2006-10-05,11.5,11.5,11.5,11.5,200,0
12,2006-10-06,11.0,11.0,11.0,11.0,100,0
13,2006-10-09,10.5,10.5,10.5,10.5,100,0
14,2006-10-11,10.5,10.5,10.5,10.5,300,0
15,2006-10-12,10.5,10.5,10.5,10.5,1400,0
16,2006-10-13,10.5,10.5,10.5,10.5,1100,0
17,2006-10-25,10.5,10.5,10.5,10.5,100,0
18,2006-09-05,10.5,10.5,10.5,10.5,900,0
19,2006-09-11,10.5,10.5,10.5,10.5,1000,0
20,2006-09-12,10.5,10.5,10.5,10.5,100,0
21,2006-09-18,10.5,10.5,10.5,10.5,300,0
22,2006-09-22,10.5,10.5,10.5,10.5,1000,0
23,2007-04-11,11.0,11.0,11.0,11.0,700,0
24,2007-04-20,11.0,11.0,11.0,11.0,100,0
25,2007-04-23,11.0,11.0,11.0,11.0,100,0
26,2007-08-01,10.0,10.0,10.0,10.0,300,0
27,2007-08-08,10.0,10.0,10.0,10.0,2000,0
28,2007-08-09,10.5,10.5,10.5,10.5,2000,0
29,2007-08-14,10.5,10.5,10.5,10.5,600,0
30,2007-12-04,10.25,10.5,10.25,10.5,1200,0
31,2007-12-07,10.5,10.5,10.5,10.5,200,0
32,2007-12-13,10.5,10.5,10.5,10.5,1700,0
33,2007-12-18,10.75,10.75,10.75,10.75,2400,0
34,2007-02-01,11.0,11.0,11.0,11.0,500,0
35,2007-02-02,11.0,11.0,11.0,11.0,100,0
36,2007-02-13,11.0,11.0,11.0,11.0,500,0
37,2007-02-15,11.0,11.0,11.0,11.0,100,0
38,2007-01-05,10.5,10.5,10.5,10.5,1800,0
39,2007-01-12,10.5,10.5,10.5,10.5,1000,0
40,2007-01-22,10.75,10.75,10.75,10.75,1200,0
41,2007-01-24,10.75,10.75,10.75,10.75,200,0
42,2007-01-25,11.0,11.0,11.0,11.0,1100,0
43,2007-01-31,11.0,11.0,11.0,11.0,300,0
44,2007-07-04,10.75,10.75,10.75,10.75,100,0
45,2007-07-06,10.75,10.75,10.75,10.75,100,0
46,2007-07-10,10.75,10.75,10.75,10.75,100,0
47,2007-07-23,10.5,10.5,10.5,10.5,1100,0
48,2007-07-25,10.5,10.5,10.5,10.5,700,0
