,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-16,10.5,10.5,10.5,10.5,1500,0
1,2006-12-05,10.5,10.5,10.5,10.5,100,0
2,2006-12-07,10.5,10.5,10.5,10.5,2000,0
3,2006-12-15,10.5,10.5,10.5,10.5,600,0
4,2006-12-27,10.5,10.5,10.5,10.5,1000,0
5,2006-11-06,10.5,10.5,10.5,10.5,1000,0
6,2006-11-07,10.5,10.5,10.5,10.5,100,0
7,2006-11-09,10.5,10.5,10.5,10.5,200,0
8,2006-11-16,10.5,10.5,10.5,10.5,1000,0
9,2006-11-21,10.5,10.5,10.5,10.5,200,0
10,2006-11-24,10.5,10.5,10.5,10.5,100,0
11,2006-11-27,10.5,10.5,10.5,10.5,2200,0
12,2006-11-29,10.5,10.5,10.5,10.5,1400,-14700
13,2006-10-04,10.5,10.5,10.5,10.5,100,0
14,2006-10-05,11.5,11.5,11.5,11.5,4000,0
15,2006-10-13,10.5,10.5,10.5,10.5,1000,0
16,2006-10-27,10.5,10.5,10.5,10.5,700,0
17,2006-09-04,10.5,10.5,10.5,10.5,300,0
18,2006-09-05,10.5,10.5,10.5,10.5,1300,0
19,2006-09-08,10.5,10.5,10.5,10.5,600,0
20,2006-09-13,10.5,10.5,10.5,10.5,1100,0
21,2006-09-19,10.5,10.5,10.5,10.5,100,0
22,2006-09-20,10.5,10.5,10.5,10.5,900,0
23,2006-09-21,10.5,10.5,10.5,10.5,200,0
24,2006-09-27,10.5,10.5,10.5,10.5,100,0
25,2007-04-10,11.0,11.0,11.0,11.0,500,0
26,2007-04-20,11.0,11.0,11.0,11.0,200,0
27,2007-08-01,10.0,10.0,10.0,10.0,1000,0
28,2007-08-09,10.5,10.5,10.5,10.5,1000,0
29,2007-08-14,10.5,10.5,10.5,10.5,100,0
30,2007-08-15,10.5,10.5,10.5,10.5,100,0
31,2007-12-04,10.25,10.25,10.25,10.25,300,0
32,2007-12-13,10.5,10.5,10.5,10.5,12100,0
33,2007-12-19,10.5,10.5,10.5,10.5,1000,0
34,2007-02-01,11.0,11.0,11.0,11.0,100,0
35,2007-02-19,11.0,11.0,11.0,11.0,300,0
36,2007-01-10,10.75,10.75,10.75,10.75,300,0
37,2007-01-16,10.75,10.75,10.75,10.75,100,0
38,2007-01-31,11.0,11.0,11.0,11.0,700,0
39,2007-07-04,11.0,11.0,10.75,10.75,1900,0
40,2007-07-17,10.5,10.5,10.5,10.5,1200,0
41,2007-07-23,10.5,10.5,10.5,10.5,1700,0
42,2007-07-27,10.5,10.5,10.5,10.5,100,0
43,2007-06-06,11.0,11.0,11.0,11.0,300,0
44,2007-03-02,11.0,11.0,11.0,11.0,100,0
45,2007-03-06,11.0,11.0,11.0,11.0,700,0
46,2007-03-15,11.0,11.0,11.0,11.0,100,0
47,2007-03-16,11.0,11.0,11.0,11.0,100,0
48,2007-03-22,11.0,11.0,11.0,11.0,2200,0
49,2007-03-23,11.0,11.0,11.0,11.0,1000,0
50,2007-03-28,11.0,11.0,11.0,11.0,200,0
51,2007-03-30,11.0,11.0,11.0,11.0,100,0
52,2007-05-24,11.0,11.0,11.0,11.0,100,0
53,2007-05-30,11.0,11.0,11.0,11.0,1000,0
