,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,10.5,10.5,10.5,10.5,100,0
1,2006-08-04,10.5,10.5,10.5,10.5,1600,0
2,2006-08-07,10.5,10.5,10.5,10.5,800,0
3,2006-08-09,10.5,10.5,10.5,10.5,2000,0
4,2006-08-15,10.5,10.5,10.5,10.5,300,0
5,2006-08-16,10.5,10.5,10.5,10.5,300,0
6,2006-12-18,10.5,10.5,10.5,10.5,200,0
7,2006-12-19,10.5,10.5,10.5,10.5,800,0
8,2006-12-27,10.5,10.5,10.5,10.5,15500,-147000
9,2006-11-06,10.5,10.5,10.5,10.5,1200,0
10,2006-11-10,10.5,10.5,10.5,10.5,100,0
11,2006-11-15,10.5,10.5,10.5,10.5,300,0
12,2006-11-16,10.5,10.5,10.5,10.5,2600,0
13,2006-11-21,10.5,10.5,10.5,10.5,3700,0
14,2006-11-23,10.5,10.5,10.5,10.5,1200,0
15,2006-10-11,10.5,10.5,10.5,10.5,100,0
16,2006-10-13,10.5,10.5,10.5,10.5,1800,0
17,2006-10-19,10.5,10.5,10.5,10.5,1200,0
18,2006-10-25,10.5,10.5,10.5,10.5,200,0
19,2006-10-27,10.5,10.5,10.5,10.5,100,0
20,2006-10-30,10.5,10.5,10.5,10.5,300,0
21,2006-09-05,10.5,10.5,10.5,10.5,2800,0
22,2006-09-06,10.5,10.5,10.5,10.5,100,0
23,2006-09-19,10.5,10.5,10.5,10.5,1700,0
24,2006-09-21,10.5,10.5,10.5,10.5,100,0
25,2006-09-26,10.5,10.5,10.5,10.5,100,0
26,2006-09-27,10.5,10.5,10.5,10.5,100,0
27,2007-04-10,11.0,11.0,11.0,11.0,100,0
28,2007-04-13,11.0,11.0,11.0,11.0,1500,0
29,2007-04-16,11.0,11.0,11.0,11.0,1000,0
30,2007-04-17,11.0,11.0,11.0,11.0,200,0
31,2007-04-20,11.0,11.0,11.0,11.0,200,0
32,2007-04-30,11.0,11.0,11.0,11.0,4000,0
33,2007-08-14,10.5,10.5,10.5,10.5,1000,0
34,2007-12-13,10.5,10.5,10.5,10.5,500,0
35,2007-12-17,10.5,10.5,10.5,10.5,100,0
36,2007-02-05,11.0,11.0,11.0,11.0,100,0
37,2007-02-19,11.0,11.0,11.0,11.0,2200,0
38,2007-02-20,11.0,11.0,11.0,11.0,700,0
39,2007-01-02,10.5,10.5,10.5,10.5,100,0
40,2007-01-19,10.75,10.75,10.75,10.75,1700,0
41,2007-01-25,11.0,11.0,11.0,11.0,1200,0
42,2007-01-31,11.0,11.0,11.0,11.0,700,0
43,2007-07-06,10.75,10.75,10.75,10.75,100,0
44,2007-07-17,10.5,10.5,10.5,10.5,1400,0
45,2007-07-19,11.0,11.0,11.0,11.0,300,-3300
46,2007-07-30,10.0,10.0,10.0,10.0,700,0
47,2007-06-01,11.0,11.0,11.0,11.0,100,0
48,2007-06-14,10.5,10.5,10.5,10.5,100,0
49,2007-06-15,10.5,10.5,10.5,10.5,1300,0
50,2007-06-18,10.5,10.5,10.5,10.5,100,0
51,2007-06-21,10.5,10.5,10.5,10.5,700,0
52,2007-06-29,10.75,10.75,10.75,10.75,700,0
53,2007-03-06,11.0,11.0,11.0,11.0,700,0
54,2007-03-08,11.0,11.0,11.0,11.0,100,0
55,2007-03-09,11.0,11.0,11.0,11.0,100,0
56,2007-03-15,11.0,11.0,11.0,11.0,2200,0
57,2007-05-02,11.0,11.0,11.0,11.0,300,0
58,2007-05-07,11.0,11.0,11.0,11.0,200,0
59,2007-05-11,11.0,11.0,11.0,11.0,500,0
60,2007-05-15,11.0,11.0,11.0,11.0,700,0
61,2007-05-17,10.0,11.0,10.0,11.0,1300,0
62,2007-05-23,11.0,11.0,10.5,10.5,2500,0
63,2007-05-24,11.0,11.0,11.0,11.0,300,0
64,2007-05-25,11.0,11.0,11.0,11.0,100,0
65,2007-05-28,11.0,11.0,11.0,11.0,700,0
66,2007-05-30,11.0,11.0,11.0,11.0,1500,0
67,2007-11-06,10.5,10.5,10.5,10.5,300,0
68,2007-11-07,10.5,10.5,10.5,10.5,300,0
