,Date,Open,High,Low,Close,Volume,OtherData
0,2014-01-13,81.0,104.9,81.0,98.95,893980.0,-477462.0
1,2014-01-14,97.0,97.0,81.2,82.1,660410.0,2402397.0
2,2014-01-15,82.0,82.0,66.0,70.0,653740.0,-2427962.0
3,2014-01-16,70.1,77.9,68.0,73.0,878470.0,-13512865.0
4,2014-01-17,72.6,76.2,71.15,74.9,336770.0,-4363980.0
5,2014-01-20,74.9,80.0,72.55,77.5,365820.0,-494051.0
6,2014-01-21,77.5,78.0,76.3,77.45,143640.0,-393970.0
7,2014-01-22,77.45,78.0,75.55,77.3,133730.0,-4384773.0
8,2014-01-23,75.55,77.0,75.0,75.0,167770.0,-7284952.0
9,2014-01-24,74.25,75.0,72.1,75.0,92330.0,-1889728.0
10,2014-01-27,72.55,74.95,72.5,74.0,82120.0,822323.0
11,2014-01-28,73.15,74.0,72.5,73.95,96300.0,-2793988.0
12,2014-01-29,72.35,74.5,72.0,74.5,134890.0,-3912372.0
13,2014-01-30,72.0,72.3,71.95,72.0,270230.0,-4900527.0
14,2014-02-03,71.9,71.9,70.5,71.0,112530.0,-2058110.0
15,2014-02-04,70.2,70.2,68.7,69.0,96190.0,-2394675.0
16,2014-02-05,68.6,68.7,68.0,68.0,86050.0,-1010524.0
17,2014-02-06,67.1,70.0,67.1,70.0,110360.0,-1171758.0
18,2014-02-07,68.0,69.9,67.55,67.7,63980.0,-1862603.0
19,2014-02-10,67.55,67.55,66.5,67.0,131420.0,-7193797.0
20,2014-02-11,66.0,67.1,65.0,65.0,193790.0,-7844801.0
21,2014-02-12,66.0,66.5,63.8,63.8,167700.0,-5003969.0
22,2014-02-13,63.55,65.0,63.5,64.0,78070.0,-1174173.0
23,2014-02-14,63.5,66.0,63.0,65.0,80350.0,-1859174.0
24,2014-02-17,64.0,65.0,63.2,65.0,48840.0,-1229299.0
25,2014-02-18,65.0,65.0,63.5,64.0,31390.0,-816078.0
26,2014-02-19,63.65,64.5,63.55,64.5,81230.0,-1682880.0
27,2014-02-20,64.0,64.5,63.55,64.5,44220.0,-1435272.0
28,2014-02-21,64.5,64.5,63.55,64.5,44870.0,-1038506.0
29,2014-02-24,64.5,65.0,63.55,65.0,62870.0,-2097148.0
30,2014-02-25,63.7,64.9,63.6,64.8,45390.0,-1421955.0
31,2014-02-26,64.9,64.9,63.6,63.6,76280.0,-3468699.0
32,2014-02-27,63.7,64.0,62.0,62.0,144820.0,-7786145.0
33,2014-02-28,62.0,62.6,60.0,60.0,188130.0,-7756254.0
34,2014-03-03,60.0,60.0,58.8,60.0,96580.0,-3378607.0
35,2014-03-04,59.5,59.8,58.55,59.5,63250.0,-2106014.0
