,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-04,10.5,10.5,10.5,10.5,1300,0
1,2006-08-09,10.5,10.5,10.5,10.5,2000,0
2,2006-12-07,10.5,10.5,10.5,10.5,2000,0
3,2006-12-22,10.5,10.5,10.5,10.5,100,0
4,2006-12-27,10.5,10.5,10.5,10.5,4500,-31500
5,2006-11-06,10.5,10.5,10.5,10.5,900,0
6,2006-11-09,10.5,10.5,10.5,10.5,5000,0
7,2006-11-16,10.5,10.5,10.5,10.5,2200,0
8,2006-11-17,10.5,10.5,10.5,10.5,100,0
9,2006-11-23,10.5,10.5,10.5,10.5,1500,0
10,2006-10-02,10.5,10.5,10.5,10.5,100,0
11,2006-10-09,10.5,10.5,10.5,10.5,3300,0
12,2006-10-13,10.5,10.5,10.5,10.5,1700,0
13,2006-10-19,10.5,10.5,10.5,10.5,1600,0
14,2006-10-26,10.5,10.5,10.5,10.5,1200,0
15,2006-09-05,10.5,10.5,10.5,10.5,2000,0
16,2006-09-13,10.5,10.5,10.5,10.5,1900,0
17,2006-09-19,10.5,10.5,10.5,10.5,2300,0
18,2006-09-22,10.5,10.5,10.5,10.5,900,0
19,2006-09-25,10.5,10.5,10.5,10.5,100,0
20,2007-04-13,11.0,11.0,11.0,11.0,2300,0
21,2007-08-03,10.5,10.5,10.5,10.5,100,0
22,2007-08-14,10.5,10.5,10.5,10.5,1300,0
23,2007-08-24,10.5,10.5,10.5,10.5,1200,0
24,2007-08-30,10.5,10.5,10.5,10.5,300,0
25,2007-12-04,10.5,10.5,10.5,10.5,1000,0
26,2007-02-14,11.0,11.0,11.0,11.0,1800,0
27,2007-02-19,11.0,11.0,11.0,11.0,2500,0
28,2007-01-05,10.75,10.75,10.75,10.75,2200,0
29,2007-01-19,10.75,10.75,10.75,10.75,4100,0
30,2007-01-22,11.0,11.0,11.0,11.0,200,0
31,2007-01-23,11.0,11.0,11.0,11.0,1000,0
32,2007-01-25,11.0,11.0,11.0,11.0,700,0
33,2007-07-16,10.5,10.5,10.5,10.5,2000,0
34,2007-07-31,10.5,10.5,10.5,10.5,2000,0
35,2007-06-04,11.0,11.0,11.0,11.0,100,0
36,2007-06-28,10.75,10.75,10.75,10.75,100,0
37,2007-03-01,11.0,11.0,11.0,11.0,1000,0
38,2007-03-06,11.0,11.0,11.0,11.0,1300,0
39,2007-03-12,11.0,11.0,11.0,11.0,100,0
40,2007-05-30,11.0,11.0,11.0,11.0,1900,0
41,2007-11-09,10.5,10.5,10.5,10.5,2400,0
42,2007-11-20,10.5,10.5,10.5,10.5,900,0
43,2007-10-30,10.5,10.5,10.5,10.5,900,0
44,2007-09-03,10.25,10.25,10.25,10.25,300,0
45,2007-09-11,10.5,10.5,10.5,10.5,1300,0
46,2007-09-18,10.5,10.5,10.5,10.5,800,0
47,2008-04-11,10.5,10.5,10.5,10.5,2300,0
48,2008-04-22,10.5,10.5,10.5,10.5,1300,0
