,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-09,10.5,10.5,10.5,10.5,500,0
1,2006-12-15,10.5,10.5,10.5,10.5,400,0
2,2006-12-19,10.5,10.5,10.5,10.5,100,0
3,2006-11-16,10.5,10.5,10.5,10.5,1300,0
4,2006-10-02,10.5,10.5,10.5,10.5,200,0
5,2006-10-03,10.5,10.5,10.5,10.5,2600,0
6,2006-10-09,10.5,10.5,10.5,10.5,1900,0
7,2006-10-19,10.5,10.5,10.5,10.5,1000,0
8,2006-09-05,10.5,10.5,10.5,10.5,1000,0
9,2006-09-25,10.5,10.5,10.5,10.5,200,0
10,2007-04-13,11.0,11.0,11.0,11.0,1300,0
11,2007-12-04,10.5,10.5,10.5,10.5,600,0
12,2007-02-05,11.0,11.0,11.0,11.0,6000,0
13,2007-01-19,10.75,10.75,10.75,10.75,1700,0
14,2007-01-23,10.75,10.75,10.75,10.75,100,0
15,2007-07-16,10.5,10.5,10.5,10.5,4400,0
16,2007-07-31,10.5,10.5,10.5,10.5,4400,0
17,2007-06-08,11.0,11.0,11.0,11.0,1100,0
18,2007-03-06,11.0,11.0,11.0,11.0,2100,0
19,2007-03-15,11.0,11.0,11.0,11.0,1100,0
20,2007-05-25,11.0,11.0,11.0,11.0,400,0
21,2007-05-30,11.0,11.0,11.0,11.0,4000,0
22,2007-11-09,10.5,10.5,10.5,10.5,1400,0
23,2007-11-20,10.5,10.5,10.5,10.5,800,0
24,2007-10-02,10.5,10.5,10.5,10.5,100,0
25,2007-10-09,10.5,10.5,10.5,10.5,200,0
26,2007-10-16,10.25,10.25,10.25,10.25,100,0
27,2007-10-24,10.5,10.5,10.25,10.25,1200,0
28,2007-09-04,10.5,10.5,10.5,10.5,1500,0
29,2007-09-18,10.5,10.5,10.5,10.5,1900,0
30,2008-04-14,10.5,10.5,10.5,10.5,700,0
31,2008-04-24,10.5,10.5,10.5,10.5,100,0
32,2008-04-29,10.5,10.5,10.5,10.5,300,0
33,2008-01-15,10.5,10.5,10.5,10.5,700,0
34,2008-07-07,10.5,10.5,10.5,10.5,200,0
35,2008-05-05,10.5,10.5,10.5,10.5,700,0
36,2008-05-06,10.5,10.5,10.5,10.5,800,0
37,2008-05-09,10.5,10.5,10.5,10.5,200,0
38,2008-09-02,10.5,10.5,10.5,10.5,100,0
39,2008-09-24,10.5,10.5,10.5,10.5,1300,0
40,2009-04-02,10.75,10.75,10.5,10.75,1100,0
41,2009-04-28,10.75,10.75,10.75,10.75,200,0
42,2009-08-06,10.5,10.5,10.5,10.5,100,0
43,2009-12-02,10.5,10.5,10.5,10.5,300,0
44,2009-12-14,10.5,10.5,10.5,10.5,100,0
45,2009-12-16,10.5,10.5,10.5,10.5,200,0
46,2009-12-22,10.5,10.5,10.5,10.5,200,0
47,2009-02-06,10.75,10.75,10.75,10.75,100,0
48,2009-07-02,10.5,10.5,10.5,10.5,200,0
49,2009-06-02,10.5,10.5,10.5,10.5,100,0
50,2009-03-03,10.75,10.75,10.75,10.75,2400,0
51,2009-05-08,10.75,10.75,10.75,10.75,500,0
52,2009-05-15,10.5,10.5,10.5,10.5,100,0
53,2009-11-19,10.5,10.5,10.5,10.5,300,0
54,2009-10-21,10.5,10.5,10.5,10.5,200,0
55,2009-10-30,10.5,10.5,10.5,10.5,400,0
56,2009-09-14,10.5,10.5,10.5,10.5,600,0
57,2009-09-16,10.5,10.5,10.5,10.5,100,0
58,2010-04-07,10.75,10.75,10.75,10.75,100,0
59,2010-04-21,10.5,10.5,10.5,10.5,200,0
60,2010-02-08,10.5,10.5,10.5,10.5,100,0
61,2010-01-04,10.5,10.5,10.5,10.5,100,0
62,2010-03-08,10.75,10.75,10.75,10.75,2800,0
63,2010-03-17,10.5,10.5,10.5,10.5,200,0
64,2010-05-24,10.5,10.5,10.5,10.5,100,0
65,2010-10-13,10.92,10.92,10.92,10.92,100,0
66,2010-10-18,10.92,10.92,10.92,10.92,6000,0
67,2010-10-21,10.88,10.88,10.88,10.88,100,0
68,2010-10-26,10.88,10.88,10.88,10.88,100,0
69,2010-11-05,10.9,10.9,10.9,10.9,100,0
70,2010-11-08,11.2,11.2,11.2,11.2,100,0
71,2010-11-11,10.9,10.9,10.9,10.9,200,0
72,2010-11-18,10.92,10.92,10.92,10.92,100,0
73,2010-11-19,10.92,10.92,10.92,10.92,100,0
74,2010-12-01,10.92,10.92,10.92,10.92,100,0
75,2010-12-03,10.92,10.92,10.92,10.92,600,0
76,2011-01-06,11.02,11.02,11.02,11.02,100,0
77,2011-01-13,11.0,11.0,11.0,11.0,200,0
78,2011-01-21,11.0,11.0,11.0,11.0,100,0
79,2011-02-08,11.0,11.0,11.0,11.0,100,0
80,2011-02-16,11.0,11.0,11.0,11.0,100,0
81,2011-03-11,11.0,11.0,11.0,11.0,100,0
82,2011-03-15,11.0,11.0,11.0,11.0,100,0
83,2011-03-28,11.0,11.0,11.0,11.0,100,0
84,2011-04-04,11.5,11.5,11.5,11.5,1400,0
85,2011-04-05,11.5,11.5,11.5,11.5,4000,0
86,2011-04-06,11.0,11.0,11.0,11.0,100,0
87,2011-04-08,11.0,11.0,11.0,11.0,100,0
88,2011-04-18,11.0,11.0,11.0,11.0,100,0
89,2011-05-09,11.06,11.06,11.06,11.06,200,0
90,2011-05-23,11.04,11.04,11.04,11.04,100,0
91,2011-07-21,11.2,11.2,11.2,11.2,200,0
92,2011-08-03,11.5,11.5,11.5,11.5,100,0
93,2011-09-09,11.8,11.8,11.8,11.8,100,0
94,2011-09-14,11.8,11.8,11.8,11.8,200,0
95,2011-09-26,10.7,10.7,10.7,10.7,200,0
96,2011-10-03,10.7,10.7,10.7,10.7,3000,0
97,2011-10-04,11.12,11.12,11.12,11.12,900,0
