,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-15,10.5,10.5,10.5,10.5,800,0
1,2006-12-19,10.5,10.5,10.5,10.5,100,0
2,2006-09-01,10.75,10.75,10.75,10.75,2200,0
3,2006-09-13,10.5,10.5,10.5,10.5,1100,0
4,2007-08-03,10.5,10.5,10.5,10.5,100,0
5,2007-08-24,10.5,10.5,10.5,10.5,1100,0
6,2007-12-04,10.5,10.5,10.5,10.5,1400,0
7,2007-01-23,11.0,11.0,11.0,11.0,600,0
8,2007-07-19,11.0,11.0,11.0,11.0,1100,0
9,2008-01-18,10.5,10.5,10.5,10.5,200,0
10,2008-06-27,10.5,10.5,10.5,10.5,200,0
11,2008-05-09,10.5,10.5,10.5,10.5,200,0
12,2008-05-16,10.5,10.5,10.5,10.5,400,0
13,2008-10-29,10.5,10.5,10.5,10.5,400,0
14,2008-09-23,10.5,10.5,10.5,10.5,1800,0
15,2009-04-02,10.75,10.75,10.5,10.75,3900,0
16,2009-04-28,10.75,10.75,10.75,10.75,1300,0
17,2009-08-12,10.5,10.5,10.5,10.5,100,0
18,2009-08-26,10.5,10.5,10.5,10.5,100,0
19,2009-12-07,10.5,10.5,10.5,10.5,100,0
20,2009-12-10,10.5,10.5,10.5,10.5,100,0
21,2009-12-16,10.5,10.5,10.5,10.5,100,0
22,2009-02-11,10.75,10.75,10.75,10.75,500,0
23,2009-07-29,10.5,10.5,10.5,10.5,100,0
24,2009-06-08,10.5,10.5,10.5,10.5,100,0
25,2009-06-25,10.5,10.5,10.5,10.5,100,0
26,2009-06-30,10.5,10.5,10.5,10.5,200,0
27,2009-05-08,10.75,10.75,10.75,10.75,400,0
28,2009-05-20,10.5,10.5,10.5,10.5,1000,0
29,2009-05-22,10.5,10.5,10.5,10.5,200,0
30,2009-05-26,10.5,10.5,10.5,10.5,100,0
31,2009-11-20,10.5,10.5,10.5,10.5,200,0
32,2009-10-06,10.5,10.5,10.5,10.5,400,0
33,2009-10-26,10.5,10.5,10.5,10.5,100,0
34,2009-10-30,10.5,10.5,10.5,10.5,400,0
35,2009-09-16,10.5,10.5,10.5,10.5,100,0
36,2010-02-03,10.75,10.75,10.5,10.5,200,0
37,2010-02-04,10.75,10.75,10.75,10.75,100,0
38,2010-02-26,10.5,10.5,10.5,10.5,200,0
39,2010-01-13,10.5,10.5,10.5,10.5,100,0
40,2010-01-25,10.5,10.5,10.5,10.5,100,0
41,2010-06-03,10.5,10.5,10.5,10.5,7000,0
42,2010-03-08,10.75,10.75,10.75,10.75,2200,0
43,2010-03-12,10.5,10.5,10.5,10.5,100,0
44,2010-03-17,10.5,10.5,10.5,10.5,100,0
45,2010-03-19,10.5,10.5,10.5,10.5,200,0
46,2010-05-17,11.0,11.0,11.0,11.0,100,0
47,2010-05-24,10.5,10.5,10.5,10.5,100,0
48,2010-08-16,10.84,10.84,10.84,10.84,200,0
49,2010-09-16,10.84,10.84,10.84,10.84,100,0
50,2010-10-22,10.96,10.96,10.96,10.96,200,0
51,2010-11-04,10.96,10.96,10.96,10.96,100,0
52,2010-11-05,10.96,10.96,10.96,10.96,100,0
53,2011-01-27,11.08,11.08,11.08,11.08,100,0
54,2011-03-04,10.5,10.5,10.5,10.5,100,0
55,2011-04-04,10.52,10.52,10.52,10.52,100,0
56,2011-04-05,11.5,11.5,11.5,11.5,1000,0
57,2011-04-06,11.5,11.5,11.5,11.5,1000,0
58,2011-04-07,11.5,11.5,11.5,11.5,200,0
59,2011-04-08,11.5,11.5,11.5,11.5,3800,0
60,2011-04-26,10.56,10.56,10.56,10.56,100,0
61,2011-05-04,10.62,10.62,10.62,10.62,1000,0
62,2011-05-13,11.5,11.5,11.5,11.5,700,0
63,2011-05-16,11.5,11.5,11.5,11.5,1000,0
64,2011-05-23,11.0,11.0,11.0,11.0,100,0
65,2011-06-06,11.5,11.5,11.5,11.5,400,0
66,2011-06-13,11.5,11.5,11.5,11.5,12900,0
67,2011-06-17,11.0,11.0,11.0,11.0,100,0
68,2011-06-27,10.74,10.74,10.74,10.74,100,0
69,2011-06-30,10.9,10.9,10.9,10.9,400,0
70,2011-08-17,11.04,11.04,11.04,11.04,100,0
71,2011-09-26,11.12,11.12,11.12,11.12,200,0
72,2011-09-29,11.12,11.12,11.12,11.12,1000,0
