,Date,Open,High,Low,Close,Volume,OtherData
0,2007-11-23,10.5,10.5,10.5,10.5,100,0
1,2007-10-24,10.25,10.25,10.25,10.25,200,0
2,2009-04-02,10.75,10.75,10.75,10.75,300,0
3,2009-02-11,10.75,10.75,10.75,10.75,300,0
4,2009-03-03,10.75,10.75,10.75,10.75,600,0
5,2009-10-28,10.75,10.75,10.75,10.75,200,0
6,2009-10-30,10.5,10.5,10.5,10.5,200,0
7,2010-02-15,10.5,10.5,10.5,10.5,200,0
8,2010-10-21,10.96,10.96,10.96,10.96,100,0
9,2010-11-11,11.0,11.0,11.0,11.0,100,0
10,2010-11-26,11.5,11.5,11.5,11.5,4400,0
11,2011-04-05,11.5,11.5,11.5,11.5,1000,0
12,2011-04-06,11.5,11.5,11.5,11.5,1000,0
