,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-04,2.24,2.24,2.08,2.08,1071000,4200
1,2006-12-05,2.06,2.08,2.0,2.04,2486000,-119320
2,2006-12-06,2.08,2.14,2.06,2.06,1759000,158080
3,2006-12-07,2.08,2.1,2.04,2.04,487000,-47380
4,2006-12-08,2.08,2.14,1.98,1.98,1598000,0
5,2006-12-11,2.1,2.1,1.98,2.02,1155000,-100000
6,2006-12-12,2.02,2.06,2.02,2.04,770000,-6180
7,2006-12-13,2.04,2.08,2.02,2.06,2093000,-161440
8,2006-12-14,2.06,2.16,2.06,2.14,3629000,636000
9,2006-12-15,2.16,2.3,2.14,2.22,4126000,-222000
10,2006-12-18,2.26,2.26,2.16,2.16,1579000,0
11,2006-12-19,2.2,2.2,2.04,2.04,1532000,98860
12,2006-12-20,2.16,2.16,2.08,2.08,172000,0
13,2006-12-21,2.16,2.18,2.12,2.12,1557000,-108000
14,2006-12-22,2.18,2.18,2.08,2.1,533000,0
15,2006-12-27,2.16,2.16,2.1,2.1,90000,0
16,2006-12-28,2.14,2.14,2.06,2.1,829000,0
17,2006-12-29,2.12,2.14,2.1,2.1,476000,21000
18,2006-11-08,2.0,2.0,1.92,2.0,23368000,756360
19,2006-11-09,2.5,2.95,2.42,2.85,48768000,-971450
20,2006-11-10,2.9,2.9,2.5,2.7,14111000,51500
21,2006-11-13,2.75,2.75,2.44,2.44,7173000,125000
22,2006-11-14,2.48,2.6,2.46,2.55,9578000,0
23,2006-11-15,2.6,2.75,2.6,2.65,9729000,1215000
24,2006-11-16,2.65,2.7,2.55,2.55,2150000,530000
25,2006-11-17,2.6,2.65,2.55,2.6,3628000,-1020000
26,2006-11-20,2.6,2.6,2.46,2.46,4758000,125000
27,2006-11-21,2.48,2.48,2.34,2.38,3495000,-120000
28,2006-11-22,2.36,2.5,2.34,2.5,3278000,24000
29,2006-11-23,2.48,2.55,2.42,2.46,592000,0
30,2006-11-24,2.48,2.48,2.44,2.44,1399000,0
31,2006-11-27,2.44,2.44,2.34,2.34,2780000,4680
32,2006-11-28,2.34,2.34,2.2,2.28,2043000,0
33,2006-11-29,2.3,2.32,2.2,2.2,3617000,0
34,2006-11-30,2.2,2.24,2.14,2.2,2103000,0
35,2007-04-02,2.2,2.2,2.14,2.2,448000,0
36,2007-04-03,2.2,2.22,2.2,2.22,278000,0
37,2007-04-04,2.2,2.22,2.2,2.22,265000,0
38,2007-04-10,2.32,2.32,2.2,2.22,411000,0
39,2007-04-11,2.2,2.2,2.16,2.2,507000,0
40,2007-04-12,2.22,2.3,2.2,2.22,503000,0
41,2007-04-13,2.28,2.3,2.18,2.24,353000,0
42,2007-04-16,2.3,2.3,2.2,2.2,942000,0
43,2007-04-17,2.26,2.28,2.24,2.24,194000,0
44,2007-04-18,2.24,2.24,2.2,2.2,308000,0
45,2007-04-19,2.2,2.2,2.16,2.2,330000,0
46,2007-04-20,2.2,2.2,2.18,2.18,127000,0
47,2007-04-23,2.2,2.2,2.18,2.18,109000,0
48,2007-04-24,2.16,2.16,2.14,2.14,254000,201160
49,2007-04-25,2.14,2.14,2.12,2.14,981000,436720
50,2007-04-26,2.1,2.2,2.1,2.14,1221000,0
51,2007-04-27,2.14,2.14,2.12,2.12,590000,0
52,2007-04-30,2.14,2.2,2.1,2.14,460000,0
53,2007-08-01,2.22,2.36,2.16,2.16,6000,0
54,2007-08-02,2.16,2.16,2.1,2.1,839000,0
55,2007-08-03,2.12,2.12,2.08,2.08,71000,0
56,2007-08-06,2.06,2.06,1.98,1.98,673000,0
57,2007-08-07,2.06,2.32,2.02,2.02,618000,0
58,2007-08-08,2.06,2.12,2.06,2.12,113000,0
59,2007-08-09,2.12,2.18,2.12,2.18,423000,0
60,2007-08-10,2.1,2.1,2.06,2.06,333000,0
