,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.36,1.38,1.32,1.34,5887000,0.0
1,2006-08-02,1.32,1.32,1.3,1.3,1800000,0.0
2,2006-08-03,1.32,1.32,1.32,1.32,433000,0.0
3,2006-08-04,1.32,1.38,1.32,1.36,2624000,680000.0
4,2006-08-07,1.36,1.36,1.34,1.34,497000,0.0
5,2006-08-08,1.34,1.34,1.3,1.32,1625000,-988800.0
6,2006-08-09,1.32,1.32,1.3,1.3,1283000,0.0
7,2006-08-10,1.3,1.3,1.3,1.3,1001000,0.0
8,2006-08-11,1.3,1.3,1.3,1.3,1260000,0.0
9,2006-08-14,1.28,1.3,1.28,1.3,150000,0.0
10,2006-08-15,1.3,1.3,1.3,1.3,1034000,0.0
11,2006-08-16,1.3,1.32,1.3,1.32,2371000,0.0
12,2006-08-17,1.34,1.34,1.32,1.32,938000,0.0
13,2006-12-04,1.5,1.5,1.46,1.46,1277000,0.0
14,2006-12-05,1.48,1.5,1.48,1.48,1302000,0.0
15,2006-12-06,1.48,1.48,1.46,1.46,683000,-43800.0
16,2006-12-07,1.46,1.48,1.46,1.46,2164000,0.0
17,2006-12-08,1.46,1.46,1.46,1.46,646000,0.0
18,2006-12-11,1.46,1.52,1.46,1.52,271000,0.0
19,2006-12-12,1.46,1.5,1.46,1.5,613000,105000.0
20,2006-12-13,1.5,1.52,1.48,1.5,190000,0.0
21,2006-12-14,1.5,1.5,1.48,1.5,1229000,-3000.0
22,2006-12-15,1.52,1.52,1.5,1.52,379000,0.0
23,2006-12-18,1.5,1.56,1.5,1.56,635000,0.0
24,2006-12-19,1.54,1.54,1.54,1.54,110000,0.0
25,2006-12-20,1.52,1.52,1.5,1.52,815000,0.0
26,2006-12-21,1.52,1.54,1.52,1.54,3983000,0.0
27,2006-12-22,1.54,1.6,1.54,1.6,4277000,16000.0
28,2006-12-27,1.6,1.64,1.6,1.64,5228000,0.0
29,2006-12-28,1.64,1.68,1.64,1.66,4166000,-332000.0
30,2006-12-29,1.68,1.68,1.64,1.66,7323000,-116200.0
31,2006-11-02,1.52,1.56,1.52,1.54,7023000,156000.0
32,2006-11-03,1.54,1.56,1.54,1.54,1307000,0.0
33,2006-11-06,1.54,1.54,1.52,1.52,672000,0.0
34,2006-11-07,1.54,1.54,1.54,1.54,4560000,-154000.0
35,2006-11-08,1.56,1.56,1.54,1.54,4314000,308000.0
36,2006-11-09,1.54,1.54,1.54,1.54,4997000,-231000.0
37,2006-11-10,1.54,1.54,1.54,1.54,4470000,308000.0
38,2006-11-13,1.54,1.54,1.54,1.54,650000,0.0
39,2006-11-14,1.54,1.54,1.52,1.52,673000,0.0
40,2006-11-15,1.52,1.52,1.5,1.5,2218000,0.0
41,2006-11-16,1.52,1.54,1.5,1.52,5518000,0.0
42,2006-11-17,1.54,1.6,1.52,1.58,11222000,0.0
43,2006-11-20,1.6,1.62,1.54,1.54,2748000,0.0
44,2006-11-21,1.56,1.56,1.54,1.56,3426000,0.0
45,2006-11-22,1.54,1.54,1.52,1.52,3986000,0.0
46,2006-11-23,1.54,1.54,1.48,1.48,1747000,0.0
47,2006-11-24,1.48,1.56,1.48,1.52,1764000,0.0
48,2006-11-27,1.52,1.52,1.5,1.5,1085000,-150000.0
49,2006-11-28,1.5,1.52,1.5,1.52,2695000,408000.0
50,2006-11-29,1.5,1.5,1.5,1.5,1292000,0.0
51,2006-11-30,1.5,1.5,1.5,1.5,1388000,0.0
52,2006-10-02,1.38,1.44,1.38,1.44,4810000,0.0
53,2006-10-03,1.46,1.48,1.44,1.48,6384000,-1168000.0
54,2006-10-04,1.46,1.46,1.44,1.44,725000,0.0
55,2006-10-05,1.44,1.44,1.44,1.44,2624000,0.0
56,2006-10-06,1.44,1.44,1.42,1.42,1055000,0.0
57,2006-10-09,1.42,1.42,1.42,1.42,673000,0.0
58,2006-10-10,1.4,1.4,1.4,1.4,2490000,0.0
59,2006-10-11,1.4,1.42,1.4,1.42,1015000,71000.0
60,2006-10-12,1.42,1.46,1.42,1.44,4863000,835200.0
61,2006-10-13,1.46,1.46,1.42,1.42,3259000,0.0
62,2006-10-16,1.44,1.44,1.42,1.42,2520000,56800.0
63,2006-10-17,1.42,1.42,1.4,1.4,3998000,0.0
64,2006-10-18,1.4,1.4,1.4,1.4,1193000,0.0
65,2006-10-19,1.42,1.42,1.42,1.42,2641000,0.0
66,2006-10-20,1.42,1.42,1.42,1.42,1949000,113600.0
67,2006-10-23,1.42,1.42,1.42,1.42,1913000,0.0
68,2006-10-25,1.44,1.44,1.42,1.44,2354000,-72000.0
69,2006-10-26,1.44,1.48,1.42,1.48,6758000,0.0
70,2006-10-27,1.48,1.5,1.46,1.48,4097000,0.0
71,2006-10-30,1.48,1.54,1.48,1.54,10946000,0.0
72,2006-10-31,1.52,1.54,1.5,1.52,9324000,-60000.0
73,2006-09-01,1.4,1.44,1.4,1.42,5324000,72000.0
74,2006-09-04,1.42,1.44,1.42,1.42,2540000,0.0
75,2006-09-05,1.44,1.44,1.38,1.38,5317000,0.0
76,2006-09-06,1.38,1.4,1.36,1.38,2731000,0.0
77,2006-09-07,1.4,1.4,1.38,1.4,2636000,0.0
78,2006-09-08,1.38,1.38,1.36,1.38,3463000,0.0
79,2006-09-11,1.4,1.4,1.36,1.38,1230000,0.0
80,2006-09-12,1.38,1.38,1.34,1.34,1824000,0.0
81,2006-09-13,1.34,1.34,1.34,1.34,1010000,0.0
82,2006-09-14,1.36,1.36,1.34,1.34,471000,0.0
83,2006-09-15,1.34,1.36,1.34,1.36,2175000,0.0
84,2006-09-18,1.36,1.4,1.36,1.4,1503000,0.0
85,2006-09-19,1.4,1.4,1.38,1.4,1861000,0.0
86,2006-09-20,1.38,1.4,1.38,1.4,1766000,138000.0
87,2006-09-21,1.38,1.38,1.36,1.36,2709000,0.0
88,2006-09-22,1.36,1.38,1.36,1.36,2950000,0.0
89,2006-09-25,1.34,1.36,1.34,1.36,395000,0.0
90,2006-09-26,1.36,1.4,1.36,1.38,2242000,0.0
91,2006-09-27,1.38,1.4,1.38,1.4,865000,0.0
92,2007-04-02,1.56,1.56,1.56,1.56,2570000,511680.0
93,2007-04-03,1.58,1.64,1.58,1.64,1358000,0.0
94,2007-04-04,1.66,1.72,1.62,1.68,5817000,0.0
95,2007-04-10,1.68,1.74,1.68,1.7,2326000,0.0
96,2007-04-11,1.7,1.7,1.66,1.66,1330000,-719040.0
97,2007-04-12,1.66,1.66,1.64,1.64,340000,0.0
98,2007-04-13,1.64,1.64,1.62,1.62,1335000,0.0
99,2007-04-16,1.62,1.62,1.62,1.62,430000,0.0
100,2007-04-17,1.64,1.66,1.64,1.66,615000,0.0
101,2007-04-18,1.66,1.66,1.64,1.64,818000,0.0
102,2007-04-19,1.66,1.66,1.62,1.62,2559000,-581000.0
103,2007-04-20,1.64,1.64,1.64,1.64,550000,0.0
104,2007-04-23,1.66,1.66,1.66,1.66,2493000,0.0
105,2007-04-24,1.66,1.66,1.64,1.66,495000,0.0
106,2007-04-25,1.66,1.66,1.66,1.66,2289000,0.0
107,2007-04-26,1.68,1.68,1.68,1.68,1087000,0.0
108,2007-04-27,1.68,1.68,1.66,1.68,766000,0.0
109,2007-04-30,1.66,1.74,1.66,1.72,5124000,0.0
110,2007-08-01,1.64,1.64,1.6,1.62,1441000,0.0
111,2007-08-02,1.62,1.62,1.58,1.58,1913000,0.0
112,2007-08-03,1.54,1.54,1.46,1.46,5495000,0.0
113,2007-08-06,1.4,1.4,1.34,1.38,3646000,0.0
114,2007-08-07,1.4,1.46,1.4,1.46,438000,0.0
115,2007-08-08,1.48,1.5,1.48,1.5,285000,0.0
116,2007-08-09,1.52,1.58,1.52,1.56,205000,15800.0
117,2007-08-10,1.52,1.52,1.46,1.5,694000,0.0
118,2007-08-13,1.5,1.5,1.48,1.48,604000,0.0
119,2007-08-14,1.44,1.44,1.4,1.4,756000,0.0
120,2007-08-15,1.36,1.4,1.36,1.4,40000,0.0
121,2007-08-16,1.38,1.38,1.3,1.32,798000,-13400.0
122,2007-08-17,1.34,1.36,1.3,1.32,1427000,0.0
123,2007-08-21,1.38,1.4,1.38,1.4,995000,28000.0
124,2007-08-22,1.42,1.42,1.42,1.42,2000,0.0
125,2007-08-23,1.44,1.48,1.44,1.46,784000,0.0
126,2007-08-24,1.46,1.46,1.46,1.46,3000,0.0
127,2007-08-28,1.44,1.44,1.44,1.44,420000,0.0
