,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.21,0.21,0.21,0.21,300000.0,0.0
1,2006-08-02,0.21,0.21,0.21,0.21,300000.0,0.0
2,2006-08-03,0.21,0.21,0.21,0.21,300000.0,0.0
3,2006-08-04,0.21,0.21,0.21,0.21,1000000.0,0.0
4,2006-08-07,0.205,0.205,0.2,0.205,1620000.0,-102500.0
5,2006-08-08,0.205,0.205,0.205,0.205,1100000.0,-20500.0
6,2006-08-09,0.205,0.205,0.205,0.205,300000.0,0.0
7,2006-08-10,0.205,0.205,0.2,0.2,500000.0,-34000.0
8,2006-08-11,0.2,0.2,0.2,0.2,300000.0,0.0
9,2006-08-14,0.2,0.2,0.2,0.2,300000.0,0.0
10,2006-08-15,0.2,0.2,0.2,0.2,400000.0,-20000.0
11,2006-08-16,0.2,0.2,0.2,0.2,300000.0,0.0
12,2006-08-17,0.2,0.2,0.2,0.2,300000.0,0.0
13,2006-09-01,0.205,0.21,0.205,0.21,410000.0,0.0
14,2006-09-04,0.205,0.205,0.205,0.205,1000000.0,0.0
15,2006-09-05,0.205,0.235,0.205,0.235,1420000.0,0.0
16,2006-09-06,0.22,0.22,0.22,0.22,1360000.0,0.0
17,2006-09-07,0.22,0.22,0.22,0.22,3300000.0,0.0
18,2006-09-08,0.22,0.22,0.22,0.22,3500000.0,0.0
19,2006-09-11,0.22,0.22,0.205,0.205,3550000.0,0.0
20,2006-09-12,0.22,0.22,0.22,0.22,1520000.0,0.0
21,2006-09-13,0.22,0.22,0.22,0.22,3050000.0,0.0
22,2006-09-14,0.22,0.235,0.22,0.22,3250000.0,0.0
23,2006-09-15,0.22,0.22,0.22,0.22,2510000.0,0.0
24,2007-08-01,0.36,0.38,0.35,0.35,1120000.0,0.0
25,2007-08-02,0.35,0.35,0.35,0.35,1810000.0,0.0
26,2007-08-03,0.43,0.43,0.43,0.43,10000.0,0.0
27,2007-08-06,0.31,0.31,0.31,0.31,50000.0,0.0
28,2007-08-07,0.33,0.33,0.32,0.32,500000.0,0.0
29,2007-08-09,0.38,0.38,0.34,0.34,510000.0,0.0
30,2007-08-10,0.34,0.34,0.34,0.34,400000.0,0.0
31,2007-08-13,0.35,0.35,0.34,0.34,940000.0,0.0
32,2007-08-14,0.34,0.34,0.34,0.34,260000.0,0.0
33,2007-08-15,0.31,0.31,0.31,0.31,30000.0,0.0
34,2007-08-16,0.3,0.31,0.3,0.31,90000.0,0.0
35,2007-08-17,0.31,0.31,0.26,0.26,250000.0,0.0
36,2007-08-22,0.39,0.39,0.39,0.39,50000.0,0.0
37,2007-08-23,0.37,0.38,0.37,0.38,60000.0,0.0
38,2007-08-24,0.36,0.36,0.36,0.36,50000.0,0.0
39,2007-08-28,0.39,0.39,0.37,0.37,100000.0,0.0
40,2007-08-29,0.39,0.39,0.36,0.36,60000.0,0.0
41,2007-08-30,0.38,0.38,0.35,0.36,1090000.0,0.0
42,2007-08-31,0.36,0.38,0.36,0.38,360000.0,0.0
43,2007-12-03,0.33,0.33,0.33,0.33,110000.0,0.0
44,2007-12-04,0.34,0.34,0.34,0.34,60000.0,0.0
45,2007-12-05,0.34,0.35,0.34,0.35,300000.0,0.0
46,2007-12-06,0.39,0.39,0.37,0.37,70000.0,0.0
47,2007-12-07,0.36,0.37,0.36,0.37,180000.0,0.0
48,2007-12-10,0.37,0.37,0.37,0.37,110000.0,0.0
49,2007-12-11,0.39,0.39,0.39,0.39,60000.0,0.0
50,2007-12-12,0.35,0.39,0.35,0.39,110000.0,-17500.0
51,2007-12-13,0.39,0.39,0.39,0.39,60000.0,0.0
52,2007-12-14,0.39,0.39,0.39,0.39,60000.0,0.0
53,2007-12-17,0.39,0.39,0.39,0.39,60000.0,0.0
54,2007-12-18,0.38,0.38,0.37,0.37,70000.0,0.0
55,2007-12-19,0.39,0.39,0.39,0.39,60000.0,0.0
56,2007-12-20,0.39,0.39,0.37,0.37,90000.0,0.0
57,2007-12-26,0.39,0.39,0.39,0.39,60000.0,0.0
58,2007-12-27,0.39,0.39,0.36,0.36,70000.0,0.0
59,2007-12-28,0.38,0.38,0.38,0.38,60000.0,0.0
60,2007-07-02,0.54,0.55,0.35,0.35,5510000.0,-269800.0
61,2007-07-03,0.34,0.41,0.34,0.38,3230000.0,-188600.0
62,2007-07-04,0.39,0.43,0.36,0.4,2270000.0,-82000.0
