,Date,Open,High,Low,Close,Volume,OtherData
0,2012-05-21,2.51,5.5,2.5,2.99,2230000.0,0.0
1,2012-05-22,2.9,3.01,1.5,2.3,2889000.0,22000.0
2,2012-05-23,2.3,2.3,1.72,1.76,365000.0,0.0
3,2012-05-24,1.74,2.3,1.7,1.97,6631000.0,45950.0
4,2012-05-25,2.0,2.04,1.86,1.9,681000.0,-39500.0
5,2012-05-28,1.76,1.9,1.7,1.75,360000.0,-1770.0
6,2012-05-29,1.85,2.0,1.7,1.7,9183000.0,77750.0
7,2012-05-30,1.7,1.72,1.35,1.4,4816000.0,66700.0
8,2012-05-31,1.44,1.65,1.05,1.2,7143000.0,36400.0
9,2012-06-01,1.16,1.47,1.1,1.26,7784000.0,1132080.0
10,2012-06-04,1.3,1.69,1.29,1.5,9127000.0,616840.0
11,2012-06-05,1.58,1.75,1.51,1.73,12576000.0,2213440.0
12,2012-06-06,1.8,2.25,1.77,2.25,39884000.0,4825900.0
13,2012-06-07,2.32,2.33,1.78,1.8,52417000.0,-7091520.0
14,2012-06-08,1.83,1.83,1.58,1.63,18649000.0,715880.0
15,2012-06-11,1.64,1.8,1.57,1.7,21956000.0,4906670.0
16,2012-06-13,1.74,1.74,1.44,1.5,26437000.0,-10797130.0
17,2012-06-14,1.52,1.55,1.38,1.46,8872000.0,733900.0
18,2012-06-15,1.46,1.61,1.46,1.49,12656000.0,236920.0
19,2012-06-18,1.55,1.58,1.48,1.52,2427000.0,24000.0
20,2012-06-19,1.51,1.54,1.48,1.52,2241000.0,-820670.0
21,2012-06-20,1.54,1.54,1.48,1.48,1597000.0,-485660.0
22,2012-06-21,1.48,1.56,1.47,1.48,4508000.0,-1222930.0
23,2012-06-22,1.47,1.55,1.46,1.49,12154000.0,15780.0
24,2012-06-25,1.51,1.51,1.48,1.49,2424000.0,32150.0
25,2012-06-26,1.5,1.51,1.48,1.49,3400000.0,-1366020.0
26,2012-06-27,1.49,1.51,1.48,1.48,2993000.0,-898720.0
27,2012-06-28,1.48,1.48,1.41,1.45,1420000.0,-1382270.0
28,2012-06-29,1.42,1.44,1.39,1.41,7996000.0,-3430530.0
29,2012-07-02,1.41,1.43,1.4,1.41,833000.0,28400.0
30,2012-07-03,1.4,1.42,1.4,1.4,1323000.0,0.0
31,2012-07-04,1.4,1.4,1.36,1.37,2929000.0,54800.0
32,2012-07-05,1.36,1.41,1.35,1.36,3540000.0,-666000.0
33,2012-07-06,1.37,1.39,1.36,1.36,1534000.0,41400.0
34,2012-07-09,1.42,1.42,1.36,1.36,619000.0,0.0
35,2012-07-10,1.36,1.4,1.31,1.32,1376000.0,-40800.0
36,2012-07-11,1.38,1.38,1.28,1.34,2109000.0,0.0
37,2012-07-12,1.28,1.33,1.25,1.28,2735000.0,0.0
38,2012-07-13,1.26,1.31,1.24,1.28,4284000.0,483630.0
39,2012-07-16,1.26,1.32,1.25,1.25,2680000.0,-39600.0
40,2012-07-17,1.28,1.28,1.2,1.2,2984000.0,14400.0
41,2012-07-18,1.25,1.25,1.18,1.19,2354000.0,0.0
42,2012-07-19,1.19,1.21,1.17,1.18,2750000.0,26400.0
43,2012-07-20,1.18,1.2,1.16,1.17,851000.0,-35200.0
44,2012-07-23,1.16,1.19,1.15,1.16,969000.0,-127130.0
45,2012-07-24,1.16,1.23,1.15,1.18,1165000.0,-94920.0
46,2012-07-25,1.16,1.2,1.16,1.16,398000.0,132830.0
