,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.59,0.59,0.58,0.58,500000.0,0.0
1,2006-08-03,0.58,0.6,0.58,0.6,340000.0,0.0
2,2006-08-04,0.58,0.62,0.56,0.62,490000.0,0.0
3,2006-08-07,0.62,0.63,0.61,0.61,1300000.0,0.0
4,2006-08-08,0.58,0.59,0.57,0.57,620000.0,0.0
5,2006-08-09,0.52,0.55,0.52,0.55,700000.0,0.0
6,2006-08-10,0.55,0.55,0.55,0.55,400000.0,0.0
7,2006-08-11,0.55,0.55,0.55,0.55,200000.0,0.0
8,2006-08-14,0.54,0.54,0.53,0.53,320000.0,0.0
9,2006-08-15,0.55,0.55,0.53,0.53,60000.0,0.0
10,2006-08-16,0.53,0.53,0.53,0.53,120000.0,0.0
11,2006-08-17,0.54,0.58,0.54,0.56,600000.0,0.0
12,2006-12-04,0.88,0.89,0.85,0.86,2890000.0,-584600.0
13,2006-12-05,0.87,0.87,0.86,0.87,1070000.0,-464800.0
14,2006-12-06,0.88,0.9,0.88,0.89,5770000.0,-3199700.0
15,2006-12-07,0.9,0.91,0.89,0.91,4050000.0,0.0
16,2006-12-08,0.92,0.96,0.91,0.96,6280000.0,-1425500.0
17,2006-12-11,0.99,1.24,0.99,1.24,27360000.0,-2070000.0
18,2006-12-12,1.3,1.36,1.2,1.26,18908000.0,-5209220.0
19,2006-12-13,1.26,1.4,1.26,1.34,16223000.0,-1580280.0
20,2006-12-14,1.42,1.5,1.4,1.5,16084000.0,0.0
21,2006-12-15,1.5,1.56,1.46,1.54,84669000.0,-1565360.0
22,2006-12-18,1.58,1.72,1.54,1.72,36181000.0,-4883600.0
23,2006-12-19,1.76,1.8,1.58,1.6,18262000.0,-4078000.0
24,2006-12-20,1.62,1.7,1.6,1.68,12271000.0,-3954000.0
25,2006-12-21,1.76,1.76,1.68,1.72,6137000.0,0.0
26,2006-12-22,1.72,1.72,1.62,1.64,5593000.0,-1659880.0
27,2006-12-27,1.62,1.62,1.36,1.38,15782000.0,828000.0
28,2006-12-28,1.38,1.46,1.34,1.46,5921000.0,947840.0
29,2006-12-29,1.46,1.46,1.38,1.4,4508000.0,-110200.0
30,2006-11-02,0.7,0.7,0.69,0.69,690000.0,0.0
31,2006-11-03,0.69,0.69,0.68,0.69,540000.0,0.0
32,2006-11-06,0.68,0.68,0.68,0.68,360000.0,0.0
33,2006-11-07,0.69,0.69,0.69,0.69,1030000.0,0.0
34,2006-11-08,0.69,0.69,0.69,0.69,300000.0,0.0
35,2006-11-09,0.69,0.69,0.69,0.69,380000.0,0.0
36,2006-11-10,0.69,0.73,0.69,0.72,560000.0,0.0
37,2006-11-13,0.72,0.72,0.7,0.7,100000.0,0.0
38,2006-11-14,0.7,0.7,0.7,0.7,200000.0,0.0
39,2006-11-15,0.71,0.74,0.71,0.74,2110000.0,-72000.0
40,2006-11-16,0.74,0.74,0.72,0.72,1880000.0,0.0
41,2006-11-17,0.72,0.72,0.7,0.72,2170000.0,-1263900.0
42,2006-11-20,0.73,0.73,0.73,0.73,1100000.0,0.0
43,2006-11-21,0.73,0.73,0.69,0.69,1380000.0,-420000.0
44,2006-11-22,0.71,0.72,0.7,0.72,3240000.0,-773000.0
45,2006-11-23,0.72,0.83,0.72,0.83,9580000.0,0.0
46,2006-11-24,0.82,0.91,0.82,0.88,12930000.0,-12900.0
47,2006-11-27,0.89,0.94,0.88,0.89,6630000.0,-552000.0
48,2006-11-28,0.88,0.89,0.85,0.89,4700000.0,-334600.0
49,2006-11-29,0.88,0.93,0.88,0.9,5830000.0,3900.0
50,2006-11-30,0.88,0.9,0.88,0.88,1050000.0,0.0
51,2006-10-03,0.57,0.58,0.57,0.58,420000.0,148200.0
52,2006-10-04,0.58,0.58,0.56,0.57,680000.0,22700.0
53,2006-10-05,0.58,0.58,0.56,0.56,150000.0,0.0
54,2006-10-06,0.57,0.57,0.56,0.57,740000.0,274400.0
55,2006-10-11,0.58,0.6,0.57,0.6,450000.0,0.0
56,2006-10-12,0.58,0.58,0.58,0.58,50000.0,0.0
57,2006-10-13,0.59,0.6,0.59,0.59,270000.0,0.0
58,2006-10-16,0.6,0.6,0.6,0.6,20000.0,0.0
59,2006-10-17,0.63,0.63,0.59,0.59,340000.0,0.0
60,2006-10-18,0.63,0.72,0.63,0.71,15770000.0,1130600.0
61,2006-10-19,0.73,0.73,0.69,0.69,6060000.0,1818000.0
62,2006-10-20,0.69,0.69,0.67,0.68,580000.0,0.0
63,2006-10-23,0.69,0.7,0.67,0.67,340000.0,0.0
64,2006-10-25,0.67,0.67,0.65,0.65,970000.0,0.0
65,2006-10-26,0.66,0.69,0.66,0.69,1410000.0,0.0
66,2006-10-27,0.68,0.7,0.68,0.7,1190000.0,408000.0
67,2006-10-30,0.71,0.71,0.7,0.7,950000.0,0.0
68,2006-10-31,0.69,0.7,0.69,0.69,1400000.0,0.0
69,2006-09-01,0.62,0.63,0.62,0.63,280000.0,0.0
70,2006-09-04,0.63,0.64,0.63,0.64,80000.0,0.0
71,2006-09-05,0.65,0.68,0.65,0.65,1700000.0,0.0
72,2006-09-06,0.64,0.68,0.64,0.66,4720000.0,1409600.0
73,2006-09-07,0.64,0.64,0.64,0.64,250000.0,0.0
74,2006-09-08,0.64,0.64,0.59,0.59,3170000.0,717000.0
75,2006-09-11,0.6,0.6,0.6,0.6,100000.0,0.0
76,2006-09-12,0.59,0.59,0.59,0.59,600000.0,354000.0
77,2006-09-13,0.58,0.58,0.57,0.57,700000.0,404000.0
78,2006-09-14,0.59,0.61,0.59,0.61,1100000.0,513500.0
79,2006-09-22,0.6,0.6,0.58,0.58,220000.0,0.0
80,2006-09-25,0.59,0.59,0.59,0.59,200000.0,0.0
81,2006-09-26,0.58,0.58,0.58,0.58,200000.0,0.0
82,2006-09-27,0.58,0.59,0.57,0.59,370000.0,5700.0
83,2007-04-02,1.26,1.28,1.24,1.24,1710000.0,0.0
84,2007-04-03,1.26,1.3,1.24,1.3,6163000.0,0.0
85,2007-04-04,1.32,1.34,1.3,1.3,6257000.0,165600.0
86,2007-04-10,1.32,1.42,1.32,1.38,24789000.0,1337380.0
87,2007-04-11,1.4,1.4,1.36,1.36,10852000.0,130560.0
88,2007-04-12,1.36,1.38,1.32,1.34,3858000.0,0.0
89,2007-04-13,1.34,1.36,1.32,1.36,3654000.0,34840.0
90,2007-04-16,1.34,1.34,1.32,1.34,3091000.0,0.0
91,2007-04-17,1.32,1.36,1.32,1.34,2102000.0,0.0
92,2007-04-18,1.34,1.34,1.32,1.34,2374000.0,1320000.0
93,2007-04-19,1.32,1.32,1.26,1.28,5319000.0,188000.0
94,2007-04-20,1.28,1.36,1.28,1.34,16582000.0,0.0
95,2007-04-23,1.36,1.38,1.36,1.36,10766000.0,-1011080.0
96,2007-04-24,1.38,1.38,1.36,1.38,14394000.0,0.0
97,2007-04-25,1.38,1.42,1.38,1.38,25517000.0,144000.0
98,2007-04-26,1.4,1.4,1.36,1.38,7373000.0,0.0
99,2007-04-27,1.38,1.38,1.34,1.36,5336000.0,0.0
100,2007-04-30,1.36,1.36,1.34,1.34,1551000.0,0.0
101,2007-08-01,1.34,1.34,1.3,1.32,2770000.0,0.0
102,2007-08-02,1.3,1.3,1.26,1.26,10141000.0,-3438080.0
103,2007-08-03,1.3,1.3,1.16,1.26,5187000.0,-59000.0
104,2007-08-06,1.02,1.18,1.02,1.1,5351000.0,0.0
105,2007-08-07,1.16,1.2,1.16,1.16,1335000.0,0.0
106,2007-08-08,1.18,1.22,1.18,1.2,1099000.0,0.0
107,2007-08-09,1.22,1.24,1.22,1.22,2422000.0,366000.0
108,2007-08-10,1.14,1.18,1.08,1.16,1065000.0,0.0
109,2007-08-13,1.16,1.22,1.16,1.18,23000.0,0.0
110,2007-08-14,1.16,1.16,1.14,1.14,2564000.0,0.0
111,2007-08-15,1.1,1.14,1.08,1.14,8919000.0,-330000.0
112,2007-08-16,1.12,1.14,1.06,1.06,8556000.0,2180000.0
113,2007-08-17,1.1,1.1,1.0,1.0,6502000.0,110000.0
114,2007-08-21,1.1,1.12,1.04,1.1,7300000.0,0.0
115,2007-08-22,1.12,1.16,1.1,1.14,3317000.0,0.0
116,2007-08-23,1.16,1.28,1.14,1.26,9623000.0,-118000.0
117,2007-08-24,1.26,1.26,1.22,1.24,2585000.0,0.0
118,2007-08-28,1.24,1.24,1.2,1.2,3971000.0,-1169800.0
119,2007-08-29,1.16,1.16,1.12,1.14,1670000.0,-112000.0
120,2007-08-30,1.2,1.24,1.18,1.2,9551000.0,0.0
121,2007-08-31,1.22,1.22,1.18,1.2,5730000.0,0.0
122,2007-12-03,1.12,1.12,1.1,1.12,1250000.0,0.0
123,2007-12-04,1.08,1.12,1.08,1.1,191000.0,0.0
124,2007-12-05,1.12,1.14,1.12,1.14,1433000.0,0.0
125,2007-12-06,1.14,1.18,1.14,1.16,1232000.0,0.0
126,2007-12-07,1.16,1.18,1.14,1.14,356000.0,0.0
127,2007-12-10,1.14,1.14,1.12,1.12,77000.0,0.0
128,2007-12-11,1.16,1.16,1.14,1.14,1240000.0,-88160.0
129,2007-12-13,1.12,1.12,1.1,1.1,300000.0,0.0
130,2007-12-14,1.1,1.1,1.1,1.1,693000.0,0.0
131,2007-12-17,1.1,1.1,1.08,1.08,144000.0,0.0
132,2007-12-18,1.06,1.06,1.06,1.06,656000.0,0.0
133,2007-12-19,1.06,1.06,1.06,1.06,615000.0,0.0
134,2007-12-20,1.06,1.06,1.04,1.04,971000.0,0.0
135,2007-12-26,1.08,1.08,1.06,1.06,103000.0,0.0
136,2007-12-27,1.06,1.06,1.06,1.06,220000.0,0.0
137,2007-12-28,1.04,1.04,1.02,1.02,1746000.0,0.0
138,2007-02-01,1.54,1.58,1.52,1.54,4222000.0,0.0
139,2007-02-02,1.56,1.56,1.48,1.5,4219000.0,0.0
140,2007-02-05,1.54,1.54,1.46,1.48,1935000.0,0.0
141,2007-02-06,1.46,1.54,1.46,1.5,2503000.0,0.0
142,2007-02-07,1.5,1.5,1.48,1.5,942000.0,0.0
143,2007-02-08,1.48,1.5,1.44,1.46,3959000.0,-525000.0
144,2007-02-09,1.52,1.54,1.48,1.5,6684000.0,-2882300.0
145,2007-02-12,1.5,1.5,1.44,1.5,3027000.0,-2933560.0
146,2007-02-13,1.46,1.48,1.42,1.42,4552000.0,-1579720.0
147,2007-02-14,1.42,1.42,1.26,1.28,17086000.0,-1755680.0
148,2007-02-15,1.24,1.34,1.22,1.32,15164000.0,0.0
149,2007-02-19,1.32,1.32,1.2,1.26,12214000.0,0.0
150,2007-02-20,1.24,1.24,1.14,1.16,11996000.0,0.0
151,2007-02-21,1.18,1.22,1.14,1.16,6528000.0,0.0
152,2007-02-22,1.16,1.16,1.08,1.12,14106000.0,-4000.0
153,2007-02-23,1.14,1.26,1.14,1.26,37924000.0,0.0
154,2007-02-26,1.32,1.36,1.28,1.32,23884000.0,312000.0
155,2007-02-27,1.32,1.36,1.28,1.3,24085000.0,594000.0
156,2007-02-28,1.24,1.24,1.16,1.18,13740000.0,0.0
157,2007-01-02,1.44,1.54,1.44,1.54,6834000.0,0.0
