,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.12,0.135,0.12,0.125,9290000.0,-27000.0
1,2006-08-02,0.125,0.125,0.12,0.12,580000.0,0.0
2,2006-08-03,0.12,0.12,0.12,0.12,160000.0,0.0
3,2006-08-04,0.12,0.175,0.12,0.155,56250000.0,-73200.0
4,2006-08-07,0.15,0.17,0.145,0.145,8410000.0,-4950.0
5,2006-08-08,0.15,0.15,0.125,0.125,5800000.0,-43200.0
6,2006-08-09,0.13,0.135,0.125,0.135,3850000.0,0.0
7,2006-08-10,0.135,0.15,0.135,0.135,3720000.0,0.0
8,2006-08-11,0.13,0.135,0.13,0.135,1420000.0,0.0
9,2006-08-14,0.135,0.135,0.135,0.135,800000.0,0.0
10,2006-08-15,0.13,0.13,0.13,0.13,2100000.0,0.0
11,2006-08-16,0.135,0.135,0.13,0.13,1200000.0,0.0
12,2006-08-17,0.13,0.13,0.125,0.125,1660000.0,0.0
13,2006-12-04,0.12,0.13,0.12,0.12,920000.0,0.0
14,2006-12-05,0.12,0.12,0.12,0.12,100000.0,0.0
15,2006-12-06,0.125,0.125,0.125,0.125,800000.0,0.0
16,2006-12-07,0.13,0.13,0.13,0.13,30000.0,0.0
17,2006-12-11,0.13,0.135,0.13,0.135,360000.0,0.0
18,2006-12-14,0.12,0.135,0.12,0.135,80000.0,0.0
19,2006-12-15,0.12,0.13,0.12,0.13,3120000.0,0.0
20,2006-12-18,0.13,0.13,0.13,0.13,1490000.0,0.0
21,2006-12-19,0.13,0.135,0.13,0.135,4630000.0,0.0
22,2006-12-20,0.13,0.13,0.125,0.13,660000.0,0.0
23,2006-12-21,0.12,0.135,0.12,0.13,360000.0,0.0
24,2006-12-28,0.12,0.13,0.12,0.13,160000.0,0.0
25,2006-12-29,0.12,0.135,0.12,0.13,170000.0,0.0
26,2006-11-02,0.13,0.135,0.13,0.135,430000.0,0.0
27,2006-11-03,0.13,0.13,0.13,0.13,870000.0,0.0
28,2006-11-06,0.135,0.145,0.13,0.135,9740000.0,0.0
29,2006-11-07,0.135,0.14,0.125,0.14,11720000.0,0.0
30,2006-11-08,0.13,0.135,0.13,0.135,700000.0,26000.0
31,2006-11-10,0.125,0.13,0.125,0.13,7350000.0,0.0
32,2006-11-13,0.125,0.125,0.125,0.125,800000.0,0.0
33,2006-11-15,0.125,0.13,0.125,0.13,600000.0,0.0
34,2006-11-17,0.13,0.13,0.13,0.13,1000000.0,0.0
35,2006-11-20,0.135,0.135,0.13,0.135,650000.0,0.0
36,2006-11-21,0.13,0.135,0.13,0.135,430000.0,0.0
37,2006-11-22,0.135,0.135,0.13,0.135,1300000.0,0.0
38,2006-11-23,0.135,0.14,0.13,0.14,8290000.0,0.0
39,2006-11-24,0.14,0.145,0.135,0.14,5650000.0,0.0
40,2006-11-27,0.14,0.14,0.135,0.135,2360000.0,0.0
41,2006-11-28,0.14,0.14,0.14,0.14,950000.0,0.0
42,2006-11-29,0.14,0.14,0.1,0.12,13140000.0,50000.0
43,2006-11-30,0.13,0.13,0.13,0.13,250000.0,0.0
44,2006-10-02,0.15,0.15,0.15,0.15,250000.0,-15000.0
45,2006-10-09,0.13,0.13,0.13,0.13,300000.0,0.0
46,2006-10-10,0.11,0.11,0.11,0.11,50000.0,0.0
47,2006-10-11,0.11,0.11,0.11,0.11,360000.0,0.0
48,2006-10-12,0.12,0.13,0.12,0.13,2070000.0,0.0
49,2006-10-13,0.14,0.14,0.135,0.135,80000.0,0.0
50,2006-10-16,0.13,0.13,0.13,0.13,500000.0,0.0
51,2006-10-17,0.135,0.135,0.135,0.135,50000.0,0.0
52,2006-10-19,0.135,0.14,0.13,0.14,4360000.0,0.0
53,2006-10-20,0.145,0.15,0.145,0.145,9690000.0,0.0
54,2006-10-23,0.145,0.145,0.135,0.14,4030000.0,0.0
55,2006-10-25,0.14,0.145,0.135,0.14,2050000.0,0.0
