,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-07,1.04,1.04,1.04,1.04,12000,12480
1,2006-12-04,1.7,2.22,1.7,2.22,45000,-22200
2,2006-12-05,2.3,2.65,2.3,2.65,13000,-21200
3,2006-12-06,3.0,3.9,3.0,3.05,121000,0
4,2006-12-07,3.1,3.1,3.0,3.0,2000,0
5,2006-12-08,2.4,3.0,2.4,2.4,12000,0
6,2006-12-12,3.0,3.0,3.0,3.0,1000,3000
7,2006-12-14,2.65,2.65,2.65,2.65,8000,0
8,2006-12-18,2.75,3.05,2.75,3.05,85000,-27500
9,2006-12-19,2.75,2.75,2.75,2.75,6000,0
10,2006-12-22,3.1,3.1,3.1,3.1,10000,0
11,2006-12-29,2.12,2.12,2.12,2.12,1000,0
12,2006-11-28,1.0,1.0,1.0,1.0,180000,0
13,2006-11-30,1.48,1.48,1.48,1.48,30000,-44400
14,2007-01-08,2.16,2.16,2.16,2.16,38000,0
15,2007-01-17,2.85,3.0,2.5,2.5,60000,0
16,2007-01-18,3.3,3.3,2.6,2.6,56000,0
17,2007-01-19,2.95,2.95,2.95,2.95,1000,0
