,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.51,0.53,0.5,0.5,1910000.0,-196500.0
1,2006-08-02,0.5,0.5,0.5,0.5,200000.0,-70000.0
2,2006-08-03,0.51,0.58,0.51,0.55,6460000.0,-478800.0
3,2006-08-04,0.58,0.62,0.58,0.58,6130000.0,-468300.0
4,2006-08-07,0.58,0.58,0.57,0.57,240000.0,-81200.0
5,2006-08-08,0.55,0.55,0.54,0.54,670000.0,-287200.0
6,2006-08-09,0.53,0.53,0.52,0.52,1410000.0,-275600.0
7,2006-08-10,0.52,0.52,0.5,0.52,70000.0,0.0
8,2006-08-11,0.52,0.52,0.52,0.52,250000.0,0.0
9,2006-08-14,0.52,0.52,0.5,0.5,630000.0,-25000.0
10,2006-08-15,0.5,0.5,0.5,0.5,100000.0,0.0
11,2006-08-16,0.5,0.5,0.49,0.49,2880000.0,-720000.0
12,2006-08-17,0.48,0.5,0.48,0.5,210000.0,0.0
13,2006-12-04,0.56,0.57,0.56,0.56,570000.0,0.0
14,2006-12-05,0.57,0.57,0.56,0.56,980000.0,0.0
15,2006-12-06,0.56,0.59,0.56,0.58,2910000.0,1382000.0
16,2006-12-07,0.59,0.59,0.57,0.58,1390000.0,756000.0
17,2006-12-08,0.56,0.57,0.56,0.56,910000.0,0.0
18,2006-12-11,0.58,0.58,0.57,0.58,3370000.0,1158500.0
19,2006-12-13,0.56,0.58,0.56,0.56,1390000.0,-565700.0
20,2006-12-14,0.58,0.58,0.58,0.58,3190000.0,284200.0
21,2006-12-15,0.59,0.6,0.58,0.6,4350000.0,69100.0
22,2006-12-18,0.6,0.6,0.59,0.59,770000.0,-2100.0
23,2006-12-19,0.6,0.6,0.58,0.6,3000000.0,579800.0
24,2006-12-20,0.6,0.6,0.6,0.6,20000.0,0.0
25,2006-12-21,0.6,0.6,0.6,0.6,3720000.0,228000.0
26,2006-12-27,0.58,0.58,0.58,0.58,2090000.0,0.0
27,2006-12-28,0.58,0.58,0.58,0.58,20000.0,0.0
28,2006-12-29,0.58,0.6,0.58,0.6,3400000.0,123500.0
29,2006-11-02,0.52,0.54,0.51,0.54,3520000.0,1149500.0
30,2006-11-03,0.54,0.57,0.54,0.56,2360000.0,526000.0
31,2006-11-06,0.56,0.63,0.56,0.59,15090000.0,-284100.0
32,2006-11-07,0.6,0.66,0.6,0.64,25150000.0,880800.0
33,2006-11-08,0.65,0.68,0.64,0.66,18920000.0,5815800.0
34,2006-11-09,0.66,0.67,0.63,0.65,15600000.0,-1300000.0
35,2006-11-10,0.67,0.67,0.62,0.62,9470000.0,0.0
36,2006-11-13,0.63,0.63,0.61,0.61,1680000.0,0.0
37,2006-11-14,0.6,0.6,0.58,0.58,1030000.0,0.0
38,2006-11-15,0.65,0.65,0.59,0.59,1430000.0,0.0
39,2006-11-16,0.58,0.58,0.58,0.58,1060000.0,0.0
40,2006-11-17,0.59,0.61,0.59,0.61,3150000.0,0.0
41,2006-11-20,0.62,0.65,0.6,0.64,8580000.0,0.0
42,2006-11-21,0.63,0.64,0.58,0.58,5650000.0,0.0
43,2006-11-22,0.59,0.62,0.58,0.6,3770000.0,1000000.0
44,2006-11-23,0.61,0.66,0.59,0.64,12110000.0,690000.0
45,2006-11-24,0.65,0.68,0.62,0.65,10120000.0,0.0
46,2006-11-27,0.66,0.67,0.63,0.63,3380000.0,0.0
47,2006-11-28,0.63,0.63,0.61,0.62,1930000.0,0.0
48,2006-11-29,0.61,0.62,0.54,0.54,9890000.0,0.0
49,2006-11-30,0.56,0.59,0.55,0.59,11150000.0,3826900.0
50,2006-10-02,0.44,0.44,0.42,0.42,500000.0,-213900.0
51,2006-10-04,0.42,0.42,0.42,0.42,860000.0,-189000.0
52,2006-10-06,0.43,0.43,0.43,0.43,20000.0,0.0
53,2006-10-09,0.43,0.46,0.43,0.45,8840000.0,-699500.0
54,2006-10-10,0.43,0.46,0.43,0.46,70000.0,0.0
55,2006-10-11,0.46,0.46,0.46,0.46,6510000.0,0.0
56,2006-10-12,0.45,0.45,0.45,0.45,9900000.0,-270000.0
57,2006-10-16,0.44,0.47,0.44,0.46,3220000.0,-186000.0
58,2006-10-17,0.46,0.46,0.45,0.45,11910000.0,0.0
59,2006-10-18,0.46,0.47,0.46,0.47,1710000.0,-470000.0
60,2006-10-19,0.47,0.52,0.47,0.52,9530000.0,182400.0
61,2006-10-20,0.52,0.56,0.52,0.56,9410000.0,0.0
62,2006-10-23,0.55,0.57,0.51,0.53,5860000.0,0.0
63,2006-10-25,0.52,0.55,0.52,0.52,1350000.0,104200.0
64,2006-10-26,0.52,0.52,0.51,0.52,2160000.0,0.0
65,2006-10-27,0.52,0.56,0.52,0.52,11350000.0,162000.0
66,2006-10-30,0.52,0.53,0.5,0.5,5000000.0,0.0
67,2006-10-31,0.5,0.52,0.5,0.52,670000.0,0.0
68,2006-09-01,0.48,0.49,0.48,0.49,700000.0,0.0
69,2006-09-04,0.47,0.48,0.47,0.47,1420000.0,0.0
70,2006-09-05,0.47,0.47,0.47,0.47,730000.0,0.0
71,2006-09-06,0.47,0.47,0.47,0.47,1000000.0,0.0
72,2006-09-07,0.47,0.47,0.46,0.46,1230000.0,-110800.0
73,2006-09-08,0.46,0.48,0.46,0.48,860000.0,-283600.0
74,2006-09-11,0.48,0.49,0.47,0.47,360000.0,38800.0
75,2006-09-12,0.46,0.47,0.46,0.46,860000.0,-248400.0
76,2006-09-13,0.45,0.46,0.44,0.45,1900000.0,-811000.0
77,2006-09-14,0.45,0.45,0.44,0.45,1220000.0,-360000.0
78,2006-09-15,0.45,0.45,0.45,0.45,60000.0,-27000.0
79,2006-09-18,0.45,0.45,0.45,0.45,100000.0,-45000.0
80,2006-09-19,0.45,0.45,0.45,0.45,550000.0,-108000.0
81,2006-09-20,0.45,0.45,0.45,0.45,600000.0,-256500.0
82,2006-09-21,0.45,0.45,0.44,0.44,1070000.0,-360800.0
83,2006-09-22,0.44,0.44,0.43,0.43,710000.0,-310800.0
84,2006-09-25,0.43,0.43,0.42,0.42,850000.0,-212000.0
85,2006-09-26,0.54,0.54,0.54,0.54,10000.0,0.0
86,2006-09-27,0.45,0.45,0.45,0.45,150000.0,0.0
87,2007-04-02,0.99,1.02,0.98,0.98,530000.0,0.0
88,2007-04-03,0.97,0.99,0.97,0.98,3170000.0,485000.0
89,2007-04-04,0.99,0.99,0.97,0.98,3830000.0,0.0
90,2007-04-10,0.98,0.98,0.96,0.97,1790000.0,107800.0
91,2007-04-11,0.96,0.98,0.95,0.96,4590000.0,0.0
92,2007-04-12,0.95,0.98,0.94,0.97,5750000.0,0.0
93,2007-04-13,0.98,0.99,0.95,0.96,8850000.0,19400.0
94,2007-04-16,0.99,1.0,0.95,0.96,11170000.0,0.0
95,2007-04-17,0.97,0.98,0.95,0.96,5770000.0,970000.0
96,2007-04-18,0.96,0.97,0.95,0.95,1510000.0,0.0
97,2007-04-19,0.96,0.96,0.93,0.95,1010000.0,0.0
98,2007-04-20,0.94,0.94,0.93,0.93,980000.0,0.0
99,2007-04-23,0.94,0.95,0.94,0.95,230000.0,0.0
100,2007-04-24,0.95,0.95,0.94,0.94,110000.0,0.0
101,2007-04-25,0.93,0.95,0.91,0.92,2000000.0,0.0
102,2007-04-26,0.93,0.93,0.85,0.85,5290000.0,0.0
103,2007-04-27,0.86,0.89,0.86,0.89,2620000.0,1247000.0
104,2007-04-30,0.88,0.89,0.87,0.87,2810000.0,1355000.0
105,2007-08-01,0.85,0.85,0.78,0.78,820000.0,0.0
106,2007-08-02,0.79,0.79,0.7,0.7,4470000.0,0.0
107,2007-08-03,0.78,0.78,0.65,0.65,1090000.0,15600.0
108,2007-08-06,0.55,0.78,0.55,0.7,790000.0,0.0
109,2007-08-07,0.74,0.75,0.7,0.73,1630000.0,0.0
110,2007-08-08,0.73,0.78,0.73,0.78,5580000.0,3648000.0
111,2007-08-09,0.79,0.8,0.79,0.79,1250000.0,0.0
112,2007-08-10,0.75,0.8,0.75,0.8,3080000.0,1467700.0
113,2007-08-13,0.79,0.8,0.78,0.78,4670000.0,1794200.0
114,2007-08-14,0.78,0.78,0.78,0.78,350000.0,195000.0
115,2007-08-16,0.68,0.69,0.66,0.69,3840000.0,2475100.0
116,2007-08-17,0.69,0.69,0.66,0.68,5360000.0,2676400.0
117,2007-08-21,0.75,0.99,0.75,0.78,5300000.0,2196400.0
118,2007-08-22,0.78,0.79,0.78,0.78,2910000.0,1114700.0
119,2007-08-23,0.8,0.8,0.78,0.78,1850000.0,936000.0
120,2007-08-24,0.78,0.78,0.78,0.78,1920000.0,717600.0
121,2007-08-28,0.78,0.78,0.78,0.78,800000.0,413400.0
122,2007-08-29,0.78,0.78,0.78,0.78,3050000.0,1856400.0
123,2007-08-30,0.79,0.82,0.78,0.78,3260000.0,985000.0
124,2007-08-31,0.79,0.8,0.78,0.79,2480000.0,1089000.0
125,2007-12-03,0.85,0.91,0.85,0.87,5310000.0,-535900.0
126,2007-12-04,0.88,0.88,0.87,0.88,1160000.0,483000.0
127,2007-12-05,0.84,0.89,0.84,0.88,2840000.0,1178700.0
128,2007-12-06,0.89,0.89,0.88,0.88,4030000.0,2578400.0
129,2007-12-07,0.88,0.88,0.88,0.88,950000.0,-44000.0
130,2007-12-10,0.88,0.88,0.88,0.88,3090000.0,554400.0
131,2007-12-11,0.88,0.88,0.88,0.88,500000.0,-440000.0
132,2007-12-12,0.86,0.86,0.86,0.86,370000.0,0.0
133,2007-12-13,0.86,0.88,0.86,0.86,1910000.0,0.0
134,2007-12-14,0.86,0.86,0.86,0.86,1400000.0,-516000.0
135,2007-12-17,0.85,0.85,0.75,0.75,200000.0,0.0
