,Date,Open,High,Low,Close,Volume,OtherData
0,2012-10-18,2.5,4.5,2.4,2.7,16596000.0,1622700.0
1,2012-10-19,2.95,2.95,2.01,2.55,5638000.0,289540.0
2,2012-10-22,2.54,2.54,2.22,2.27,1331000.0,84120.0
3,2012-10-23,2.28,2.3,2.2,2.25,1260000.0,-150200.0
4,2012-10-24,2.25,2.38,2.1,2.23,1099000.0,-125440.0
5,2012-10-25,2.24,2.3,2.11,2.11,393000.0,89890.0
6,2012-10-29,2.11,2.19,2.05,2.05,361000.0,-164120.0
7,2012-10-30,2.1,2.23,1.88,2.0,1161000.0,-281800.0
8,2012-10-31,1.92,2.0,1.9,2.0,193000.0,0.0
9,2012-11-05,2.0,2.0,1.85,1.85,244000.0,9350.0
10,2012-11-06,1.85,1.85,1.75,1.76,283000.0,-16650.0
11,2012-11-07,1.74,1.74,1.4,1.63,813000.0,22500.0
12,2012-11-08,1.53,1.59,1.43,1.43,214000.0,-22950.0
13,2012-11-09,1.4,1.41,1.38,1.39,167000.0,-1390.0
14,2012-11-12,1.39,1.39,1.34,1.34,60000.0,6950.0
15,2012-11-13,1.26,1.34,1.23,1.27,484000.0,5000.0
16,2012-11-14,1.28,1.3,1.21,1.21,399000.0,-84880.0
17,2012-11-15,1.21,1.25,1.21,1.22,185000.0,-36660.0
18,2012-11-16,1.21,1.21,1.18,1.19,166000.0,0.0
19,2012-11-19,1.18,1.18,1.14,1.15,343000.0,5750.0
20,2012-11-20,1.16,1.21,1.16,1.16,181000.0,0.0
21,2012-11-21,1.18,1.18,1.16,1.16,26000.0,0.0
22,2012-11-22,1.16,1.2,1.16,1.2,5000.0,0.0
23,2012-11-23,1.16,1.22,1.16,1.16,136000.0,0.0
24,2012-11-26,1.15,1.17,1.15,1.15,11000.0,0.0
25,2012-11-27,1.15,1.15,1.14,1.14,42000.0,0.0
26,2012-11-28,1.15,1.21,1.15,1.2,162000.0,0.0
27,2012-11-29,1.2,1.26,1.2,1.26,33000.0,0.0
28,2012-12-03,1.22,1.26,1.22,1.22,5000.0,0.0
29,2012-12-04,1.25,1.26,1.2,1.22,169000.0,0.0
30,2012-12-05,1.2,1.2,1.18,1.18,108000.0,0.0
31,2012-12-06,1.18,1.18,1.18,1.18,3000.0,0.0
32,2012-12-07,1.18,1.18,1.17,1.18,119000.0,0.0
33,2012-12-10,1.18,1.18,1.16,1.16,50000.0,0.0
34,2012-12-11,1.16,1.17,1.16,1.16,49000.0,0.0
35,2012-12-12,1.16,1.19,1.16,1.19,11000.0,0.0
36,2012-12-13,1.19,1.77,1.19,1.65,6809000.0,27090.0
37,2012-12-14,1.65,1.65,1.34,1.4,1648000.0,0.0
38,2012-12-17,1.4,1.46,1.27,1.33,742000.0,26800.0
39,2012-12-18,1.21,1.42,1.21,1.29,255000.0,-8680.0
40,2012-12-19,1.23,1.34,1.21,1.3,257000.0,0.0
41,2012-12-20,1.3,1.46,1.3,1.35,210000.0,0.0
42,2012-12-21,1.43,1.43,1.35,1.4,36000.0,0.0
43,2012-12-26,1.34,1.36,1.3,1.3,115000.0,0.0
44,2012-12-27,1.3,1.34,1.27,1.28,113000.0,0.0
45,2012-12-28,1.31,1.31,1.25,1.25,124000.0,0.0
46,2013-01-02,1.25,1.3,1.25,1.26,135000.0,0.0
47,2013-01-03,1.26,1.31,1.26,1.31,24000.0,0.0
48,2013-01-04,1.28,1.3,1.28,1.28,167000.0,0.0
49,2013-01-07,1.27,1.3,1.26,1.26,90000.0,0.0
50,2013-01-08,1.26,1.26,1.26,1.26,183000.0,0.0
51,2013-01-09,1.27,1.45,1.27,1.34,819000.0,0.0
52,2013-01-10,1.34,1.37,1.3,1.37,135000.0,0.0
53,2013-01-11,1.3,1.35,1.3,1.31,63000.0,0.0
54,2013-01-14,1.31,1.31,1.3,1.3,70000.0,0.0
55,2013-01-15,1.3,1.31,1.3,1.31,173000.0,0.0
56,2013-01-16,1.34,1.34,1.28,1.28,60000.0,0.0
57,2013-01-17,1.28,1.29,1.27,1.29,64000.0,0.0
58,2013-01-18,1.27,1.27,1.27,1.27,15000.0,0.0
59,2013-01-21,1.28,1.32,1.27,1.3,62000.0,0.0
60,2013-01-23,1.28,1.3,1.28,1.3,7000.0,0.0
61,2013-01-24,1.29,1.31,1.29,1.31,33000.0,0.0
62,2013-01-25,1.29,1.32,1.29,1.31,127000.0,0.0
63,2013-01-28,1.34,1.39,1.29,1.29,30000.0,0.0
64,2013-01-29,1.29,1.35,1.29,1.32,324000.0,0.0
65,2013-01-30,1.33,1.6,1.33,1.5,1677000.0,-21000.0
66,2013-01-31,1.48,1.5,1.35,1.35,1101000.0,0.0
67,2013-02-01,1.35,1.39,1.34,1.37,97000.0,0.0
68,2013-02-04,1.44,1.44,1.36,1.41,240000.0,0.0
69,2013-02-05,1.38,1.42,1.38,1.38,79000.0,0.0
70,2013-02-06,1.4,1.45,1.39,1.4,165000.0,0.0
71,2013-02-07,1.43,1.46,1.43,1.44,173000.0,0.0
72,2013-02-08,1.44,1.45,1.43,1.43,74000.0,0.0
73,2013-02-11,1.43,1.43,1.4,1.4,24000.0,0.0
74,2013-02-12,1.39,1.4,1.38,1.38,37000.0,0.0
75,2013-02-13,1.39,1.4,1.38,1.38,52000.0,0.0
76,2013-02-14,1.37,1.49,1.37,1.38,49000.0,0.0
77,2013-02-15,1.38,1.38,1.36,1.36,410000.0,-158310.0
78,2013-02-18,1.35,1.36,1.35,1.36,64000.0,0.0
79,2013-02-19,1.4,1.4,1.35,1.35,104000.0,0.0
80,2013-02-20,1.35,1.35,1.35,1.35,30000.0,0.0
81,2013-02-21,1.38,1.4,1.37,1.37,41000.0,0.0
82,2013-02-22,1.34,1.39,1.34,1.39,5000.0,0.0
83,2013-02-25,1.34,1.37,1.34,1.34,135000.0,0.0
84,2013-02-26,1.34,1.34,1.32,1.32,165000.0,-29480.0
85,2013-02-27,1.33,1.33,1.32,1.33,42000.0,0.0
86,2013-02-28,1.33,1.33,1.32,1.32,69000.0,0.0
87,2013-03-01,1.32,1.32,1.32,1.32,35000.0,0.0
88,2013-03-04,1.32,1.33,1.31,1.33,54000.0,0.0
89,2013-03-05,1.33,1.34,1.32,1.32,46000.0,0.0
90,2013-03-06,1.32,1.34,1.31,1.34,89000.0,0.0
91,2013-03-07,1.31,1.32,1.31,1.32,11000.0,0.0
92,2013-03-08,1.32,1.32,1.32,1.32,25000.0,0.0
93,2013-03-11,1.33,1.33,1.32,1.32,38000.0,0.0
94,2013-03-12,1.32,1.32,1.31,1.32,135000.0,0.0
95,2013-03-14,1.31,1.31,1.3,1.3,199000.0,0.0
96,2013-03-15,1.3,1.3,1.3,1.3,21000.0,0.0
97,2013-03-18,1.29,1.3,1.29,1.3,26000.0,0.0
98,2013-03-19,1.29,1.29,1.29,1.29,2000.0,0.0
99,2013-03-20,1.29,1.3,1.29,1.3,24000.0,0.0
100,2013-03-21,1.29,1.29,1.29,1.29,86000.0,0.0
101,2013-03-22,1.33,1.33,1.29,1.29,62000.0,0.0
102,2013-03-25,1.29,1.29,1.29,1.29,4000.0,0.0
103,2013-03-27,1.3,1.33,1.3,1.3,11000.0,0.0
104,2013-04-01,1.3,1.3,1.3,1.3,66000.0,0.0
105,2013-04-03,1.3,1.3,1.3,1.3,15000.0,0.0
106,2013-04-04,1.3,1.6,1.3,1.45,1165000.0,0.0
107,2013-04-05,1.53,1.53,1.42,1.48,140000.0,0.0
108,2013-04-08,1.42,1.42,1.32,1.32,175000.0,0.0
109,2013-04-10,1.45,1.45,1.35,1.35,20000.0,0.0
110,2013-04-11,1.44,1.54,1.44,1.5,457000.0,0.0
111,2013-04-12,1.54,1.54,1.43,1.45,107000.0,0.0
112,2013-04-15,1.5,1.5,1.37,1.5,50000.0,0.0
