,Date,Open,High,Low,Close,Volume,OtherData
0,2006-09-20,0.3,0.3,0.3,0.3,30000,0
1,2007-04-10,1.16,1.22,1.16,1.18,101000,-3540
2,2007-04-12,1.16,1.16,1.16,1.16,210000,0
3,2007-04-16,1.16,1.16,1.0,1.12,213000,0
4,2007-04-19,1.12,1.12,1.12,1.12,3000,0
5,2007-04-20,1.14,1.14,1.14,1.14,30000,0
6,2007-04-24,1.14,1.18,1.14,1.18,115000,0
7,2007-04-25,1.18,1.18,1.18,1.18,200000,0
8,2007-04-26,1.18,1.74,1.18,1.68,2205000,0
9,2007-04-27,1.7,1.7,1.5,1.5,350000,0
10,2007-02-14,0.38,0.45,0.38,0.45,20000,0
11,2007-06-01,1.34,1.34,1.28,1.3,1138000,0
12,2007-06-04,1.32,1.42,1.32,1.38,5406000,0
13,2007-06-05,1.36,1.36,1.34,1.34,931000,0
14,2007-06-06,1.36,1.38,1.36,1.38,1312000,0
15,2007-06-07,1.36,1.56,1.36,1.56,8304000,0
16,2007-06-08,1.6,2.34,1.6,2.34,21376000,0
17,2007-06-12,2.8,3.5,2.8,3.1,20671000,237600
18,2007-06-13,3.2,4.0,3.0,3.85,16583000,-114500
19,2007-06-14,4.5,4.5,3.5,3.5,22848000,598750
20,2007-06-15,3.5,3.75,3.2,3.6,13926000,109500
21,2007-03-21,0.66,0.66,0.66,0.66,10000,0
22,2007-03-22,0.7,0.7,0.7,0.7,10000,0
23,2007-03-23,0.76,1.0,0.76,1.0,90000,0
24,2007-03-26,1.06,1.32,1.06,1.18,200000,0
25,2007-03-27,1.22,1.22,1.18,1.18,38000,0
26,2007-03-30,1.16,1.16,1.16,1.16,2000,0
27,2007-05-03,1.18,1.3,1.18,1.3,79000,0
28,2007-05-04,1.3,1.3,1.3,1.3,10000,0
29,2007-05-09,1.3,1.3,1.18,1.2,5940000,0
30,2007-05-10,1.2,1.4,1.2,1.34,18976000,40200
31,2007-05-11,1.34,1.48,1.32,1.44,9175000,70000
32,2007-05-15,1.44,1.46,1.36,1.38,1967000,-72000
33,2007-05-16,1.38,1.44,1.32,1.34,2038000,-56000
34,2007-05-17,1.32,1.34,1.3,1.32,1104000,0
35,2007-05-18,1.32,1.4,1.32,1.34,2372000,13400
36,2007-05-21,1.36,1.38,1.34,1.34,1510000,0
37,2007-05-22,1.32,1.32,1.26,1.28,45000,0
38,2007-05-23,1.32,1.32,1.24,1.3,361000,0
39,2007-05-24,1.3,1.44,1.3,1.38,8166000,-3000
40,2007-05-25,1.32,1.38,1.32,1.34,2335000,0
41,2007-05-28,1.38,1.38,1.3,1.34,1185000,0
42,2007-05-29,1.34,1.34,1.28,1.3,504000,0
43,2007-05-30,1.34,1.36,1.24,1.26,1998000,0
44,2007-05-31,1.28,1.32,1.28,1.3,2119000,0
45,2007-11-05,3.05,3.35,3.05,3.25,11032000,0
46,2007-11-06,3.35,3.35,3.0,3.0,13301000,107000
47,2007-10-30,3.6,3.9,2.75,2.9,25310000,216750
48,2007-10-31,2.75,3.25,2.75,3.15,13326000,-19600
