,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1470.97,1479.36,1466.2,1468.69,0.0,0.0
1,2006-08-02,1468.69,1468.69,1422.94,1429.01,0.0,0.0
2,2006-08-03,1429.81,1451.54,1429.81,1450.55,0.0,0.0
3,2006-08-04,1450.39,1456.78,1450.39,1452.29,0.0,0.0
4,2006-08-07,1456.99,1458.58,1449.29,1456.93,0.0,0.0
5,2006-08-08,1458.04,1459.15,1452.45,1453.44,0.0,0.0
6,2006-08-09,1449.32,1450.55,1439.17,1445.17,0.0,0.0
7,2006-08-10,1445.04,1445.04,1424.91,1436.61,0.0,0.0
8,2006-08-11,1440.3,1444.28,1438.67,1442.63,0.0,0.0
9,2006-08-14,1442.27,1442.27,1435.09,1437.11,0.0,0.0
10,2006-08-15,1437.11,1438.71,1432.99,1438.61,0.0,0.0
11,2006-08-16,1440.31,1446.21,1440.31,1445.9,0.0,0.0
12,2006-08-17,1445.4,1449.36,1444.35,1447.5,0.0,0.0
13,2006-12-04,1745.09,1746.28,1736.52,1746.28,0.0,0.0
14,2006-12-05,1746.97,1752.1,1746.97,1751.22,0.0,0.0
15,2006-12-06,1749.07,1749.07,1743.45,1747.55,0.0,0.0
16,2006-12-07,1745.56,1746.88,1732.08,1743.56,0.0,0.0
17,2006-12-08,1747.0,1756.82,1746.1,1756.82,0.0,0.0
18,2006-12-11,1758.73,1767.4,1758.73,1762.79,0.0,0.0
19,2006-12-12,1762.91,1764.89,1755.3,1764.89,0.0,0.0
20,2006-12-13,1775.58,1775.9,1766.4,1769.35,0.0,0.0
21,2006-12-14,1768.83,1770.18,1761.44,1766.59,0.0,0.0
22,2006-12-15,1766.99,1779.87,1766.99,1779.87,0.0,0.0
23,2006-12-18,1781.21,1799.39,1781.03,1795.56,0.0,0.0
24,2006-12-19,1797.45,1801.03,1779.41,1782.92,0.0,0.0
25,2006-12-20,1785.09,1786.26,1773.13,1779.29,0.0,0.0
26,2006-12-21,1778.62,1803.16,1778.62,1799.69,0.0,0.0
27,2006-12-22,1800.51,1804.83,1796.9,1800.88,0.0,0.0
28,2006-12-27,1800.95,1813.79,1800.95,1813.0,0.0,0.0
29,2006-12-28,1823.77,1843.67,1823.72,1843.67,0.0,0.0
30,2006-12-29,1846.11,1860.34,1846.11,1860.34,0.0,0.0
31,2006-11-02,1663.15,1668.38,1661.75,1668.38,0.0,0.0
32,2006-11-03,1670.94,1694.11,1670.94,1692.76,0.0,0.0
33,2006-11-06,1691.11,1691.95,1682.99,1690.28,0.0,0.0
34,2006-11-07,1694.23,1709.28,1694.23,1709.28,0.0,0.0
35,2006-11-08,1709.28,1709.28,1690.18,1699.23,0.0,0.0
36,2006-11-09,1700.12,1726.83,1698.76,1726.25,0.0,0.0
37,2006-11-10,1728.61,1741.64,1725.35,1737.28,0.0,0.0
38,2006-11-13,1737.39,1737.59,1728.74,1733.69,0.0,0.0
39,2006-11-14,1733.19,1733.94,1718.08,1726.93,0.0,0.0
40,2006-11-15,1726.78,1728.51,1719.29,1727.16,0.0,0.0
41,2006-11-16,1728.57,1745.45,1725.63,1743.29,0.0,0.0
42,2006-11-17,1742.14,1762.27,1740.34,1759.49,0.0,0.0
43,2006-11-20,1759.64,1763.11,1757.79,1762.96,0.0,0.0
