,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,736.27,739.79,729.49,731.61,21711.0,55004.0
1,2006-08-02,731.61,731.61,711.08,716.3,9197.0,-51616.0
2,2006-08-03,718.45,723.83,718.45,722.94,4425.0,10100.0
3,2006-08-04,722.45,724.65,721.69,722.57,7414.0,4564.0
4,2006-08-07,740.05,742.2,716.99,718.55,2275.0,15964.0
5,2006-08-08,718.55,722.28,715.6,719.07,5660.0,25595.0
6,2006-08-09,719.07,724.57,713.0,724.57,9844.0,6787.0
7,2006-08-10,724.57,724.57,716.49,723.33,4230.0,-10667.0
8,2006-08-11,723.33,723.33,719.73,720.49,4083.0,24686.0
9,2006-08-14,720.49,720.49,717.31,719.76,62287.0,-1899807.0
10,2006-08-15,719.76,719.76,715.29,716.58,3484.0,6690.0
11,2006-08-16,719.74,733.23,719.74,733.2,5763.0,43778.0
12,2006-08-17,733.31,733.7,729.08,732.93,4673.0,7898.0
13,2006-12-04,808.91,816.63,805.95,815.16,16617.0,87801.0
14,2006-12-05,814.89,819.41,814.89,818.7,11852.0,51669.0
15,2006-12-06,816.55,816.55,807.65,809.29,9629.0,21723.0
16,2006-12-07,809.8,817.09,809.72,817.09,17999.0,94716.0
17,2006-12-08,815.82,819.18,812.91,819.18,14653.0,77331.0
18,2006-12-11,820.84,824.76,819.84,820.33,11004.0,63762.0
19,2006-12-12,820.03,822.36,815.66,822.36,11290.0,73092.0
20,2006-12-13,822.36,823.93,818.69,820.25,14312.0,-24679.0
21,2006-12-14,819.63,822.65,817.83,822.18,13790.0,-29720.0
22,2006-12-15,822.18,825.32,821.55,823.45,122454.0,-33929.0
23,2006-12-18,823.45,832.64,823.45,830.39,18019.0,153849.0
24,2006-12-19,829.65,829.65,819.43,819.43,20107.0,67400.0
25,2006-12-20,819.94,821.16,813.44,815.63,8962.0,-84522.0
26,2006-12-21,815.63,822.33,815.12,820.25,10965.0,-29020.0
27,2006-12-22,822.4,823.87,818.66,823.87,14469.0,-10495.0
28,2006-12-27,823.87,825.18,819.85,824.66,7911.0,16626.0
29,2006-12-28,825.17,825.92,819.15,822.3,9958.0,2937.0
30,2006-12-29,822.4,824.55,820.1,822.85,16734.0,7237.0
31,2006-11-02,787.81,791.75,786.91,791.75,14968.0,39677.0
32,2006-11-03,791.83,802.16,791.63,799.76,27246.0,243819.0
33,2006-11-06,799.58,801.67,798.06,801.61,18557.0,42676.0
34,2006-11-07,807.01,815.25,807.01,813.24,30779.0,486282.0
35,2006-11-08,813.24,813.24,806.44,810.06,50324.0,76440.0
36,2006-11-09,811.27,816.85,810.31,816.05,84207.0,142488.0
37,2006-11-10,816.05,816.29,810.7,810.7,47894.0,37131.0
38,2006-11-13,811.59,814.21,810.3,813.23,15693.0,63985.0
39,2006-11-14,810.9,812.43,809.69,810.46,22351.0,265143.0
40,2006-11-15,810.46,817.17,810.46,817.17,18931.0,149318.0
41,2006-11-16,818.52,825.37,816.21,825.37,20461.0,191992.0
42,2006-11-17,825.55,827.82,824.42,827.48,30980.0,82649.0
43,2006-11-20,827.48,827.82,819.89,822.45,24647.0,242306.0
44,2006-11-21,820.32,820.43,811.41,813.0,17900.0,-11549.0
45,2006-11-22,813.0,818.45,809.59,818.45,31016.0,27456.0
46,2006-11-23,813.91,815.68,807.69,810.56,42355.0,-144829.0
47,2006-11-24,812.69,818.67,810.09,817.65,101340.0,-93312.0
48,2006-11-27,817.43,818.48,814.04,817.61,62943.0,-40738.0
49,2006-11-28,811.8,815.2,805.43,813.27,29966.0,-534.0
50,2006-11-29,811.14,811.3,801.52,803.63,23540.0,-11231.0
51,2006-11-30,803.71,812.27,803.35,809.79,22489.0,-52476.0
52,2006-10-02,761.39,762.24,757.96,760.11,204848.0,8509.0
53,2006-10-03,760.05,760.05,753.71,755.15,17430.0,-11459.0
54,2006-10-04,755.23,755.23,741.68,743.96,18002.0,-13576.0
55,2006-10-05,746.16,752.32,745.82,748.67,17488.0,23518.0
56,2006-10-06,748.67,753.14,743.58,752.27,11855.0,-17930.0
57,2006-10-09,752.35,753.02,742.37,744.67,19510.0,-50664.0
58,2006-10-10,743.84,743.84,737.89,740.16,19028.0,-64945.0
59,2006-10-11,742.29,742.29,734.4,736.52,10769.0,-45321.0
60,2006-10-12,737.21,738.43,733.63,737.28,24370.0,90290.0
61,2006-10-13,739.48,739.77,733.66,733.74,15030.0,-55819.0
62,2006-10-16,733.74,735.62,731.03,735.51,15307.0,-18602.0
63,2006-10-17,733.38,733.72,728.35,731.36,15519.0,-56215.0
64,2006-10-18,731.36,732.5,725.73,732.5,17173.0,-87962.0
65,2006-10-19,732.68,741.8,732.68,740.92,10134.0,-88130.0
66,2006-10-20,743.05,753.26,743.05,753.26,47377.0,93236.0
67,2006-10-23,753.26,761.12,752.82,760.81,21672.0,106710.0
68,2006-10-25,766.83,782.85,766.83,775.78,24562.0,94393.0
69,2006-10-26,781.48,787.17,781.48,786.07,33973.0,422658.0
70,2006-10-27,785.26,787.91,781.23,787.62,21168.0,-11902.0
71,2006-10-30,787.62,788.79,783.16,786.57,27214.0,-146120.0
72,2006-10-31,789.16,790.69,786.39,787.65,25601.0,130229.0
73,2006-09-01,735.6,739.57,735.17,737.46,20646.0,25168.0
74,2006-09-04,738.05,742.0,738.05,742.0,35647.0,33617.0
75,2006-09-05,742.16,743.91,740.39,741.25,54318.0,98837.0
76,2006-09-06,741.25,743.74,739.89,742.12,17387.0,73112.0
77,2006-09-07,742.12,752.31,742.12,751.11,14213.0,62883.0
78,2006-09-08,751.19,753.11,743.95,745.64,22646.0,66371.0
79,2006-09-11,745.64,748.03,740.29,743.71,6467.0,-12261.0
80,2006-09-12,743.79,743.79,726.5,726.5,8978.0,-20524.0
81,2006-09-13,728.63,736.89,728.63,732.69,4127.0,-11428.0
82,2006-09-14,732.69,739.92,732.69,739.84,3938.0,-1461.0
83,2006-09-15,739.84,741.68,736.81,738.32,19588.0,17069.0
84,2006-09-18,738.48,747.9,738.48,747.9,7980.0,10761.0
85,2006-09-19,747.98,760.55,747.97,759.29,29285.0,217081.0
86,2006-09-20,757.24,759.32,751.05,759.32,19600.0,168969.0
87,2006-09-21,759.4,759.4,751.66,752.29,27119.0,19224.0
88,2006-09-22,750.16,757.2,750.16,754.39,28179.0,120066.0
89,2006-09-25,754.39,756.23,753.17,756.23,8660.0,-91770.0
90,2006-09-26,754.83,760.67,754.83,760.67,13623.0,-52711.0
91,2006-09-27,762.8,764.92,760.75,761.31,27562.0,-224500.0
92,2007-04-02,918.36,928.94,918.36,928.94,552518.0,119583.0
93,2007-04-03,928.85,931.92,926.51,926.51,422417.0,-3170.0
94,2007-04-04,928.99,937.88,926.51,935.8,909953.0,209832.0
95,2007-04-10,943.26,944.87,938.7,941.36,864645.0,154524.0
96,2007-04-11,941.55,944.02,939.16,942.55,744582.0,85778.0
97,2007-04-12,942.35,942.35,931.82,934.27,506208.0,52648.0
98,2007-04-13,935.04,938.57,933.8,936.35,685269.0,91168.0
99,2007-04-16,936.35,945.18,935.01,943.14,373340.0,73471.0
100,2007-04-17,941.9,947.15,941.9,943.39,1048841.0,-202009.0
101,2007-04-18,943.39,944.63,932.8,934.07,339409.0,-121224.0
102,2007-04-19,935.7,937.04,920.41,920.41,392070.0,-134714.0
103,2007-04-20,920.41,930.43,920.09,928.68,414676.0,51369.0
104,2007-04-23,928.68,940.44,927.92,940.44,435175.0,53903.0
105,2007-04-24,939.2,939.2,932.78,936.98,370004.0,-27574.0
106,2007-04-25,937.3,937.3,929.48,933.8,436055.0,9820.0
107,2007-04-26,933.8,942.21,933.8,940.42,400165.0,57632.0
108,2007-04-27,940.42,940.42,928.19,929.53,1696191.0,88622.0
109,2007-04-30,929.43,929.53,919.72,919.72,647959.0,11632.0
110,2007-08-01,921.95,930.1,920.27,921.42,6355037.0,-38402.0
111,2007-08-02,925.79,929.91,899.83,902.39,1646284.0,-293766.0
112,2007-08-03,911.87,912.58,893.17,896.09,953395.0,55131.0
113,2007-08-06,889.39,889.39,878.31,878.56,717911.0,-139650.0
114,2007-08-07,884.91,907.03,884.91,897.95,956622.0,-333346.0
115,2007-08-08,899.49,917.86,899.49,913.95,764124.0,41851.0
116,2007-08-09,916.5,923.01,915.71,920.67,516695.0,-78416.0
117,2007-08-10,901.75,907.12,892.09,894.09,675021.0,-252793.0
118,2007-08-13,896.41,899.18,881.9,884.89,511147.0,-45921.0
119,2007-08-14,886.27,888.78,868.14,868.14,603108.0,-164506.0
120,2007-08-15,860.32,860.32,841.82,841.89,532154.0,-123212.0
121,2007-08-16,833.64,833.64,806.78,806.78,554049.0,-170740.0
122,2007-08-17,811.54,825.84,788.29,791.76,937336.0,-188340.0
123,2007-08-21,827.66,849.45,826.98,844.94,1206186.0,-174006.0
124,2007-08-22,842.61,844.55,831.56,842.11,695672.0,-86855.0
125,2007-08-23,856.07,867.28,855.68,862.82,1192336.0,-194669.0
126,2007-08-24,865.36,865.36,856.93,857.64,437611.0,-10489.0
127,2007-08-28,858.28,872.55,858.28,862.79,483268.0,-17728.0
128,2007-08-29,851.51,852.37,844.01,845.11,581343.0,-63306.0
129,2007-08-30,855.66,865.44,853.02,863.5,742846.0,-96897.0
130,2007-08-31,863.81,868.88,862.72,866.02,709969.0,-93509.0
131,2007-12-03,871.03,885.46,871.03,879.24,879525.0,53503.0
132,2007-12-04,879.44,884.87,877.26,884.87,594306.0,-105427.0
133,2007-12-05,884.5,884.65,871.51,873.53,611067.0,-136178.0
134,2007-12-06,877.55,892.32,877.55,891.09,690545.0,187620.0
135,2007-12-07,896.72,906.25,896.72,903.32,801391.0,197743.0
136,2007-12-10,904.57,905.31,890.28,893.25,412222.0,78195.0
137,2007-12-11,893.25,897.33,886.19,893.96,471581.0,-91835.0
138,2007-12-12,886.43,886.43,864.4,864.4,478309.0,-148562.0
139,2007-12-13,868.15,871.84,867.94,870.68,375367.0,-95854.0
140,2007-12-14,869.66,869.66,858.3,858.33,405389.0,-173971.0
141,2007-12-17,858.33,858.33,846.62,847.27,246971.0,-140805.0
142,2007-12-18,835.35,840.84,828.36,836.78,826062.0,-514292.0
143,2007-12-19,841.73,846.3,835.34,839.27,1050503.0,-227654.0
144,2007-12-20,838.61,847.07,838.61,845.52,775315.0,-48027.0
145,2007-12-26,860.91,875.75,860.91,874.09,265490.0,16699.0
146,2007-12-27,872.28,874.32,865.27,874.32,359980.0,76154.0
147,2007-12-28,867.06,872.66,858.67,864.37,326645.0,-1888.0
148,2007-02-01,893.18,912.86,892.9,908.25,692037.0,133004.0
149,2007-02-02,912.2,922.0,911.57,919.99,1244730.0,526400.0
150,2007-02-05,920.66,926.75,920.29,924.87,464023.0,151746.0
151,2007-02-06,924.02,925.11,912.65,915.31,830450.0,264650.0
152,2007-02-07,915.31,915.31,907.46,908.75,400468.0,63330.0
153,2007-02-08,908.75,912.35,905.03,910.35,699627.0,172460.0
154,2007-02-09,910.86,919.62,909.09,918.67,817649.0,324008.0
155,2007-02-12,918.67,923.03,914.7,920.0,550347.0,172825.0
156,2007-02-13,921.56,925.39,918.79,924.82,705133.0,377595.0
157,2007-02-14,924.06,945.16,923.38,944.69,829540.0,364616.0
158,2007-02-15,946.96,973.69,946.96,973.18,1344054.0,355164.0
159,2007-02-19,964.09,969.3,956.52,959.34,537044.0,75515.0
160,2007-02-20,961.59,968.15,960.43,967.65,522439.0,47821.0
161,2007-02-21,970.46,973.52,965.46,967.31,479811.0,-67645.0
162,2007-02-22,960.86,960.91,955.0,959.14,344639.0,-87478.0
