,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1025.6,1046.47,1013.64,1023.87,391319.0,108102.0
1,2006-08-02,1023.87,1023.87,977.62,978.84,151329.0,-32236.0
2,2006-08-03,978.84,1022.22,978.84,1009.6,167629.0,-633.0
3,2006-08-04,1009.6,1017.5,1004.1,1004.83,377728.0,20105.0
4,2006-08-07,1004.83,1024.34,1000.1,1024.34,88497.0,16189.0
5,2006-08-08,1023.32,1034.25,1006.63,1006.63,184883.0,48324.0
6,2006-08-09,1006.63,1015.46,1004.15,1007.17,159654.0,-7292.0
7,2006-08-10,1007.17,1013.97,983.8,992.5,369492.0,6277.0
8,2006-08-11,992.5,1005.81,988.23,1000.46,139388.0,40350.0
9,2006-08-14,1000.46,1000.46,985.05,985.33,47752.0,-4664.0
10,2006-08-15,985.33,1008.76,985.33,997.99,141470.0,26231.0
11,2006-08-16,1005.11,1022.6,1005.11,1008.07,393361.0,117399.0
12,2006-08-17,1011.19,1032.73,1011.19,1020.95,209935.0,99110.0
13,2006-12-04,1168.29,1194.45,1167.61,1194.09,264718.0,101948.0
14,2006-12-05,1194.45,1196.85,1182.46,1195.06,158967.0,66889.0
15,2006-12-06,1195.06,1202.3,1186.21,1196.08,217256.0,45626.0
16,2006-12-07,1185.57,1186.97,1181.09,1185.66,291914.0,378744.0
17,2006-12-08,1185.66,1192.63,1174.48,1189.54,1920890.0,63023.0
18,2006-12-11,1179.03,1195.98,1172.34,1195.98,287449.0,36395.0
19,2006-12-12,1198.79,1210.75,1188.2,1210.38,305236.0,54959.0
20,2006-12-13,1210.38,1210.69,1190.5,1191.91,131853.0,21647.0
21,2006-12-14,1191.6,1199.8,1186.65,1199.8,563547.0,-32925.0
22,2006-12-15,1199.8,1210.7,1190.2,1209.67,569514.0,-12724.0
23,2006-12-18,1212.47,1244.13,1212.47,1234.26,1068788.0,167939.0
24,2006-12-19,1227.26,1239.45,1212.17,1213.58,484311.0,121083.0
25,2006-12-20,1225.58,1233.55,1212.5,1229.04,228951.0,34239.0
26,2006-12-21,1229.04,1240.26,1216.3,1228.98,164356.0,-9955.0
27,2006-12-22,1228.98,1233.84,1224.72,1233.84,108651.0,16086.0
28,2006-12-27,1233.84,1242.67,1226.84,1241.26,248782.0,-63752.0
29,2006-12-28,1274.56,1279.97,1246.9,1279.97,127245.0,109902.0
30,2006-12-29,1283.4,1283.4,1245.74,1261.67,151927.0,-1768.0
31,2006-11-02,1188.23,1188.23,1171.21,1187.41,243824.0,115770.0
32,2006-11-03,1190.22,1209.74,1190.22,1209.74,340304.0,149588.0
33,2006-11-06,1202.64,1202.64,1193.45,1197.2,240853.0,-21804.0
34,2006-11-07,1197.2,1208.83,1196.69,1199.5,534196.0,15976.0
35,2006-11-08,1199.5,1199.5,1152.65,1174.21,380594.0,-100124.0
36,2006-11-09,1166.79,1175.37,1161.39,1168.99,388942.0,41937.0
37,2006-11-10,1168.99,1171.12,1150.23,1162.31,267451.0,-5821.0
38,2006-11-13,1162.31,1174.74,1158.04,1173.95,134331.0,-13818.0
39,2006-11-14,1173.82,1184.46,1162.59,1184.46,174457.0,25124.0
40,2006-11-15,1183.06,1193.19,1169.74,1191.77,235008.0,82560.0
41,2006-11-16,1198.39,1207.37,1184.97,1206.32,410959.0,124971.0
42,2006-11-17,1202.04,1214.9,1198.03,1214.58,496214.0,-18537.0
43,2006-11-20,1214.58,1221.8,1203.43,1220.99,470427.0,276334.0
44,2006-11-21,1213.64,1213.89,1187.39,1200.99,223324.0,11553.0
45,2006-11-22,1200.99,1202.79,1189.99,1200.89,335125.0,-71320.0
46,2006-11-23,1198.08,1199.46,1169.79,1173.0,391782.0,-42345.0
47,2006-11-24,1171.8,1182.17,1161.22,1172.4,393597.0,-135008.0
48,2006-11-27,1169.8,1177.47,1161.57,1167.59,289276.0,-4708.0
49,2006-11-28,1166.0,1166.0,1140.86,1158.15,524231.0,-57227.0
50,2006-11-29,1159.19,1161.47,1145.15,1157.71,355155.0,-126.0
51,2006-11-30,1158.39,1181.57,1158.39,1168.29,327194.0,34415.0
52,2006-10-02,1090.48,1090.59,1076.97,1082.52,120380.0,-55396.0
53,2006-10-03,1082.52,1082.52,1063.84,1079.64,109485.0,-64007.0
54,2006-10-04,1079.87,1079.87,1064.38,1068.5,125262.0,-12174.0
55,2006-10-05,1082.82,1104.17,1080.71,1104.17,626208.0,69183.0
56,2006-10-06,1104.17,1112.49,1085.47,1100.57,160246.0,34418.0
57,2006-10-09,1100.18,1101.88,1069.61,1071.47,79609.0,-44109.0
58,2006-10-10,1071.47,1074.06,1060.86,1063.48,65804.0,-87057.0
59,2006-10-11,1063.48,1074.06,1056.93,1067.87,103769.0,-114898.0
60,2006-10-12,1067.87,1072.51,1056.38,1072.51,144930.0,-27207.0
61,2006-10-13,1074.71,1092.88,1074.71,1092.88,176918.0,-28938.0
62,2006-10-16,1092.88,1108.68,1085.15,1096.66,151400.0,-20057.0
63,2006-10-17,1092.19,1097.41,1075.84,1077.24,186793.0,-39730.0
64,2006-10-18,1077.24,1087.55,1072.56,1087.55,104522.0,-12103.0
65,2006-10-19,1087.55,1106.46,1087.55,1103.39,188755.0,61285.0
66,2006-10-20,1106.75,1117.41,1103.84,1117.01,307252.0,198632.0
67,2006-10-23,1117.01,1135.73,1108.08,1123.17,396725.0,101395.0
68,2006-10-25,1135.84,1171.66,1135.84,1171.66,484248.0,166140.0
69,2006-10-26,1172.92,1183.49,1152.66,1165.54,245768.0,331494.0
70,2006-10-27,1186.7,1196.64,1178.36,1196.64,560114.0,281989.0
71,2006-10-30,1196.64,1201.6,1179.0,1179.46,242048.0,101976.0
72,2006-10-31,1179.46,1190.23,1174.55,1188.64,149271.0,84303.0
73,2006-09-01,1017.94,1028.09,1007.45,1023.57,577849.0,91236.0
74,2006-09-04,1027.78,1063.79,1027.78,1063.79,308684.0,139631.0
75,2006-09-05,1065.39,1065.39,1048.27,1061.59,222000.0,124467.0
76,2006-09-06,1061.81,1064.88,1049.56,1063.78,197659.0,85890.0
77,2006-09-07,1063.78,1063.78,1044.25,1044.72,278608.0,107735.0
78,2006-09-08,1039.08,1049.57,1032.31,1032.31,214337.0,53156.0
79,2006-09-11,1030.91,1060.15,1029.73,1057.31,212070.0,154691.0
80,2006-09-12,1055.91,1058.75,1044.06,1049.49,121931.0,8980.0
81,2006-09-13,1050.89,1060.95,1045.25,1049.5,152136.0,6108.0
82,2006-09-14,1060.7,1062.82,1048.37,1048.97,109519.0,-14040.0
83,2006-09-15,1062.39,1063.8,1049.2,1063.4,65286.0,-15942.0
84,2006-09-18,1063.4,1077.7,1061.88,1077.7,113662.0,58528.0
85,2006-09-19,1101.07,1121.84,1101.07,1111.26,270838.0,320354.0
86,2006-09-20,1096.31,1118.6,1066.65,1104.59,137300.0,190463.0
87,2006-09-21,1117.02,1132.46,1108.34,1132.46,241746.0,109617.0
88,2006-09-22,1132.69,1132.69,1103.69,1115.67,128729.0,40112.0
89,2006-09-25,1105.09,1119.82,1103.69,1107.84,81298.0,21799.0
90,2006-09-26,1107.84,1109.35,1095.11,1095.11,67131.0,2336.0
91,2006-09-27,1098.86,1114.79,1090.47,1091.88,254048.0,-103230.0
92,2007-04-02,1444.8,1484.61,1444.8,1480.85,598846.0,166374.0
93,2007-04-03,1485.69,1507.95,1485.69,1495.54,1311160.0,316803.0
94,2007-04-04,1523.4,1552.28,1521.63,1545.94,1617338.0,589177.0
95,2007-04-10,1550.12,1568.99,1545.9,1562.27,760716.0,164553.0
96,2007-04-11,1550.58,1557.09,1530.43,1547.97,838456.0,52201.0
97,2007-04-12,1549.14,1549.14,1503.98,1514.0,650558.0,-29801.0
98,2007-04-13,1523.95,1546.97,1515.27,1515.27,531088.0,2313.0
99,2007-04-16,1515.27,1551.09,1502.42,1551.09,807322.0,-98447.0
100,2007-04-17,1552.09,1582.77,1552.09,1556.71,1425620.0,38696.0
101,2007-04-18,1556.37,1556.95,1530.62,1530.62,648644.0,-33989.0
102,2007-04-19,1534.88,1534.88,1472.46,1481.07,982147.0,-139220.0
103,2007-04-20,1476.89,1505.0,1476.89,1480.22,293158.0,-38398.0
104,2007-04-23,1485.06,1521.83,1485.06,1519.99,837720.0,143648.0
105,2007-04-24,1507.7,1512.72,1495.97,1502.75,728487.0,26255.0
106,2007-04-25,1495.96,1520.79,1488.37,1520.79,763419.0,33372.0
107,2007-04-26,1520.79,1542.21,1516.98,1538.34,724620.0,110381.0
108,2007-04-27,1538.34,1538.34,1515.11,1527.68,791498.0,143084.0
109,2007-04-30,1527.68,1527.68,1472.09,1472.09,515034.0,-58471.0
110,2007-08-01,1674.75,1689.04,1663.51,1674.69,1860440.0,49518.0
111,2007-08-02,1683.53,1696.75,1604.71,1615.44,1776306.0,-85720.0
112,2007-08-03,1639.04,1639.77,1548.04,1579.31,2009563.0,-76862.0
113,2007-08-06,1508.14,1508.14,1462.94,1480.39,1581515.0,-159689.0
114,2007-08-07,1492.01,1564.21,1492.01,1546.02,932286.0,-100675.0
115,2007-08-08,1551.25,1583.67,1551.25,1566.21,1096360.0,67513.0
116,2007-08-09,1594.06,1612.58,1562.58,1562.58,997589.0,-108460.0
117,2007-08-10,1515.5,1516.1,1459.88,1508.79,1091165.0,17669.0
118,2007-08-13,1504.25,1520.31,1495.14,1500.33,1023100.0,-42903.0
119,2007-08-14,1513.48,1520.83,1485.33,1488.54,655151.0,1881.0
120,2007-08-15,1447.15,1447.15,1409.09,1427.32,771821.0,-110049.0
121,2007-08-16,1416.84,1416.84,1331.68,1350.63,1101916.0,-25111.0
122,2007-08-17,1360.58,1372.02,1294.67,1310.93,4171436.0,42342.0
123,2007-08-21,1379.91,1447.31,1379.91,1429.2,1157896.0,-59545.0
124,2007-08-22,1409.64,1418.32,1382.73,1400.38,889896.0,-37141.0
125,2007-08-23,1459.01,1493.77,1459.01,1471.24,661880.0,77291.0
126,2007-08-24,1471.24,1473.37,1445.97,1464.18,564243.0,1208.0
127,2007-08-28,1467.77,1486.77,1451.29,1476.77,647367.0,-12437.0
128,2007-08-29,1424.6,1453.03,1400.64,1436.46,963406.0,30501.0
129,2007-08-30,1477.82,1510.15,1474.22,1509.84,809050.0,-11539.0
130,2007-08-31,1499.79,1538.62,1497.18,1538.62,700213.0,76646.0
131,2007-12-03,1578.04,1605.84,1578.04,1600.58,1316048.0,-134910.0
132,2007-12-04,1603.76,1615.25,1593.82,1615.25,1126381.0,-53526.0
133,2007-12-05,1619.52,1639.02,1596.33,1637.81,1166508.0,-241858.0
134,2007-12-06,1656.51,1683.49,1647.29,1656.72,1271886.0,-236785.0
135,2007-12-07,1681.79,1701.66,1644.71,1667.8,873920.0,75897.0
136,2007-12-10,1668.53,1668.53,1622.06,1632.54,632081.0,-152277.0
137,2007-12-11,1632.8,1642.74,1613.49,1613.49,1099263.0,-314754.0
138,2007-12-12,1574.47,1574.73,1555.5,1556.38,1240223.0,-878162.0
139,2007-12-13,1553.67,1569.51,1552.92,1564.47,1346484.0,-337114.0
140,2007-12-14,1543.32,1543.32,1492.64,1492.64,1147867.0,-540936.0
141,2007-12-17,1487.64,1487.64,1439.51,1457.45,667615.0,-383877.0
142,2007-12-18,1417.2,1468.59,1414.1,1468.59,719195.0,-292620.0
143,2007-12-19,1483.26,1498.4,1447.78,1447.78,628290.0,-175631.0
144,2007-12-20,1451.01,1470.62,1447.56,1467.35,361456.0,-66067.0
145,2007-12-26,1503.71,1530.73,1503.71,1522.82,314984.0,4694.0
146,2007-12-27,1524.4,1531.53,1510.41,1531.53,444295.0,193570.0
147,2007-12-28,1520.2,1520.2,1470.57,1470.57,903595.0,327137.0
148,2007-02-01,1417.45,1442.65,1395.96,1437.21,725521.0,100089.0
149,2007-02-02,1458.17,1479.01,1434.45,1446.17,869717.0,-23430.0
150,2007-02-05,1442.13,1451.89,1435.11,1447.05,387158.0,8590.0
151,2007-02-06,1451.86,1481.52,1438.1,1448.17,6017279.0,-9897.0
152,2007-02-07,1447.44,1448.2,1416.11,1416.11,1160227.0,-8175.0
153,2007-02-08,1416.11,1416.77,1382.51,1387.58,1337533.0,-112871.0
154,2007-02-09,1372.79,1400.14,1372.44,1398.72,1890973.0,137475.0
155,2007-02-12,1398.72,1402.87,1380.51,1388.14,943641.0,-144868.0
156,2007-02-13,1400.18,1400.18,1373.19,1390.88,1039566.0,-169902.0
157,2007-02-14,1399.57,1434.28,1399.57,1434.28,1109452.0,-16432.0
158,2007-02-15,1476.76,1495.07,1469.73,1495.07,1343012.0,78674.0
159,2007-02-19,1483.86,1490.33,1469.1,1474.55,730725.0,12776.0
160,2007-02-20,1489.77,1506.41,1478.28,1506.39,958139.0,90619.0
161,2007-02-21,1515.88,1525.86,1498.26,1504.59,1229528.0,-62973.0
162,2007-02-22,1494.21,1525.23,1493.48,1520.87,908772.0,117245.0
163,2007-02-23,1531.04,1541.19,1511.72,1521.86,1015588.0,-96590.0
164,2007-02-26,1524.19,1544.43,1517.8,1526.97,1080479.0,-95620.0
165,2007-02-27,1532.07,1536.76,1488.47,1490.53,775849.0,-136080.0
166,2007-02-28,1438.88,1438.88,1282.48,1360.79,5653259.0,-245710.0
167,2007-01-02,1265.16,1276.84,1265.16,1269.48,159431.0,54012.0
168,2007-01-03,1268.71,1296.46,1267.88,1290.14,275181.0,-6113.0
169,2007-01-04,1297.11,1321.7,1285.05,1321.7,434932.0,189093.0
170,2007-01-05,1322.09,1325.3,1306.74,1313.74,2178310.0,1303530.0
171,2007-01-08,1314.42,1315.61,1285.33,1296.72,1071887.0,-12023.0
172,2007-01-09,1297.47,1319.17,1297.47,1318.4,572212.0,49191.0
173,2007-01-10,1324.42,1325.81,1284.25,1304.91,708163.0,102775.0
174,2007-01-11,1305.3,1305.3,1279.12,1291.07,531607.0,21408.0
175,2007-01-12,1293.56,1304.43,1289.29,1304.43,1048500.0,145483.0
176,2007-01-15,1304.82,1309.9,1290.02,1290.9,570602.0,-2070.0
177,2007-01-16,1309.28,1348.37,1309.28,1347.97,652712.0,126816.0
178,2007-01-17,1343.36,1343.73,1314.55,1327.41,1137707.0,226735.0
179,2007-01-18,1327.41,1334.52,1308.83,1323.53,662450.0,12135.0
180,2007-01-19,1320.91,1331.5,1307.05,1308.46,663034.0,169819.0
181,2007-01-22,1308.83,1340.03,1308.11,1340.03,355666.0,23264.0
182,2007-01-23,1355.44,1362.79,1342.36,1352.2,481726.0,18569.0
183,2007-01-24,1346.22,1408.04,1342.79,1380.66,1453263.0,104378.0
184,2007-01-25,1395.94,1412.05,1383.59,1383.94,709482.0,80210.0
185,2007-01-26,1378.76,1378.76,1328.88,1337.63,620355.0,-34663.0
186,2007-01-30,1352.54,1375.39,1352.54,1360.97,459071.0,126660.0
187,2007-01-31,1371.07,1416.14,1364.02,1416.14,640161.0,111287.0
188,2007-07-02,1778.77,1802.68,1778.6,1793.35,1016734.0,-65335.0
189,2007-07-03,1810.57,1855.39,1810.57,1848.0,1303085.0,-73630.0
190,2007-07-04,1857.77,1861.24,1835.41,1835.41,1100404.0,76394.0
191,2007-07-05,1836.02,1895.73,1836.02,1895.73,1598904.0,25764.0
192,2007-07-06,1895.73,1906.46,1840.34,1840.34,1153384.0,-102137.0
193,2007-07-09,1851.58,1861.31,1833.89,1833.89,864256.0,-9454.0
194,2007-07-10,1820.74,1842.61,1812.38,1813.05,1061033.0,-211031.0
195,2007-07-11,1802.05,1821.96,1787.98,1812.57,1052508.0,-207313.0
