^FINANCIAL,08/04/2006,722.45,724.65,721.69,722.57,7414,4564
ASIA,08/04/2006,5.8,5.8,5.8,5.8,10000,0
BDO,08/04/2006,31.5,31.5,31,31.5,190100,-2605050
BPI,08/04/2006,53.5,53.5,53,53,337900,3611950
CHIB,08/04/2006,885,890,885,890,4180,-1842300
CSB,08/04/2006,20.5,20.5,20.5,20.5,600,0
EIB,08/04/2006,0.4,0.4,0.39,0.39,2250000,0
EPCI,08/04/2006,84,84,82,82,198000,1353800
IBNK,08/04/2006,40,40,40,40,1000,0
MBT,08/04/2006,38,38,37.5,38,568500,17053750
PBC,08/04/2006,55,55,55,55,500,0
PNB,08/04/2006,35,35,35,35,11500,0
PSB,08/04/2006,41,42,41,42,1100,0
RCB,08/04/2006,18,18,17.75,17.75,27000,0
SECB,08/04/2006,47,49,47,48.5,353700,-13991050
UBP,08/04/2006,44.5,44.5,44.5,44.5,1300,0
BKD,08/04/2006,0.7,0.7,0.7,0.7,50000,0
COL,08/04/2006,1.84,1.84,1.82,1.82,318000,0
FFI,08/04/2006,3.9,3.9,3.9,3.9,6000,0
FMIC,08/04/2006,30.5,30.5,29,29,25100,2900
MFC,08/04/2006,1580,1590,1580,1590,200,0
PCIL,08/04/2006,1,1,1,1,430000,300000
PSE,08/04/2006,213,213,213,213,5000,0
SLF,08/04/2006,1950,1950,1940,1940,850,0
V,08/04/2006,1.32,1.38,1.32,1.36,2624000,680000
^INDUSTRIAL,08/04/2006,3107.12,3135.15,3107.12,3130.25,83976,-34021
FGEN,08/04/2006,42.5,42.5,42,42.5,564700,-16734900
FPH,08/04/2006,43.5,44.5,43.5,44,734700,5387650
MER,08/04/2006,15.75,16,15.75,15.75,111100,0
MERB,08/04/2006,24.75,25.5,24.75,25,1625800,-750250
MWC,08/04/2006,8.4,8.5,8.4,8.5,7299000,-3960300
PCOR,08/04/2006,4.25,4.4,4.25,4.35,4679000,-5858350
PWR,08/04/2006,0.26,0.26,0.26,0.26,200000,0
TA,08/04/2006,0.93,0.93,0.93,0.93,110000,0
AMC,08/04/2006,3,3,3,3,4000,0
CAC,08/04/2006,2.7,2.7,2.6,2.6,20000,0
GSMI,08/04/2006,22.75,23,22.75,23,22000,-476100
JFC,08/04/2006,32.5,33,32.5,33,388600,1185200
ROX,08/04/2006,3.65,3.65,3.65,3.65,688000,0
SMC,08/04/2006,65,65.5,65,65.5,109600,0
SMCB,08/04/2006,71.5,72,71.5,72,129400,-4570300
URC,08/04/2006,18.75,19.25,18.75,19,1965800,-5917625
VITA,08/04/2006,0.21,0.21,0.21,0.21,1000000,0
CMT,08/04/2006,0.28,0.29,0.28,0.28,1530000,0
EEI,08/04/2006,1.62,1.62,1.6,1.6,2601000,960000
HLCM,08/04/2006,5,5,4.95,4.95,1157000,-3680000
RCM,08/04/2006,1.3,1.3,1.3,1.3,17000,0
MVC,08/04/2006,0.66,0.66,0.66,0.66,50000,0
AAI,08/04/2006,1.8,1.8,1.8,1.8,90000,0
GEI,08/04/2006,0.32,0.33,0.31,0.33,53880000,393600
PCP,08/04/2006,0.07,0.075,0.07,0.075,5000000,0
^HOLDING,08/04/2006,1172.32,1172.87,1157.5,1159.18,167318,-7411
ABA,08/04/2006,0.008,0.008,0.008,0.008,48000000,0
ABAB,08/04/2006,0.0085,0.0085,0.0085,0.0085,10000000,0
AC,08/04/2006,420,420,417.5,417.5,54650,-6155275
ACR,08/04/2006,0.53,0.55,0.53,0.55,250000,0
AEV,08/04/2006,5.1,5.1,5.1,5.1,35000,0
AJO,08/04/2006,0.027,0.027,0.026,0.026,6100000,0
ANS,08/04/2006,1.82,1.82,1.8,1.8,1166000,0
APC,08/04/2006,0.225,0.235,0.225,0.23,1260000,-161000
APO,08/04/2006,0.93,0.94,0.92,0.93,1290000,-371000
B,08/04/2006,2.9,2.9,2.85,2.85,180000,28500
BAL,08/04/2006,1,1,1,1,50000,0
BCI,08/04/2006,10.5,10.5,10.5,10.5,23300,4200
BPC,08/04/2006,1.1,1.14,1.1,1.1,5680000,-105600
DMC,08/04/2006,4.25,4.25,4.25,4.25,758000,127500
FDC,08/04/2006,2.7,2.75,2.7,2.7,103000,-271000
JGS,08/04/2006,6,6,5.9,6,480000,-1170500
MED,08/04/2006,0.205,0.205,0.205,0.205,570000,0
PA,08/04/2006,0.011,0.011,0.011,0.011,14000000,0
POPI,08/04/2006,0.19,0.2,0.185,0.19,2420000,0
SGI,08/04/2006,0.52,0.54,0.52,0.54,250000,132000
SINO,08/04/2006,0.13,0.13,0.125,0.125,12800000,-1250000
SM,08/04/2006,223,223,217,217,88280,1853630
SOC,08/04/2006,0.9,0.9,0.9,0.9,210000,0
