^FINANCIAL,12/28/2006,825.17,825.92,819.15,822.3,9958,2937
ASIA,12/28/2006,7.4,7.4,7.4,7.4,14000,0
BDO,12/28/2006,46.5,47,46,46.5,857700,4245450
BPI,12/28/2006,62.5,63,62.5,62.5,825900,5003350
CHIB,12/28/2006,685,700,685,690,6370,37300
CSB,12/28/2006,19,19,19,19,300,0
EIB,12/28/2006,0.48,0.48,0.48,0.48,510000,4800
EPCI,12/28/2006,84.5,84.5,83,83,15600,0
MBT,12/28/2006,51.5,51.5,51,51.5,1061800,-4788800
PNB,12/28/2006,43.5,44,43.5,44,8000,0
PSB,12/28/2006,48,48,48,48,2000,0
RCB,12/28/2006,25,25,24,24,284900,72000
SECB,12/28/2006,66,66,65.5,66,78000,-1861150
UBP,12/28/2006,49,49,49,49,202500,0
BKD,12/28/2006,0.7,0.7,0.7,0.7,100000,0
COL,12/28/2006,5.4,5.4,5.4,5.4,156000,540000
FAF,12/28/2006,0.67,0.75,0.67,0.74,440000,0
FMIC,12/28/2006,30,30.5,30,30.5,2200,0
MFC,12/28/2006,1640,1680,1640,1680,200,16800
PSE,12/28/2006,277.5,277.5,277.5,277.5,500,0
SLF,12/28/2006,2040,2040,2040,2040,260,0
V,12/28/2006,1.64,1.68,1.64,1.66,4166000,-332000
^INDUSTRIAL,12/28/2006,3880.27,3923.08,3874.82,3923.08,119711,49769
EDC,12/28/2006,4.6,4.9,4.6,4.8,74590000,28597450
FGEN,12/28/2006,55.5,56,55.5,55.5,468800,-7722450
FPH,12/28/2006,63.5,63.5,63,63.5,432900,7752100
MER,12/28/2006,54,54.5,54,54.5,194400,0
MERB,12/28/2006,54.5,55.5,54.5,55.5,913400,5053150
MWC,12/28/2006,9.5,9.6,9.5,9.5,2285000,-14694000
PCOR,12/28/2006,4.05,4.1,4.05,4.1,4448000,10930600
PWR,12/28/2006,0.29,0.29,0.29,0.29,400000,0
TA,12/28/2006,1.12,1.14,1.12,1.14,371000,0
AMC,12/28/2006,3.6,3.7,3.6,3.7,136000,281100
GSMI,12/28/2006,20,20.25,20,20,68800,0
JFC,12/28/2006,41.5,42.5,41.5,42,747300,23185000
ROX,12/28/2006,2.7,2.7,2.7,2.7,92000,0
SFI,12/28/2006,0.33,0.33,0.33,0.33,80000,0
SMC,12/28/2006,66.5,66.5,66,66.5,43100,0
SMCB,12/28/2006,74,75,74,75,160500,1087350
TUNA,12/28/2006,2.14,2.14,2.06,2.1,829000,0
URC,12/28/2006,18.75,19.25,18.5,19.25,1892600,-2431750
CMT,12/28/2006,0.96,1.02,0.96,1,11020000,-257000
