^FINANCIAL,11/16/2006,818.52,825.37,816.21,825.37,20461,191992
ASIA,11/16/2006,7.1,7.1,7,7,132000,0
BDO,11/16/2006,45,45,44,44.5,840900,-21850100
BPI,11/16/2006,63,64,62.5,64,3803000,40556600
CHIB,11/16/2006,680,680,680,680,10670,0
CSB,11/16/2006,20.5,20.5,20.5,20.5,400,0
EIB,11/16/2006,0.47,0.47,0.45,0.46,2660000,-138000
EPCI,11/16/2006,80.5,80.5,79.5,79.5,11800,0
MBT,11/16/2006,51.5,52,51.5,52,5380200,159252950
PNB,11/16/2006,41.5,41.5,41,41,156200,0
PSB,11/16/2006,47,47,47,47,400,0
RCB,11/16/2006,22.5,23.5,22.5,23.5,285100,2275000
SECB,11/16/2006,63,63,62.5,63,459700,10715000
UBP,11/16/2006,47.5,48,47.5,48,11900,-160600
BKD,11/16/2006,0.8,0.8,0.78,0.78,430000,0
COL,11/16/2006,5,5.1,5,5.1,410000,0
FMIC,11/16/2006,30,30,30,30,4000,-21000
MFC,11/16/2006,1650,1680,1650,1680,1830,1362200
PCIL,11/16/2006,1.38,1.38,1.38,1.38,344000,0
PSE,11/16/2006,246,246,246,246,1000,0
SLF,11/16/2006,2130,2130,2130,2130,340,0
V,11/16/2006,1.52,1.54,1.5,1.52,5518000,0
^INDUSTRIAL,11/16/2006,3502.66,3537.28,3495.35,3535.7,117837,14619
FGEN,11/16/2006,55.5,57,55.5,57,359600,2315900
FPH,11/16/2006,54,57,54,57,1050200,9685950
MER,11/16/2006,30,30,29.5,30,295200,0
MERB,11/16/2006,34.5,35,34.5,34.5,349700,4858850
MWC,11/16/2006,9.3,9.5,9.3,9.4,1070000,2234100
PCOR,11/16/2006,4,4.05,3.95,4.05,2563000,-190000
PWR,11/16/2006,0.28,0.3,0.28,0.3,470000,-3000
SPC,11/16/2006,1.84,1.84,1.84,1.84,20000,0
TA,11/16/2006,1.02,1.12,1,1.08,4630000,1347880
AMC,11/16/2006,3.85,3.85,3.8,3.8,72000,154000
GSMI,11/16/2006,21,21,21,21,19000,-294000
JFC,11/16/2006,41.5,42,41.5,42,122100,2667050
PCKH,11/16/2006,6.1,6.1,6.1,6.1,5000,0
RFM,11/16/2006,1.04,1.08,1.04,1.06,1430000,0
ROX,11/16/2006,3.6,3.6,3.55,3.55,496000,0
SFI,11/16/2006,0.32,0.33,0.32,0.33,150000,0
SMC,11/16/2006,64.5,65,64,65,70400,0
SMCB,11/16/2006,73,73.5,73,73,154400,-11199200
TUNA,11/16/2006,2.65,2.7,2.55,2.55,2150000,530000
URC,11/16/2006,18.5,19.5,18.5,19,1116600,-7120350
CMT,11/16/2006,0.65,0.67,0.64,0.64,16570000,0
EEI,11/16/2006,3,3,2.95,2.95,361000,0
HLCM,11/16/2006,6.9,7,6.9,7,3747000,9632000
RCM,11/16/2006,3.4,3.45,3.4,3.4,56000,0
GEI,11/16/2006,0.77,0.79,0.75,0.76,74940000,0
PCP,11/16/2006,0.17,0.175,0.17,0.175,5570000,0
^HOLDING,11/16/2006,1483.23,1498.91,1478.93,1490.34,1041651,43563
ABA,11/16/2006,0.008,0.008,0.008,0.008,95000000,0
AC,11/16/2006,505,510,500,505,498230,29156300
ACR,11/16/2006,0.58,0.61,0.58,0.61,90000,0
AEV,11/16/2006,5.8,5.8,5.7,5.7,1825000,3170000
AJO,11/16/2006,0.0675,0.0675,0.065,0.0675,62800000,33750
ANS,11/16/2006,2.7,2.75,2.7,2.75,825000,0
APC,11/16/2006,0.27,0.32,0.27,0.31,49760000,0
APM,11/16/2006,0.01,0.01,0.0095,0.0095,583000000,3610000
APO,11/16/2006,0.92,0.92,0.91,0.91,2950000,910000
ATN,11/16/2006,1.98,2,1.72,1.72,95000,0
B,11/16/2006,3,3,2.95,3,120000,0
BAL,11/16/2006,1.16,1.16,1.16,1.16,18000,0
BCI,11/16/2006,8.8,8.8,8.7,8.7,27000,0
BPC,11/16/2006,1.68,1.7,1.68,1.7,15943000,1603300
DMC,11/16/2006,5.1,5.1,5,5.1,827000,1377000
FDC,11/16/2006,3.2,3.4,3.15,3.4,5211000,3400000
HI,11/16/2006,1.6,1.64,1.6,1.62,759000,0
JGS,11/16/2006,8.1,8.5,8.1,8.4,2855000,-1735300
MED,11/16/2006,0.23,0.23,0.23,0.23,200000,0
MHC,11/16/2006,0.32,0.32,0.32,0.32,160000,0
MIC,11/16/2006,1.62,1.64,1.56,1.56,1452000,0
PA,11/16/2006,0.019,0.021,0.019,0.021,131500000,0
POPI,11/16/2006,0.195,0.195,0.195,0.195,1160000,0
SGI,11/16/2006,0.73,0.73,0.73,0.73,40000,0
SINO,11/16/2006,0.14,0.155,0.14,0.155,79030000,0
SM,11/16/2006,310,310,305,310,266210,2038375
SOC,11/16/2006,0.92,0.92,0.92,0.92,20000,0
UNI,11/16/2006,0.14,0.145,0.14,0.145,5220000,0
^PROPERTY,11/16/2006,1198.39,1207.37,1184.97,1206.32,410959,124971
ALI,11/16/2006,15,15.25,15,15.25,6576500,28451950
ARA,11/16/2006,0.55,0.55,0.54,0.54,880000,-165000
BEL,11/16/2006,1.12,1.26,1.12,1.26,49757000,12589760
BRN,11/16/2006,1.64,1.76,1.64,1.72,6665000,104400
CEI,11/16/2006,0.41,0.41,0.41,0.41,1160000,0
CHI,11/16/2006,3,3,2.95,3,2314000,781500
CMP,11/16/2006,1.44,1.46,1.44,1.44,95000,0
CYBR,11/16/2006,0.27,0.28,0.27,0.28,5900000,0
EIBR,11/16/2006,0.22,0.22,0.22,0.22,40000,0
ELI,11/16/2006,0.54,0.55,0.53,0.55,19400000,2396800
EPHI,11/16/2006,1.62,1.78,1.62,1.72,3810000,0
EVER,11/16/2006,0.055,0.055,0.055,0.055,1600000,0
FLI,11/16/2006,1.74,1.74,1.72,1.72,15388000,-19586440
HP,11/16/2006,2.26,2.3,2.26,2.3,30000,0
IRC,11/16/2006,0.0075,0.0075,0.0075,0.0075,32000000,0
IRCB,11/16/2006,0.0075,0.0075,0.0075,0.0075,15000000,0
KEP,11/16/2006,1.16,1.24,1.16,1.24,245000,0
