^FINANCIAL,10/05/2006,746.16,752.32,745.82,748.67,17488,23518
ASIA,10/05/2006,5.7,5.8,5.7,5.8,10000,0
BDO,10/05/2006,40,42,40,41,946100,-25255300
BPI,10/05/2006,58,59.5,58,59,1531300,30627000
CHIB,10/05/2006,655,655,640,640,14940,-2380000
CSB,10/05/2006,20.5,20.5,20.5,20.5,400,0
EIB,10/05/2006,0.42,0.42,0.41,0.41,3820000,0
EPCI,10/05/2006,66,66,64,65.5,296400,-8001050
MBT,10/05/2006,40.5,41.5,40.5,41,1287000,32280550
PNB,10/05/2006,34,34,34,34,5500,0
PSB,10/05/2006,43,43,43,43,2000,0
RCB,10/05/2006,18,18.25,18,18,18000,0
SECB,10/05/2006,50,50,50,50,76000,700000
UBP,10/05/2006,45.5,45.5,45,45,2200,-91000
COL,10/05/2006,5.7,6.3,5.4,5.4,6743000,-4361500
FMIC,10/05/2006,30,30.5,30,30.5,15000,0
PCIL,10/05/2006,1.04,1.04,1.02,1.04,95000,0
SLF,10/05/2006,2030,2030,2030,2030,1210,0
V,10/05/2006,1.44,1.44,1.44,1.44,2624000,0
^INDUSTRIAL,10/05/2006,3322.26,3368.64,3322.26,3368.64,88547,15234
FGEN,10/05/2006,50,50,50,50,202400,-3600000
FPH,10/05/2006,50,51,50,51,675400,9072400
MER,10/05/2006,20,21.25,20,21.25,846200,0
MERB,10/05/2006,29.5,30.5,29.5,30.5,719100,6763550
MWC,10/05/2006,9,9,8.9,8.9,3383000,-24713000
PCOR,10/05/2006,4,4.1,4,4.1,4019000,948600
PWR,10/05/2006,0.24,0.24,0.24,0.24,250000,0
TA,10/05/2006,0.99,0.99,0.99,0.99,20000,0
AMC,10/05/2006,3.3,3.4,3.3,3.4,150000,-102300
CAC,10/05/2006,2.4,2.4,2.4,2.4,15000,-36000
GSMI,10/05/2006,22.75,22.75,22.75,22.75,26000,-523250
JFC,10/05/2006,35.5,37,35.5,37,884100,13969800
RFM,10/05/2006,0.88,0.95,0.88,0.95,650000,-28500
ROX,10/05/2006,3.6,3.65,3.6,3.6,674000,-1346750
SMC,10/05/2006,64.5,65.5,64.5,65.5,226600,0
SMCB,10/05/2006,76,77.5,76,77.5,101700,-1217250
TFC,10/05/2006,10.25,10.25,10.25,10.25,9800,0
URC,10/05/2006,20.5,20.5,19.75,20,5782500,19374000
CMT,10/05/2006,0.32,0.33,0.3,0.31,4700000,-244800
EEI,10/05/2006,1.9,1.92,1.9,1.92,1622000,-890300
FCC,10/05/2006,1.5,1.5,1.5,1.5,1000,0
HLCM,10/05/2006,5.5,5.9,5.4,5.7,7416000,-1712600
PNC,10/05/2006,4.8,4.8,4.8,4.8,23000,0
RCM,10/05/2006,1.6,1.66,1.58,1.58,393000,0
COAT,10/05/2006,4.7,5.3,4.7,4.85,4248000,-300650
