^FINANCIAL,09/21/2006,759.4,759.4,751.66,752.29,27119,19224
ASIA,09/21/2006,5.6,5.7,5.6,5.6,16000,0
BDO,09/21/2006,38.5,38.5,38.5,38.5,454400,4600750
BPI,09/21/2006,58.5,58.5,57.5,57.5,3472400,220950
CHIB,09/21/2006,695,695,695,695,300,0
CSB,09/21/2006,20.5,20.5,20.5,20.5,300,0
EIB,09/21/2006,0.43,0.44,0.42,0.43,14550000,43000
EPCI,09/21/2006,75.5,75.5,73.5,74,794300,-11312950
MBT,09/21/2006,41.5,41.5,40.5,41,1858700,19312700
PNB,09/21/2006,34,34,34,34,18300,0
PSB,09/21/2006,41,43,41,43,32000,0
RCB,09/21/2006,17.25,17.5,17.25,17.25,18000,0
UBP,09/21/2006,44.5,44.5,44,44,1400,40050
COL,09/21/2006,3.3,3.4,3.15,3.2,3100000,0
FAF,09/21/2006,0.49,0.49,0.49,0.49,80000,39200
FMIC,09/21/2006,30,30.5,30,30.5,10100,0
MFC,09/21/2006,1590,1600,1590,1600,4680,6280450
V,09/21/2006,1.38,1.38,1.36,1.36,2709000,0
^INDUSTRIAL,09/21/2006,3227.23,3250.84,3224.54,3250.84,75248,21195
FGEN,09/21/2006,50,50,49.5,49.5,693000,6442850
FPH,09/21/2006,49,49,48.5,49,1106700,37348400
MER,09/21/2006,19,19,19,19,179200,0
MERB,09/21/2006,30,30,29,30,375100,5014450
MWC,09/21/2006,9.2,9.2,8.8,9,9087000,-26791200
PCOR,09/21/2006,3.95,4.1,3.95,4.1,4501000,11193050
TA,09/21/2006,0.95,0.95,0.95,0.95,50000,0
AMC,09/21/2006,3.1,3.1,3.1,3.1,30000,0
GSMI,09/21/2006,22.75,23,22.75,22.75,55200,-1228650
JFC,09/21/2006,35,36.5,35,36,825100,11445000
PCKH,09/21/2006,4.7,5,4.7,5,25000,0
RFM,09/21/2006,0.85,0.85,0.84,0.85,300000,8400
ROX,09/21/2006,3.65,3.65,3.65,3.65,606000,0
SFI,09/21/2006,0.22,0.22,0.22,0.22,10000,0
SMC,09/21/2006,64.5,65,64.5,65,47700,0
SMCB,09/21/2006,74,74.5,74,74.5,101900,-4323700
URC,09/21/2006,18.25,18.25,18,18.25,6609300,-30528600
CMT,09/21/2006,0.3,0.3,0.29,0.29,720000,0
EEI,09/21/2006,1.74,1.76,1.74,1.76,1205000,-1760000
HLCM,09/21/2006,5.1,5.1,5.1,5.1,3505000,14376900
PNC,09/21/2006,6,6,6,6,10000,0
COAT,09/21/2006,4,4.7,4,4.15,1306000,0
GEI,09/21/2006,0.5,0.51,0.49,0.49,18880000,0
PCP,09/21/2006,0.165,0.17,0.16,0.165,25020000,-1500
^HOLDING,09/21/2006,1249.44,1256.32,1243.5,1249.02,166212,182512
AAA,09/21/2006,0.35,0.35,0.35,0.35,20000,0
ABAB,09/21/2006,0.008,0.008,0.008,0.008,4000000,0
AC,09/21/2006,460,467.5,457.5,460,1012590,33249150
AEV,09/21/2006,5.1,5.3,5.1,5.2,26340000,131060000
AGI,09/21/2006,10.25,10.25,10.25,10.25,100,0
AJO,09/21/2006,0.028,0.029,0.028,0.029,15100000,0
ANS,09/21/2006,1.96,1.96,1.96,1.96,246000,0
APC,09/21/2006,0.24,0.245,0.24,0.24,2600000,0
APM,09/21/2006,0.0085,0.0085,0.008,0.008,39000000,0
APO,09/21/2006,0.94,0.94,0.92,0.93,1400000,185000
B,09/21/2006,3.5,3.6,3.3,3.35,310000,0
BAL,09/21/2006,1.22,1.22,1.22,1.22,20000,0
BCI,09/21/2006,8.3,8.3,8.3,8.3,61000,0
BPC,09/21/2006,1.3,1.3,1.28,1.3,6291000,-32500
DMC,09/21/2006,3.8,3.8,3.8,3.8,257000,0
FDC,09/21/2006,3.3,3.3,3.2,3.2,518000,-577000
JGS,09/21/2006,6.5,6.5,6.2,6.3,1138000,-578000
MIC,09/21/2006,1.38,1.42,1.34,1.34,3698000,0
PA,09/21/2006,0.012,0.013,0.011,0.011,47000000,0
POPI,09/21/2006,0.175,0.175,0.175,0.175,100000,0
PRIM,09/21/2006,0.81,0.81,0.81,0.81,30000,0
SGI,09/21/2006,0.6,0.6,0.6,0.6,560000,0
SINO,09/21/2006,0.13,0.135,0.13,0.13,1940000,0
SM,09/21/2006,235,237,234,237,1435120,19206000
SOC,09/21/2006,0.94,0.94,0.91,0.91,200000,0
SPM,09/21/2006,1.14,1.2,1.14,1.16,36000,0
UNI,09/21/2006,0.115,0.125,0.115,0.12,12900000,0
^PROPERTY,09/21/2006,1117.02,1132.46,1108.34,1132.46,241746,109617
ALI,09/21/2006,15,15.25,14.75,15.25,6777500,65506925
BEL,09/21/2006,1.04,1.08,1.04,1.04,32571000,-4177380
BRN,09/21/2006,0.81,0.86,0.81,0.85,380000,0
CEI,09/21/2006,0.32,0.32,0.32,0.32,4200000,0
CHI,09/21/2006,2.7,2.7,2.7,2.7,209000,0
CPV,09/21/2006,1.22,1.22,1.2,1.2,169000,0
CPVB,09/21/2006,1.22,1.22,1.22,1.22,50000,0
CYBR,09/21/2006,0.27,0.27,0.26,0.26,3430000,0
EIBR,09/21/2006,0.185,0.19,0.185,0.19,390000,0
ELI,09/21/2006,0.51,0.52,0.51,0.51,12130000,104000
EPHI,09/21/2006,0.87,0.87,0.87,0.87,310000,0
EVER,09/21/2006,0.06,0.0625,0.06,0.0625,300000,0
FLI,09/21/2006,1.46,1.52,1.46,1.52,53757000,10852120
IRC,09/21/2006,0.006,0.006,0.006,0.006,72000000,0
IRCB,09/21/2006,0.0065,0.0065,0.0065,0.0065,15000000,0
KPP,09/21/2006,0.26,0.27,0.26,0.27,1840000,0
LND,09/21/2006,0.54,0.54,0.51,0.51,540000,0
MEG,09/21/2006,1.9,1.94,1.9,1.92,27292000,17790920
MPC,09/21/2006,3.7,3.7,3.55,3.55,610000,-591750
MRC,09/21/2006,0.3,0.31,0.26,0.3,340000,0
PHES,09/21/2006,0.16,0.185,0.16,0.185,210000,0
RLC,09/21/2006,13,13,12.75,13,2499500,19085025
RLT,09/21/2006,0.41,0.41,0.41,0.41,4090000,0
SMDC,09/21/2006,1.82,1.82,1.82,1.82,50000,91000
SMPH,09/21/2006,8.4,8.4,8.3,8.4,2041000,956800
SUN,09/21/2006,0.6,0.6,0.59,0.59,560000,0
^SERVICE,09/21/2006,1267.36,1311.28,1266.33,1309.3,162482,278879
MB,09/21/2006,1,1,1,1,70000,0
DGTL,09/21/2006,1.26,1.3,1.26,1.3,1251000,-256000
GLO,09/21/2006,1060,1085,1060,1085,18980,11593650
PLTL,09/21/2006,4.65,4.7,4.6,4.65,5249000,-2322500
TEL,09/21/2006,2210,2290,2210,2285,438170,272088800
BHI,09/21/2006,0.185,0.185,0.185,0.185,1300000,0
IMP,09/21/2006,0.017,0.017,0.017,0.017,17000000,0
ION,09/21/2006,2.02,2.02,1.96,1.96,140000,0
IS,09/21/2006,0.047,0.047,0.047,0.047,3000000,0
ISM,09/21/2006,0.0525,0.0525,0.0525,0.0525,2000000,0
MUSX,09/21/2006,1.14,1.14,1.14,1.14,105000,0
WEB,09/21/2006,0.029,0.03,0.028,0.029,125400000,52100
ATI,09/21/2006,3.6,3.65,3.6,3.65,670000,1080000
ICT,09/21/2006,16.25,16.5,16,16.25,279700,-1611100
KPM,09/21/2006,0.95,0.95,0.95,0.95,20000,0
LR,09/21/2006,1.98,2,1.98,2,759000,0
PEP,09/21/2006,0.33,0.33,0.32,0.32,1100000,0
PRC,09/21/2006,2.8,2.8,2.8,2.8,5000,0
WPI,09/21/2006,0.45,0.45,0.44,0.44,1070000,-360800
MAC,09/21/2006,2.04,2.12,1.96,1.98,2411000,39600
PAX,09/21/2006,10.25,10.25,10,10,195500,-1424750
^MINING-OIL,09/21/2006,4182.05,4296.88,4182.05,4215.64,1590100,-7698
APX,09/21/2006,6,6.6,5.9,6.5,17718000,0
APXB,09/21/2006,6,6.7,5.9,6.6,12120000,-9379500
AR,09/21/2006,0.011,0.012,0.011,0.012,227100000,0
AT,09/21/2006,8.3,8.3,8.2,8.2,925000,41000
BC,09/21/2006,10,10,10,10,18000,0
LC,09/21/2006,0.23,0.235,0.23,0.23,21710000,0
LCB,09/21/2006,0.26,0.26,0.26,0.26,11090000,-1092000
MA,09/21/2006,0.022,0.023,0.022,0.022,520500000,0
MAB,09/21/2006,0.025,0.026,0.025,0.026,340000000,0
OM,09/21/2006,0.0095,0.01,0.0095,0.01,402000000,0
PX,09/21/2006,3.7,3.85,3.7,3.75,7935000,-352500
SCC,09/21/2006,20.5,20.5,20,20.25,324500,3084500
UPM,09/21/2006,0.46,0.46,0.46,0.46,200000,0
BSC,09/21/2006,0.27,0.27,0.27,0.27,1350000,0
OPM,09/21/2006,0.01,0.01,0.01,0.01,16200000,0
OPMB,09/21/2006,0.011,0.011,0.011,0.011,10000000,0
OV,09/21/2006,1.02,1.02,1.02,1.02,468000,0
OVB,09/21/2006,1.02,1.02,1.02,1.02,389000,0
PERC,09/21/2006,9.6,9.6,9.6,9.6,53000,0
ACPR,09/21/2006,104,104,104,104,55900,0
TELU,09/21/2006,10.5,10.5,10.5,10.5,200,0
TELW,09/21/2006,10.5,10.5,10.5,10.5,100,0
ABSP,09/21/2006,17,17,16.75,16.75,152700,-1677250
^ALLSHARES,09/21/2006,1540.78,1552.12,1540.78,1551.97,0,0
^PSEi,09/21/2006,2519.93,2557.21,2519.93,2557.21,2262909,602057
