^FINANCIAL,04/17/2006,701.68,705.99,699.97,703.47,28520,-20174
ASIA,04/17/2006,3.9,3.9,3.9,3.9,6000,0
BDO,04/17/2006,34.5,35,34.5,34.5,318600,0
BPI,04/17/2006,60.5,61,60,61,523800,-18289600
CHIB,04/17/2006,750,760,750,760,530,0
CSB,04/17/2006,19.75,19.75,19.75,19.75,300,0
EIB,04/17/2006,0.55,0.57,0.52,0.52,9310000,-246200
EPCI,04/17/2006,71,71,69.5,71,90300,-836000
IBNK,04/17/2006,32,32,32,32,57100,0
MBT,04/17/2006,38.5,39,38.5,38.5,300800,1925000
PNB,04/17/2006,34,34.5,34,34,3500,0
RCB,04/17/2006,14.75,15,14.5,14.75,76200,0
SECB,04/17/2006,47,47,47,47,63000,-2820000
UBP,04/17/2006,39,39.5,39,39,22200,592300
FMIC,04/17/2006,27.5,28,27.5,28,16000,0
PSE,04/17/2006,185,185,185,185,4510,185000
SLF,04/17/2006,2140,2140,2140,2140,840,-684800
V,04/17/2006,1.2,1.26,1.18,1.22,17727000,0
^INDUSTRIAL,04/17/2006,3047.58,3057.76,3033.34,3057.76,35128,67855
FGEN,04/17/2006,44,45,44,45,118800,-1113200
FPH,04/17/2006,45.5,46,45.5,46,710800,15673850
MER,04/17/2006,13.75,13.75,13.75,13.75,17900,0
MERB,04/17/2006,20.25,20.25,20,20,102200,-80000
MWC,04/17/2006,6.4,6.5,6.3,6.5,970000,2474200
PCOR,04/17/2006,4.4,4.5,4.3,4.45,4041000,2138200
PWR,04/17/2006,0.205,0.205,0.205,0.205,200000,0
TA,04/17/2006,0.99,1,0.99,0.99,440000,0
CBC,04/17/2006,2.22,2.22,2.22,2.22,10000,0
GSMI,04/17/2006,20,20.5,20,20,25100,140000
JFC,04/17/2006,35.5,35.5,35.5,35.5,51800,-1395150
PF,04/17/2006,58,58,58,58,100,0
RFM,04/17/2006,0.75,0.77,0.75,0.76,600000,0
ROX,04/17/2006,2.8,2.8,2.7,2.75,250000,0
SFI,04/17/2006,0.185,0.185,0.185,0.185,220000,0
SMC,04/17/2006,60,60,59,60,230900,0
SMCB,04/17/2006,79.5,79.5,78.5,79,152300,0
TDY,04/17/2006,3.1,3.1,3.1,3.1,5000,0
URC,04/17/2006,18.5,19.25,18.5,19.25,5656200,44150450
VITA,04/17/2006,0.26,0.26,0.26,0.26,80000,0
CMT,04/17/2006,0.33,0.33,0.32,0.33,1030000,0
EEI,04/17/2006,1.5,1.5,1.46,1.48,5085000,1220500
FCC,04/17/2006,0.82,0.82,0.82,0.82,50000,0
HLCM,04/17/2006,4.5,4.55,4.4,4.55,1251000,4646800
MVC,04/17/2006,0.71,0.71,0.7,0.7,220000,0
GEI,04/17/2006,0.0725,0.075,0.07,0.0725,13400000,0
STN,04/17/2006,0.45,0.45,0.4,0.4,210000,0
^HOLDING,04/17/2006,1092.44,1092.89,1082.66,1087.36,372941,-7713
ABA,04/17/2006,0.0075,0.008,0.0075,0.0075,88000000,0
AC,04/17/2006,352.5,352.5,350,350,9290,-1604375
AEV,04/17/2006,5.5,5.5,5.5,5.5,358000,319000
AJO,04/17/2006,0.024,0.024,0.024,0.024,22000000,0
ANS,04/17/2006,2.7,2.7,2.7,2.7,36000,0
APC,04/17/2006,0.215,0.215,0.205,0.21,2600000,-229500
APM,04/17/2006,0.0075,0.008,0.0075,0.008,198000000,0
APO,04/17/2006,0.91,1,0.91,0.96,5940000,-126100
B,04/17/2006,1,1.1,1,1.1,80000,0
BAL,04/17/2006,0.75,0.75,0.75,0.75,90000,0
BCI,04/17/2006,9,9,9,9,10000,0
BPC,04/17/2006,0.99,0.99,0.97,0.99,3230000,0
DMC,04/17/2006,3.6,3.7,3.6,3.65,1390000,1332000
FDC,04/17/2006,2.85,2.9,2.8,2.8,1029000,0
JGS,04/17/2006,5.8,6,5.8,6,834000,2950200
MED,04/17/2006,0.22,0.22,0.21,0.215,670000,0
MHC,04/17/2006,0.14,0.14,0.14,0.14,10000,0
PA,04/17/2006,0.01,0.011,0.01,0.011,36000000,0
POPI,04/17/2006,0.23,0.23,0.225,0.23,1850000,0
REG,04/17/2006,1.52,1.52,1.52,1.52,3000,0
SINO,04/17/2006,0.15,0.155,0.15,0.15,5800000,0
SM,04/17/2006,223,223,219,219,51940,-10323430
SOC,04/17/2006,0.74,0.74,0.74,0.74,100000,0
SPM,04/17/2006,0.43,0.54,0.43,0.53,590000,-31200
UNI,04/17/2006,0.065,0.065,0.06,0.06,3000000,0
WIN,04/17/2006,0.12,0.125,0.12,0.12,1260000,0
^PROPERTY,04/17/2006,921.44,925.32,912.79,923.11,163774,88555
ALI,04/17/2006,11,11.25,11,11.25,8250300,70886475
ARA,04/17/2006,0.33,0.33,0.33,0.33,20000,0
BEL,04/17/2006,1.34,1.36,1.3,1.36,15589000,9114340
BRN,04/17/2006,0.93,0.93,0.93,0.93,10000,0
CEI,04/17/2006,0.28,0.28,0.28,0.28,3280000,464800
CHI,04/17/2006,1.86,1.9,1.86,1.88,1804000,2705760
CMP,04/17/2006,1.7,1.74,1.7,1.72,219000,0
CYBR,04/17/2006,0.205,0.205,0.205,0.205,2050000,-41000
EIBR,04/17/2006,0.24,0.24,0.24,0.24,200000,0
ELI,04/17/2006,0.66,0.68,0.66,0.66,58640000,670000
EVER,04/17/2006,0.025,0.026,0.025,0.026,6100000,0
FLI,04/17/2006,1.44,1.44,1.36,1.36,5598000,142380
GO,04/17/2006,0.085,0.085,0.085,0.085,300000,0
GOB,04/17/2006,0.07,0.085,0.07,0.085,800000,0
HP,04/17/2006,3.1,3.1,3.1,3.1,100000,0
IRC,04/17/2006,0.0055,0.006,0.0055,0.006,25000000,0
KPP,04/17/2006,0.225,0.25,0.225,0.25,5260000,0
LND,04/17/2006,0.55,0.56,0.55,0.56,270000,0
MPC,04/17/2006,0.28,0.28,0.27,0.27,15780000,0
MRC,04/17/2006,0.29,0.29,0.27,0.27,1820000,0
PHES,04/17/2006,0.15,0.165,0.15,0.165,770000,0
RLC,04/17/2006,8.4,8.4,8.4,8.4,478000,3427200
RLT,04/17/2006,0.34,0.36,0.32,0.33,8670000,0
SMDC,04/17/2006,1.56,1.56,1.56,1.56,100000,0
SMPH,04/17/2006,7.8,7.8,7.8,7.8,386000,1185600
UW,04/17/2006,0.125,0.125,0.125,0.125,2280000,0
^SERVICE,04/17/2006,1100.99,1101,1092.89,1099.16,183391,-847
ABS,04/17/2006,12.5,12.5,12.25,12.5,47700,0
DGTL,04/17/2006,0.97,0.97,0.94,0.96,2740000,-67900
GLO,04/17/2006,895,895,865,890,4280,-1138200
PLTL,04/17/2006,3,3,2.95,3,5103000,3850000
TEL,04/17/2006,1980,1980,1975,1980,75440,-10177300
BHI,04/17/2006,0.205,0.205,0.2,0.2,2760000,488000
IMP,04/17/2006,0.012,0.012,0.012,0.012,3000000,0
ION,04/17/2006,1.3,1.3,1.3,1.3,426000,553800
IS,04/17/2006,0.046,0.046,0.046,0.046,1000000,0
ISM,04/17/2006,0.05,0.0525,0.049,0.05,3100000,0
MUSX,04/17/2006,1.12,1.12,1.12,1.12,50000,0
WEB,04/17/2006,0.025,0.025,0.024,0.024,162900000,0
ATI,04/17/2006,2.44,2.44,2.44,2.44,50000,0
ICT,04/17/2006,11.75,11.75,11.75,11.75,215700,735550
LR,04/17/2006,1.8,1.8,1.76,1.76,703000,0
MJC,04/17/2006,3,3,3,3,5000,0
PRC,04/17/2006,3.15,3.2,3.15,3.2,69000,0
WPI,04/17/2006,0.45,0.45,0.45,0.45,100000,0
IPO,04/17/2006,3.2,3.3,3.2,3.2,80000,-66000
MAC,04/17/2006,1.84,1.84,1.8,1.8,311000,0
