^FINANCIAL,01/29/2009,450.31,450.42,441.2,442.53,134752,-7625
BDO,01/29/2009,23.5,23.75,23,23.5,774500,-10532075
BPI,01/29/2009,37.5,37.5,36.5,36.5,1934900,6558800
CHIB,01/29/2009,370,370,370,370,10660,0
EIBB,01/29/2009,0.15,0.15,0.15,0.15,350000,0
MBT,01/29/2009,24.75,24.75,23.5,23.75,1056400,139700
PNB,01/29/2009,14,14,14,14,217000,-938000
PSB,01/29/2009,35,38,35,37,400,0
RCB,01/29/2009,9.8,9.8,9.6,9.6,301000,0
SECB,01/29/2009,23.5,23.75,23.5,23.5,208200,-601750
UBP,01/29/2009,20,20.25,20,20,11000,-220250
FMIC,01/29/2009,31.5,35,31.5,34,3100,0
I,01/29/2009,4.5,4.5,4.5,4.5,2000,0
MED,01/29/2009,0.17,0.17,0.15,0.16,400000,0
MFC,01/29/2009,760,760,760,760,570,0
NRCP,01/29/2009,1.3,1.3,1.28,1.3,2417000,-1664000
PSE,01/29/2009,134,134,130,134,10020,-367870
SLF,01/29/2009,840,840,840,840,120,0
V,01/29/2009,1.12,1.12,1.12,1.12,210000,0
^INDUSTRIAL,01/29/2009,2199.3,2210.19,2170.89,2179.39,251648,17560
AP,01/29/2009,4.05,4.05,4,4,3608000,1600000
EDC,01/29/2009,2.3,2.3,2.22,2.26,12318000,-1980720
FGEN,01/29/2009,13.25,13.25,13,13.25,636300,662500
FPH,01/29/2009,20,20,19.5,19.75,3565200,15806025
MER,01/29/2009,59.5,59.5,59.5,59.5,609400,11900000
MWC,01/29/2009,10.25,10.5,10,10,1320100,-1170550
PCOR,01/29/2009,5.2,5.2,5.1,5.1,1161000,-6100
SPC,01/29/2009,2.5,2.5,2.5,2.5,19000,0
VVT,01/29/2009,4,4,4,4,1000,0
JFC,01/29/2009,41,41,40.5,41,1198300,-9507900
PIP,01/29/2009,0.91,0.99,0.91,0.93,1190000,0
RFM,01/29/2009,0.25,0.25,0.25,0.25,200000,0
SMB,01/29/2009,10.25,10.25,10,10.25,989000,0
SMC,01/29/2009,40,40,40,40,88600,0
SMCB,01/29/2009,41.5,42,41.5,41.5,52200,913000
TDY,01/29/2009,2.2,2.2,2.2,2.2,36000,0
TUNA,01/29/2009,1.58,1.58,1.44,1.48,894000,0
URC,01/29/2009,6.9,7.1,6.9,7,625000,-459600
VITA,01/29/2009,0.165,0.165,0.155,0.155,260000,0
CMT,01/29/2009,0.3,0.3,0.28,0.28,1370000,0
EEI,01/29/2009,0.85,0.86,0.82,0.83,920000,-168000
FED,01/29/2009,6.7,6.7,6.7,6.7,2000,0
HLCM,01/29/2009,2.3,2.3,2,2,97000,-91200
RCM,01/29/2009,0.88,0.88,0.88,0.88,50000,0
T,01/29/2009,2.75,2.8,2.7,2.8,164000,99900
VUL,01/29/2009,0.58,0.58,0.58,0.58,50000,0
COAT,01/29/2009,1.66,1.68,1.66,1.68,55000,-36560
MUSX,01/29/2009,0.105,0.11,0.1,0.11,10360000,0
PMPC,01/29/2009,4.25,4.25,4.2,4.2,13000,0
SPH,01/29/2009,2.75,2.8,2.75,2.8,12000,0
^HOLDING,01/29/2009,918.12,923.58,908.31,911.42,124952,-45773
ABA,01/29/2009,0.6,0.6,0.6,0.6,10000,0
AC,01/29/2009,205,207,201,201,478170,-43371720
AEV,01/29/2009,5.8,5.8,5.7,5.8,320000,-1838600
AGI,01/29/2009,1.7,1.72,1.66,1.66,2666000,0
AJO,01/29/2009,0.04,0.042,0.04,0.042,2400000,0
APM,01/29/2009,0.006,0.006,0.006,0.006,18000000,48000
ATNB,01/29/2009,4.8,5,4.8,5,35000,0
BPC,01/29/2009,1.1,1.12,1.06,1.1,2125000,110000
DMC,01/29/2009,2.7,2.75,2.7,2.75,222000,0
FDC,01/29/2009,1.08,1.08,1.06,1.06,330000,74200
JGS,01/29/2009,2.44,2.5,2.4,2.44,2250000,-419400
LIHC,01/29/2009,2.5,2.6,2.34,2.34,786000,0
MIC,01/29/2009,1.94,1.94,1.84,1.86,132000,0
PA,01/29/2009,0.075,0.075,0.075,0.075,300000,0
PRIM,01/29/2009,0.3,0.3,0.3,0.3,20000,0
SM,01/29/2009,198,201,196,197,51860,-376240
^PROPERTY,01/29/2009,629.77,635.52,609.82,614.27,193426,-31018
ALI,01/29/2009,7,7,6.4,6.5,13422000,-43787100
BEL,01/29/2009,0.56,0.56,0.56,0.56,200000,0
BRN,01/29/2009,3.55,3.6,3.5,3.55,970000,118800
CHI,01/29/2009,1.48,1.48,1.48,1.48,50000,-74000
ELI,01/29/2009,0.26,0.26,0.26,0.26,100000,0
EVER,01/29/2009,0.08,0.08,0.08,0.08,800000,0
FLI,01/29/2009,0.43,0.43,0.41,0.42,39720000,658000
LND,01/29/2009,0.22,0.22,0.215,0.215,930000,-156900
MEG,01/29/2009,0.61,0.62,0.59,0.6,67170000,-7723600
MPI,01/29/2009,2.65,2.65,2.65,2.65,155000,0
PHES,01/29/2009,0.15,0.15,0.15,0.15,23650000,0
RLC,01/29/2009,4.85,4.85,4.75,4.8,801000,240650
RLT,01/29/2009,0.195,0.195,0.195,0.195,10000,0
SMDC,01/29/2009,2.18,2.18,2.16,2.18,35000,0
SMPH,01/29/2009,7.4,7.5,7.4,7.4,3589000,14583400
SUN,01/29/2009,0.22,0.22,0.22,0.22,100000,22000
VLL,01/29/2009,1.02,1.02,0.99,1,10281000,5099950
^SERVICE,01/29/2009,1141.32,1148.09,1138.77,1139.22,208529,12787
ABS,01/29/2009,12.5,12.5,12.5,12.5,14800,0
GMA7,01/29/2009,3.35,3.4,3.35,3.35,309000,0
DGTL,01/29/2009,0.98,1,0.98,1,45000,0
GLO,01/29/2009,815,830,815,825,54570,15153300
PLTL,01/29/2009,6.8,6.8,6.8,6.8,105000,0
TEL,01/29/2009,2100,2110,2095,2095,68140,2752200
BHI,01/29/2009,0.085,0.085,0.085,0.085,5400000,0
IP,01/29/2009,1.14,1.18,1.06,1.08,5856000,-938700
IS,01/29/2009,0.042,0.042,0.041,0.041,2400000,50400
ISM,01/29/2009,0.032,0.034,0.032,0.033,19300000,0
WEB,01/29/2009,0.031,0.031,0.029,0.03,16000000,76500
ATS,01/29/2009,1.44,1.44,1.44,1.44,60000,0
ICT,01/29/2009,12.25,12.25,11.75,11.75,455300,-4154825
MAC,01/29/2009,3.45,3.45,3.35,3.4,129000,-168000
DHC,01/29/2009,9.1,9.1,9.1,9.1,1000,0
LR,01/29/2009,0.73,0.73,0.73,0.73,360000,0
MJC,01/29/2009,3,3,3,3,5000,0
PEP,01/29/2009,0.71,0.71,0.71,0.71,230000,0
WPI,01/29/2009,0.26,0.26,0.25,0.25,11250000,-13000
APC,01/29/2009,0.22,0.22,0.22,0.22,150000,0
LOTO,01/29/2009,8,8,7.9,8,39000,0
PAX,01/29/2009,0.61,0.61,0.59,0.59,1360000,29500
^MINING-OIL,01/29/2009,3371.88,3380.46,3293.29,3329.2,159437,66914
APX,01/29/2009,2.2,2.2,2.1,2.1,409000,0
APXB,01/29/2009,2.16,2.18,2.1,2.12,283000,0
AR,01/29/2009,0.0032,0.0032,0.0032,0.0032,259000000,-560000
AT,01/29/2009,3.4,3.4,3.25,3.25,1017000,-823200
BC,01/29/2009,7,7,7,7,20000,0
DIZ,01/29/2009,1.6,1.6,1.6,1.6,5000,0
GEO,01/29/2009,0.45,0.46,0.42,0.42,7570000,0
LC,01/29/2009,0.07,0.0725,0.07,0.0725,13700000,0
LCB,01/29/2009,0.0775,0.0775,0.0775,0.0775,200000,0
NI,01/29/2009,3.55,3.7,3.45,3.55,512000,-49700
PX,01/29/2009,4.6,4.65,4.45,4.55,32049000,68347300
UPM,01/29/2009,0.0034,0.0034,0.0034,0.0034,5000000,0
OPM,01/29/2009,0.0085,0.0085,0.0085,0.0085,12000000,0
OPMB,01/29/2009,0.009,0.009,0.009,0.009,17000000,0
OV,01/29/2009,0.0095,0.0095,0.0095,0.0095,12000000,0
PERC,01/29/2009,5.1,5.1,5.1,5.1,13000,0
GMAP,01/29/2009,3.25,3.3,3.25,3.25,282000,0
^ALLSHARES,01/29/2009,1221.49,1226.86,1210.93,1213.24,0,0
^PSEi,01/29/2009,1880.64,1890.91,1856.64,1860.69,1072747,12844
