^FINANCIAL,07/01/2009,537.53,538.9,534.31,537.34,218206,69511
BDO,07/01/2009,31.5,31.5,30.5,31,1107700,7724850
BPI,07/01/2009,42,42,41.5,41.5,2165500,36206400
CHIB,07/01/2009,335,340,335,340,3570,0
MBT,07/01/2009,31,32,31,32,2001700,30578650
PNB,07/01/2009,19.75,19.75,19.25,19.75,60900,9750
PSB,07/01/2009,40,40,40,40,5000,0
RCB,07/01/2009,13.5,13.75,13.5,13.5,799500,-5876150
SECB,07/01/2009,41.5,42,41.5,42,12000,0
UBP,07/01/2009,23.75,24,23.75,24,660300,847875
COL,07/01/2009,7.2,7.2,7.2,7.2,3000,0
MED,07/01/2009,0.15,0.15,0.15,0.15,200000,0
NRCP,07/01/2009,1.68,1.68,1.66,1.66,95000,0
PSE,07/01/2009,265,265,265,265,20,0
SLF,07/01/2009,1100,1100,1100,1100,100,0
V,07/01/2009,1.02,1.02,1,1,220000,20000
^INDUSTRIAL,07/01/2009,3404.4,3404.4,3352.35,3390.42,306949,83204
ACR,07/01/2009,0.5,0.5,0.5,0.5,100000,-50000
AP,07/01/2009,5.7,5.8,5.7,5.7,1559000,4718200
EDC,07/01/2009,3.9,3.9,3.85,3.9,27864000,79903250
FGEN,07/01/2009,19.75,20,19.5,19.75,230800,1975
FPH,07/01/2009,29.5,29.5,28.5,29,109800,-29000
MER,07/01/2009,142,143,138,143,598440,-5198050
MWC,07/01/2009,14.5,14.5,14.25,14.5,1051200,6235000
PCOR,07/01/2009,5.4,5.4,5.3,5.4,1561000,-4595400
PNX,07/01/2009,6.6,6.8,6.5,6.8,168000,85800
SPC,07/01/2009,2.95,2.95,2.95,2.95,2000,0
TA,07/01/2009,0.95,0.95,0.95,0.95,350000,0
ANI,07/01/2009,12.5,13,12.5,12.75,32500,0
JFC,07/01/2009,48.5,48.5,48,48,491900,3984350
PIP,07/01/2009,1.36,1.36,1.34,1.34,931000,-534660
RFM,07/01/2009,0.31,0.32,0.31,0.32,2030000,32000
SFI,07/01/2009,0.15,0.16,0.15,0.16,280000,0
SMC,07/01/2009,60,60,60,60,30100,0
SMCB,07/01/2009,62,62,60,60,52900,678700
TUNA,07/01/2009,1.5,1.5,1.42,1.46,6418000,43200
URC,07/01/2009,7,7.2,7,7.1,1469000,-2192000
BCI,07/01/2009,8.4,8.8,8.4,8.7,127000,0
CMT,07/01/2009,0.8,0.82,0.77,0.82,3250000,-392000
EEI,07/01/2009,1.6,1.6,1.56,1.56,339000,321600
HLCM,07/01/2009,3.1,3.1,3.1,3.1,54000,31000
T,07/01/2009,3,3,3,3,8000,0
VUL,07/01/2009,0.64,0.64,0.64,0.64,10000,6400
COAT,07/01/2009,2.24,2.24,2.22,2.24,160000,71280
ION,07/01/2009,1.4,1.4,1.32,1.4,337000,0
MUSX,07/01/2009,0.105,0.105,0.0975,0.1,147740000,168100
PMPC,07/01/2009,6.2,6.2,6.2,6.2,5000,0
SPH,07/01/2009,2.9,2.9,2.85,2.9,389000,-85500
^HOLDING,07/01/2009,1298.14,1305.39,1284.15,1289.49,371070,-9807
AC,07/01/2009,265,270,262.5,265,409030,-10474925
AGI,07/01/2009,2.75,2.75,2.65,2.65,47093000,-6602550
ANS,07/01/2009,2.36,2.36,2.36,2.36,22000,0
APO,07/01/2009,1.12,1.16,1.12,1.16,33000,0
ATN,07/01/2009,4,4.1,3.95,4.1,612000,0
ATNB,07/01/2009,4.4,4.85,4.3,4.85,999000,0
BPC,07/01/2009,1.96,1.98,1.94,1.98,24822000,361840
DMC,07/01/2009,6.5,6.5,6.3,6.3,628000,390400
JGS,07/01/2009,4.2,4.2,4.1,4.1,945000,-1119000
LIHC,07/01/2009,7.6,7.8,7.5,7.6,427000,-75200
MHC,07/01/2009,0.34,0.34,0.34,0.34,20000,0
MIC,07/01/2009,2.9,2.9,2.7,2.8,183000,0
MPI,07/01/2009,5.1,6.1,5.1,6.1,8416000,-427400
PA,07/01/2009,0.065,0.0675,0.065,0.0675,12500000,0
PRIM,07/01/2009,0.34,0.34,0.34,0.34,70000,0
SM,07/01/2009,300,305,300,305,42860,8103350
SOC,07/01/2009,1.54,1.54,1.5,1.5,99000,0
SPM,07/01/2009,1.04,1.04,1.04,1.04,3000,0
WIN,07/01/2009,0.12,0.12,0.12,0.12,50000,0
ZHI,07/01/2009,0.32,0.36,0.32,0.36,10340000,36000
^PROPERTY,07/01/2009,801.61,808.07,800.45,802.92,141611,-8892
