^FINANCIAL,05/26/2010,683.63,699.71,683.63,699.71,309884,33275
ASIA,05/26/2010,5.6,5.6,5.5,5.5,97000,5500
BDO,05/26/2010,41,42.5,41,42,1079600,-5256950
BPI,05/26/2010,42.5,44.5,42.5,44.5,658900,17947850
CHIB,05/26/2010,430,432.5,430,430,4620,1368100
MBT,05/26/2010,52.5,54.5,52.5,54,2893700,48591400
PNB,05/26/2010,28.5,28.5,27.5,27.5,1284800,-19407200
PSB,05/26/2010,50.5,50.5,50.5,50.5,1000,0
RCB,05/26/2010,18,18,17.75,18,166800,-309600
SECB,05/26/2010,59,59,58,58.5,294400,-2241000
UBP,05/26/2010,39.5,40,39.5,39.5,184000,-1778050
BKD,05/26/2010,1.06,1.06,1.06,1.06,4000,0
BLFI,05/26/2010,1.58,1.58,1.54,1.54,1006000,-1540080
COL,05/26/2010,10.25,10.5,10,10.5,664400,0
FAF,05/26/2010,0.55,0.55,0.55,0.55,390000,0
I,05/26/2010,4.6,4.6,4.5,4.5,4000,0
NRCP,05/26/2010,1.5,1.52,1.5,1.52,26000,0
PSE,05/26/2010,270,270,270,270,21280,-4104000
V,05/26/2010,1.42,1.44,1.42,1.44,409000,0
^INDUSTRIAL,05/26/2010,4809.65,4863.13,4809.65,4863.13,785446,-147356
ACR,05/26/2010,0.85,0.86,0.83,0.86,100000,0
AP,05/26/2010,15.5,15.5,15,15.25,7557700,-39798000
EDC,05/26/2010,4.65,4.75,4.65,4.75,67816000,-129497850
FGEN,05/26/2010,10,10.25,10,10.25,2879400,106475
FPH,05/26/2010,53,54,53,54,1164200,11716500
MER,05/26/2010,168,176,168,176,344070,48796250
MWC,05/26/2010,15,15,15,15,1305000,-8548500
PCOR,05/26/2010,6.7,6.8,6.7,6.8,171000,0
PNX,05/26/2010,6.8,6.9,6.8,6.9,66000,-61300
PWR,05/26/2010,0.28,0.28,0.28,0.28,30000,0
SPC,05/26/2010,3.2,3.2,3.2,3.2,8000,0
TA,05/26/2010,1.16,1.2,1.16,1.18,650000,-22040
AMC,05/26/2010,10.25,10.5,10.25,10.25,33100,164000
ANI,05/26/2010,12.75,13,12.75,13,152300,0
GSMI,05/26/2010,31.5,31.5,31.5,31.5,137200,2217600
