^FINANCIAL,02/01/2011,871.89,872.35,852.82,852.82,542040,-204474
BDO,02/01/2011,51,51,49.1,49.6,3624680,-112062089
BPI,02/01/2011,51.6,52,51,51.4,1406640,-15514168
CHIB,02/01/2011,430,430,427,428,2040,0
MBT,02/01/2011,64.9,64.9,62.1,62.65,2318260,-57214547
PNB,02/01/2011,51.8,52,49,49,997500,7006395
PSB,02/01/2011,64,64,64,64,50,0
RCB,02/01/2011,27.55,27.55,26.2,26.2,801200,-7022235
SECB,02/01/2011,85.75,86,80.55,80.55,724470,-16412149
UBP,02/01/2011,59,59,56.05,57.85,97780,-3372398
COL,02/01/2011,13.04,13.06,12.6,13.06,154700,0
FMIC,02/01/2011,36.4,36.4,36.4,36.4,1500,0
I,02/01/2011,3.38,3.38,3.15,3.38,23000,0
MFC,02/01/2011,721,721,721,721,560,0
NRCP,02/01/2011,1.76,1.76,1.76,1.76,80000,0
PSE,02/01/2011,357,357,356,357,4760,0
SLF,02/01/2011,1330,1331,1330,1331,275,266200
V,02/01/2011,1.5,1.5,1.5,1.5,426000,-150000
^INDUSTRIAL,02/01/2011,6788.72,6810.96,6671.17,6690.5,1188799,-180730
AP,02/01/2011,27.9,28,27.25,27.6,7790800,-41008060
ACR,02/01/2011,1.38,1.38,1.35,1.38,915000,0
PWR,02/01/2011,0.32,0.325,0.31,0.31,410000,29250
EDC,02/01/2011,5.8,5.9,5.64,5.7,34675200,15515351
FGEN,02/01/2011,11.5,11.78,11.36,11.54,749700,-3578404
FPH,02/01/2011,62,62.8,60.7,61,1641380,-40357000
MWC,02/01/2011,18.2,18.4,18.02,18.06,755100,2650612
MER,02/01/2011,220,228,216.6,221.4,808020,-48334774
PCOR,02/01/2011,14,14,13.5,13.94,1687400,-1302092
PNX,02/01/2011,13.5,14,13.3,13.62,242000,0
TA,02/01/2011,1.25,1.36,1.25,1.3,20610000,0
ANI,02/01/2011,8.92,9.18,8.78,8.88,130600,0
AMC,02/01/2011,13.2,13.5,13.2,13.2,668100,8933690
FOOD,02/01/2011,1.76,1.8,1.71,1.75,12004000,-77490
GSMI,02/01/2011,33,33,32.5,32.9,20400,495820
JFC,02/01/2011,74.5,74.5,70,71,1507270,-35030415
LFM,02/01/2011,36.55,36.55,36.55,36.55,100,0
PIP,02/01/2011,2.14,2.16,2.14,2.16,405000,612590
RFM,02/01/2011,1.71,1.71,1.68,1.7,1444000,-16800
RCI,02/01/2011,1.2,1.2,1.2,1.2,1000,0
ROX,02/01/2011,2.75,2.75,2.7,2.7,12000,0
SMB,02/01/2011,29.9,30,28.05,30,234300,-646590
SMC,02/01/2011,170,173,162.7,163,551960,-22276031
SFI,02/01/2011,0.18,0.18,0.18,0.18,200000,0
TDY,02/01/2011,3.3,3.3,3.3,3.3,12000,0
URC,02/01/2011,34.9,34.9,34.2,34.7,1159100,-4166690
VITA,02/01/2011,0.47,0.48,0.47,0.48,110000,0
EEI,02/01/2011,3.43,3.43,3.39,3.41,1558000,-3673470
HLCM,02/01/2011,13,14.2,13,13,998000,-7750864
PHN,02/01/2011,12.9,12.9,12.9,12.9,600,0
RCM,02/01/2011,6.5,6.5,6.5,6.5,1000,-6500
CMT,02/01/2011,1.73,1.75,1.7,1.7,551000,-734240
T,02/01/2011,3.26,3.26,3.18,3.25,184000,0
COAT,02/01/2011,2.48,2.48,2.48,2.48,20000,0
AAI,02/01/2011,5.14,5.14,5.14,5.14,10000,0
ALPHA,02/01/2011,60.45,60.45,60.45,60.45,100,0
IMI,02/01/2011,8,8.02,7.6,7.7,44200,-8000
ION,02/01/2011,1.3,1.3,1.3,1.3,300000,0
MUSX,02/01/2011,0.069,0.069,0.069,0.069,1160000,0
SPH,02/01/2011,2.43,2.57,2.43,2.5,32000,0
^HOLDING,02/01/2011,3130.34,3134.76,3057.28,3057.28,527500,-240028
ABA,02/01/2011,0.83,0.85,0.83,0.85,1373000,0
AEV,02/01/2011,36.35,36.45,34.3,34.3,1143100,-7978240
APM,02/01/2011,0.017,0.017,0.016,0.017,53000000,0
AGI,02/01/2011,11.54,11.72,11.28,11.38,10209700,-87868892
APO,02/01/2011,1.76,1.76,1.74,1.74,166000,0
ANS,02/01/2011,3.1,3.1,3.01,3.01,507000,0
AAA,02/01/2011,0.38,0.56,0.38,0.56,90000,0
AC,02/01/2011,341.2,342,341,341,383260,-42640462
DMC,02/01/2011,33.7,33.7,32.6,33,972700,-22159490
FJP,02/01/2011,1.1,1.1,1.1,1.1,2000,0
FDC,02/01/2011,4.6,4.6,4.3,4.3,84000,0
HI,02/01/2011,3.28,3.28,3.27,3.27,26000,0
JGS,02/01/2011,19,19,18.5,18.5,225800,-2678850
LIHC,02/01/2011,0.72,0.74,0.72,0.74,649000,0
LPZ,02/01/2011,4.88,4.88,4.8,4.88,1097000,-1609540
MARC,02/01/2011,2.2,2.25,2.14,2.21,3063000,0
MPI,02/01/2011,3.68,3.68,3.56,3.59,13261000,-10071930
MIC,02/01/2011,3.07,3.07,3.07,3.07,1000,0
PA,02/01/2011,0.067,0.067,0.066,0.066,8590000,0
POPI,02/01/2011,0.56,0.56,0.56,0.56,108000,0
SINO,02/01/2011,0.355,0.355,0.33,0.34,2710000,0
SM,02/01/2011,472,472,451,470,291760,-64073722
SGI,02/01/2011,1.2,1.23,1.17,1.17,156000,0
SOC,02/01/2011,1.48,1.55,1.45,1.54,1407000,-947150
ZHI,02/01/2011,0.21,0.21,0.21,0.21,10000,0
^PROPERTY,02/01/2011,1475.3,1483.76,1446.76,1447.33,759243,-151219
BRN,02/01/2011,2.64,2.64,2.63,2.63,110000,0
ALCO,02/01/2011,0.165,0.165,0.165,0.165,30000,0
ALI,02/01/2011,14.7,14.9,14.7,14.74,23345200,-8358950
BEL,02/01/2011,5.9,5.91,5.49,5.49,6244500,-11978245
CHI,02/01/2011,2.55,2.55,2.55,2.55,143000,-341700
CEI,02/01/2011,0.068,0.069,0.068,0.069,4900000,0
CYBR,02/01/2011,1.19,1.19,1.09,1.11,14577000,612500
ELI,02/01/2011,0.61,0.64,0.6,0.61,32238000,-3570770
ETON,02/01/2011,3.7,3.7,3.7,3.7,109000,0
EVER,02/01/2011,0.121,0.122,0.121,0.122,230000,0
LND,02/01/2011,2.1,2.17,2.09,2.14,22259000,-632920
FLI,02/01/2011,1.11,1.11,1.01,1.02,126089000,-97255760
IRC,02/01/2011,0.75,0.85,0.75,0.85,100000,0
IRCB,02/01/2011,0.76,0.76,0.76,0.76,55000,0
MEG,02/01/2011,2.11,2.13,2.06,2.06,14417000,-7527330
MRC,02/01/2011,0.78,0.81,0.78,0.81,1603000,0
PO,02/01/2011,4.9,4.9,4.46,4.7,39000,0
RLC,02/01/2011,14.02,14.02,13.9,14,1801500,2022570
SMP,02/01/2011,730,730,730,730,50,0
SMDC,02/01/2011,7.9,7.9,7.4,7.52,1176500,-1952109
SMPH,02/01/2011,10.46,10.48,10.28,10.4,7438700,-5966620
SLI,02/01/2011,1.33,1.33,1.28,1.28,204000,0
SUN,02/01/2011,0.52,0.52,0.51,0.51,1331000,-13000
VLL,02/01/2011,2.72,2.72,2.49,2.5,8042000,-16256760
^SERVICE,02/01/2011,1545.15,1545.35,1526.56,1526.87,540202,-12384
GMA7,02/01/2011,7.01,7.01,6.8,7,8400,0
DGTL,02/01/2011,1.39,1.39,1.36,1.38,4651000,-2224900
GLO,02/01/2011,772,772,745,746,55010,-30515565
LIB,02/01/2011,4.6,4.6,4.5,4.6,289000,0
TEL,02/01/2011,2470,2480,2452,2452,113345,47245020
DFNN,02/01/2011,7.78,8,7.65,7.69,202700,-219876
CLOUD,02/01/2011,2.95,2.95,2.92,2.92,114000,0
EG,02/01/2011,18.48,19,17,18.94,23600,0
IP,02/01/2011,1.35,1.35,1.28,1.3,481000,0
ISM,02/01/2011,3.5,3.6,3.4,3.4,489000,-580360
WEB,02/01/2011,16.48,16.64,16.4,16.62,4352400,2718344
TBGI,02/01/2011,3.65,3.72,3.65,3.72,40000,0
ATS,02/01/2011,1.83,1.83,1.83,1.83,13000,0
CEB,02/01/2011,98,98.95,96.5,97,554370,-10367038
ICT,02/01/2011,42,42,41.45,42,235700,-3468425
MAC,02/01/2011,3.25,3.25,3.2,3.2,27000,0
TOL,02/01/2011,8.01,8.01,8,8,4200,0
PAL,02/01/2011,5.1,6,5.1,5.65,18600,0
LR,02/01/2011,8.1,8.28,7.98,8.07,6216300,-14470385
PRC,02/01/2011,4.01,4.01,4.01,4.01,1000,0
PEP,02/01/2011,0.285,0.285,0.285,0.285,70000,-14250
FEU,02/01/2011,776,777,775,777,400,0
APC,02/01/2011,0.76,0.76,0.72,0.74,17766000,0
JTH,02/01/2011,1.62,1.64,1.62,1.64,10000,0
LOTO,02/01/2011,18.02,18.02,17.5,17.5,131500,-525000
PAX,02/01/2011,1.91,1.92,1.75,1.8,2912000,37600
^MINING-OIL,02/01/2011,13783.79,13856.08,13539.22,13569.39,465846,-34244
AR,02/01/2011,0.0037,0.0038,0.0037,0.0038,40000000,0
APX,02/01/2011,3.1,3.5,3.1,3.5,58000,0
APXB,02/01/2011,3.5,3.5,3.5,3.5,16000,0
AT,02/01/2011,15.7,15.74,15.4,15.4,1333100,-6141958
AB,02/01/2011,42.5,42.5,38.5,41.45,5400,0
BC,02/01/2011,13.24,13.24,13,13.2,20400,0
BCB,02/01/2011,14.5,16,14.5,16,5100,0
CPM,02/01/2011,2.03,2.03,2.02,2.02,218000,0
DIZ,02/01/2011,4.25,4.29,4.16,4.18,195000,0
GEO,02/01/2011,0.59,0.6,0.58,0.6,7799000,58000
LC,02/01/2011,0.45,0.455,0.44,0.44,124650000,0
LCB,02/01/2011,0.46,0.46,0.445,0.445,22000000,-6858100
MA,02/01/2011,0.029,0.029,0.026,0.027,669900000,0
MAB,02/01/2011,0.03,0.03,0.027,0.027,364700000,2091600
NIKL,02/01/2011,19.52,20.1,19.5,19.7,11524100,-5880026
NI,02/01/2011,3.5,3.56,3.42,3.49,5992000,-277800
OM,02/01/2011,0.0089,0.0089,0.0089,0.0089,16000000,0
ORE,02/01/2011,2.93,3,2.81,2.92,708000,-52380
PX,02/01/2011,15.02,15.12,14.9,14.96,1969000,8562716
SCC,02/01/2011,200,202.6,195,196.9,281470,-25122673
UPM,02/01/2011,0.014,0.014,0.014,0.014,13500000,0
BSC,02/01/2011,0.16,0.171,0.16,0.171,210000,0
OPM,02/01/2011,0.013,0.013,0.013,0.013,18300000,0
OPMB,02/01/2011,0.014,0.014,0.014,0.014,34000000,0
PERC,02/01/2011,6.1,6.26,6.05,6.25,1238200,-624300
OV,02/01/2011,0.014,0.014,0.014,0.014,26500000,0
ACPR,02/01/2011,105.6,105.6,105.5,105.5,9060,0
PPREF,02/01/2011,106.5,106.6,106.5,106.6,10000,0
SMCP1,02/01/2011,80.1,81,80,80,22100,0
GMAP,02/01/2011,6.92,6.92,6.92,6.92,2000,0
TELU,02/01/2011,10.8,10.8,10.8,10.8,100,0
TELW,02/01/2011,11,11,11,11,200,0
MEGW1,02/01/2011,1.1,1.1,1.1,1.1,70000,-55000
MFIN,02/01/2011,1.54,2,1.54,2,16000,0
^PSEi,02/01/2011,3893.12,3896.47,3830.49,3830.49,4023661,-710655
^ALLSHARES,02/01/2011,3040.45,3045.78,2989.43,2995.09,0,0
